,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-05 16:39:29,2021-10-04,TER,Burns Richard John,"Pres, Semiconductor Test",S - Sale,$108.43,-261,"12,149",-2%,"-$28,300",,,,
2,,2021-09-13 16:36:42,2021-09-10,TER,Matz Marilyn,Dir,S - Sale,$120.18,"-4,157","13,976",-23%,"-$499,588",,,,
3,D,2021-06-17 16:49:06,2021-06-16,TER,Mehta Sanjay,"VP, CFO",S - Sale+OE,$131.37,"-5,212","24,826",-17%,"-$684,700",,,,
4,A,2021-06-09 16:42:16,2021-06-04,TER,Jagiela Mark E,"Pres, CEO",S - Sale,$127.57,"-27,518","193,881",-12%,"-$3,510,471",,,,
5,,2021-06-08 16:41:19,2021-06-04,TER,Jagiela Mark E,"Pres, CEO",S - Sale,$127.57,"-27,518","193,881",-12%,"-$3,510,471",,,,
6,,2021-05-04 17:07:11,2021-05-03,TER,Gray Charles Jeffrey,"VP, GC, Secretary",S - Sale,$126.32,"-7,000","27,420",-20%,"-$884,240",,,,
7,D,2021-03-22 18:00:10,2021-03-18,TER,Jagiela Mark E,"Pres, CEO",S - Sale+OE,$114.38,"-90,545","221,399",-29%,"-$10,356,428",,,,
8,,2021-03-12 16:27:45,2021-03-11,TER,Gillis Edwin J,Dir,S - Sale,$111.29,"-19,015","22,633",-46%,"-$2,116,179",,,,
9,D,2021-03-12 16:22:04,2021-03-11,TER,Smith Gregory Stephen,"Pres, Ind. Automation Grp",S - Sale+OE,$111.29,"-18,112","29,055",-38%,"-$2,015,684",,,,
10,,2021-02-05 19:44:40,2021-02-04,TER,Jagiela Mark E,"Pres, CEO",S - Sale,$123.71,"-57,941","269,230",-18%,"-$7,167,962",,,,
11,D,2021-02-02 17:24:26,2021-01-29,TER,Gray Charles Jeffrey,"VP, GC, Secretary",S - Sale+OE,$118.34,"-18,941","34,420",-35%,"-$2,241,561",,,,
12,,2021-01-29 11:43:00,2021-01-28,TER,Burns Richard John,"Pres, Semiconductor Test",S - Sale,$123.71,-773,"12,534",-6%,"-$95,628",,,,
13,,2021-01-28 19:57:33,2021-01-27,TER,Burns Richard John,"Pres, Semiconductor Test",S - Sale,$135.26,-463,"13,307",-3%,"-$62,625",,,,
14,,2021-01-27 17:59:35,2021-01-26,TER,Burns Richard John,"Pres, Semiconductor Test",S - Sale,$140.70,-803,"14,413",-5%,"-$112,982",,,,
15,,2020-12-30 16:44:05,2020-12-28,TER,Vahey Walter G.,"EVP, Corp. Development",S - Sale,$118.15,"-35,000","26,633",-57%,"-$4,135,239",,,,
16,,2020-12-30 16:40:10,2020-12-28,TER,Jagiela Mark E,"Pres, CEO",S - Sale,$118.10,"-52,992","313,066",-14%,"-$6,258,189",,,,
17,,2020-11-13 16:57:30,2020-11-11,TER,Vallee Roy,Dir,S - Sale,$100.55,"-83,706","3,073",-96%,"-$8,416,638",,,,
18,,2020-11-13 16:54:48,2020-11-11,TER,Smith Gregory Stephen,"Pres, Ind. Automation Group",S - Sale,$99.95,"-10,000","33,124",-23%,"-$999,500",,,,
19,,2020-11-05 16:44:58,2020-11-04,TER,Tufano Paul J,Dir,S - Sale,$92.00,"-6,867","44,437",-13%,"-$631,764",,,,
20,D,2020-11-05 16:42:11,2020-11-03,TER,Jagiela Mark E,"Pres, CEO",S - Sale+OE,$90.18,"-129,976","366,058",-26%,"-$11,720,848",,,,
21,,2020-10-27 16:38:09,2020-10-23,TER,Tufano Paul J,Dir,S - Sale,$91.92,"-18,000","51,304",-26%,"-$1,654,560",,,,
22,,2020-10-23 16:44:56,2020-10-22,TER,Tufano Paul J,Dir,S - Sale,$92.03,"-14,682","69,304",-17%,"-$1,351,184",,,,
