,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-03 15:33:12,2021-09-02,TGT,Cornell Brian C,Exec Officer,S - Sale,$245.98,"-25,000","384,870",-6%,"-$6,149,467",,,,
2,,2021-08-20 15:50:13,2021-08-19,TGT,Mulligan John J,Exec Officer,S - Sale,$247.20,"-80,782","211,012",-28%,"-$19,969,553",,,,
3,,2021-08-09 16:46:35,2021-08-06,TGT,Liu Don H,Exec Officer,S - Sale,$261.93,"-3,000","62,017",-5%,"-$785,790",,,,
4,,2021-08-05 16:08:04,2021-08-04,TGT,Liu Don H,Exec Officer,S - Sale,$261.20,"-13,977","65,017",-18%,"-$3,650,792",,,,
5,,2021-07-20 15:17:25,2021-07-16,TGT,Liu Don H,Exec Officer,S - Sale,$253.90,"-13,985","78,994",-15%,"-$3,550,792",,,,
6,,2021-05-28 18:57:35,2021-05-27,TGT,Sylvester Cara A,Exec Officer,S - Sale,$227.56,"-1,950","7,360",-21%,"-$443,732",,,,
7,,2021-05-28 18:57:31,2021-05-27,TGT,Kremer Melissa K,Exec Officer,S - Sale,$226.19,"-2,603","9,378",-22%,"-$588,773",,,,
8,,2021-05-21 15:15:38,2021-05-20,TGT,Schindele Mark,Exec Officer,S - Sale,$218.05,"-4,758","8,421",-36%,"-$1,037,482",,,,
9,,2021-05-21 15:15:36,2021-05-20,TGT,Fiddelke Michael J,Exec Officer,S - Sale,$218.05,"-5,265","32,507",-14%,"-$1,148,033",,,,
10,,2021-05-21 15:15:24,2021-05-20,TGT,Liu Don H,Exec Officer,S - Sale,$218.05,"-7,225","95,914",-7%,"-$1,575,411",,,,
11,,2021-04-15 18:10:00,2021-04-13,TGT,McNamara Michael Edward,Exec Officer,S - Sale,$204.32,"-31,423","119,166",-21%,"-$6,420,475",,,,
12,,2021-04-12 14:14:43,2021-04-09,TGT,Kremer Melissa K,Exec Officer,S - Sale,$204.00,"-1,930","11,981",-14%,"-$393,720",,,,
13,,2021-04-12 14:14:36,2021-04-09,TGT,Hennington Christina,Exec Officer,S - Sale,$204.00,"-2,121","25,663",-8%,"-$432,684",,,,
14,,2021-04-08 19:00:24,2021-04-08,TGT,Harrison Robert M,Chief Accounting Officer,S - Sale,$203.61,"-2,353","6,265",-27%,"-$479,094",,,,
15,,2021-04-08 19:00:17,2021-04-08,TGT,Boylan Katie M,Exec Officer,S - Sale,$203.12,"-1,600","12,881",-11%,"-$324,999",,,,
16,,2021-03-26 11:58:45,2021-03-25,TGT,Harrison Robert M,Chief Accounting Officer,S - Sale,$192.45,"-2,282","6,265",-27%,"-$439,167",,,,
17,,2021-03-23 16:09:55,2021-03-19,TGT,Hennington Christina,Exec Officer,S - Sale,$183.00,"-1,852","25,661",-7%,"-$338,916",,,,
18,,2021-03-23 16:09:48,2021-03-19,TGT,Kremer Melissa K,Exec Officer,S - Sale,$188.00,-716,"11,981",-6%,"-$134,608",,,,
19,D,2021-03-15 16:43:11,2021-03-12,TGT,Fiddelke Michael J,Exec Officer,S - Sale+OE,$179.48,-450,"38,448",-1%,"-$80,767",,,,
20,,2021-03-05 16:34:37,2021-03-03,TGT,Cornell Brian C,Exec Officer,S - Sale,$174.23,"-93,364","313,346",-23%,"-$16,266,763",,,,
21,,2021-01-19 16:30:02,2021-01-14,TGT,Lundquist Stephanie A,Exec Officer,S - Sale,$198.34,"-16,894","58,514",-22%,"-$3,350,680",,,,
22,,2020-11-23 17:11:38,2020-11-19,TGT,Harrison Robert M,Chief Accounting Officer,S - Sale,$169.50,"-1,220","8,072",-13%,"-$206,790",,,,
23,,2020-10-09 06:01:37,2020-10-07,TGT,Lundquist Stephanie A,Exec Officer,S - Sale,$161.00,"-4,471","75,339",-6%,"-$719,831",,,,
24,D,2020-09-30 16:12:40,2020-09-29,TGT,McNamara Michael Edward,Exec Officer,S - Sale+OE,$157.15,"-27,726","121,190",-19%,"-$4,357,041",,,,
25,M,2020-09-23 18:42:21,2020-09-21,TGT,Schindele Mark,Exec Officer,S - Sale,$151.56,"-7,213","9,838",-42%,"-$1,093,199",,,,
26,D,2020-09-21 17:22:28,2020-09-17,TGT,Hennington Christina,Exec Officer,S - Sale+OE,$148.17,"-5,825","21,429",-21%,"-$863,067",,,,
27,,2020-08-26 19:46:29,2020-08-25,TGT,Liu Don H,Exec Officer,S - Sale,$154.28,"-2,487","80,991",-3%,"-$383,694",,,,
28,D,2020-08-24 13:29:43,2020-08-20,TGT,Cornell Brian C,Exec Officer,S - Sale+OE,$153.11,"-100,000","405,673",-20%,"-$15,311,313",,,,
29,,2020-08-24 13:24:25,2020-08-20,TGT,Hennington Christina,Exec Officer,S - Sale,$154.93,"-3,564","18,864",-16%,"-$552,171",,,,
30,D,2020-08-24 13:24:18,2020-08-20,TGT,Fiddelke Michael J,Exec Officer,S - Sale+OE,$154.93,-391,"26,688",-1%,"-$60,578",,,,
31,D,2020-08-24 13:21:01,2020-08-20,TGT,Kremer Melissa K,Exec Officer,S - Sale+OE,$152.40,"-8,206","10,811",-43%,"-$1,250,597",,,,
32,,2020-08-24 13:19:36,2020-08-20,TGT,Lundquist Stephanie A,Exec Officer,S - Sale,$153.09,"-6,631","79,731",-8%,"-$1,015,140",,,,
33,D,2020-08-24 13:17:34,2020-08-20,TGT,Ward Laysha,Exec Officer,S - Sale+OE,$154.04,"-61,094","90,405",-40%,"-$9,410,944",,,,
34,,2020-08-24 13:11:15,2020-08-19,TGT,Mulligan John J,Exec Officer,S - Sale,$148.93,"-28,571","247,379",-10%,"-$4,255,108",,,,
35,D,2020-08-06 17:18:14,2020-08-04,TGT,Liu Don H,Exec Officer,S - Sale+OE,$130.00,"-8,000","90,647",-8%,"-$1,040,000",,,,
36,,2020-07-27 19:04:54,2020-07-24,TGT,Liu Don H,Exec Officer,S - Sale,$125.00,"-4,000","68,330",-6%,"-$500,000",,,,
37,,2020-07-01 21:43:17,2020-06-30,TGT,Liu Don H,Exec Officer,S - Sale,$120.00,"-4,000","57,865",-6%,"-$480,000",,,,
38,DM,2020-06-04 19:35:10,2020-06-02,TGT,Austin Roxanne S,Dir,S - Sale+OE,$121.16,"-17,415","34,838",-33%,"-$2,109,974",,,,
39,D,2020-06-02 18:23:36,2020-05-29,TGT,Austin Roxanne S,Dir,S - Sale+OE,$120.04,"-4,109","44,838",-8%,"-$493,250",,,,
40,,2020-05-26 16:52:56,2020-05-21,TGT,Harrison Robert M,Chief Accounting Officer,S - Sale,$119.34,"-2,500","9,208",-21%,"-$298,360",,,,
