,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-03 16:56:18,2021-05-07,GL,Pressley W Michael,Former EVP & Chief Inv Officer,S - Sale+OE,$105.25,"-35,000","91,389",-28%,"-$3,683,572",,,,
2,,2021-08-12 17:24:11,2021-08-12,GL,Ingram Robert W,Dir,S - Sale,$97.38,"-1,350","30,932",-4%,"-$131,462",,,,
3,,2021-08-04 18:33:55,2021-08-02,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale,$93.39,"-6,383","14,781",-30%,"-$596,089",,,,
4,,2021-08-04 18:24:27,2021-07-30,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale,$93.96,-617,"21,164",-3%,"-$57,974",,,,
5,DM,2021-06-03 17:04:05,2021-06-01,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$105.58,"-24,000","763,483",-3%,"-$2,534,010",,,,
6,DM,2021-06-03 17:02:59,2021-06-01,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$105.59,"-24,000","697,104",-3%,"-$2,534,228",,,,
7,D,2021-06-03 16:22:29,2021-06-02,GL,Buchan Melissa Jane,Dir,S - Sale+OE,$105.89,"-11,667","82,870",-12%,"-$1,235,427",,,,
8,D,2021-06-02 18:24:52,2021-06-01,GL,McPartland James Eric,"EVP,CIO",S - Sale+OE,$106.05,"-30,000","23,703",-56%,"-$3,181,581",,,,
9,D,2021-05-24 16:38:19,2021-05-21,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$105.11,"-20,000","133,620",-13%,"-$2,102,138",,,,
10,D,2021-05-21 14:06:11,2021-05-20,GL,Dichiaro Steven John,Exec. Officer of Principal Sub,S - Sale+OE,$104.47,"-30,000","21,727",-58%,"-$3,134,175",,,,
11,D,2021-05-17 19:25:55,2021-05-14,GL,Majors Michael Clay,"EVP - Investor Rel., Admin.",S - Sale+OE,$105.97,"-12,000","28,133",-30%,"-$1,271,618",,,,
12,D,2021-05-11 20:20:51,2021-05-10,GL,Adair Charles E,Dir,S - Sale+OE,$106.93,"-5,000","7,699",-39%,"-$534,659",,,,
13,D,2021-05-11 20:06:54,2021-05-10,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$107.30,"-13,000","763,484",-2%,"-$1,394,905",,,,
14,AD,2021-05-11 19:54:09,2021-05-10,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$107.33,"-13,000","697,105",-2%,"-$1,395,293",,,,
15,D,2021-05-11 18:41:06,2021-05-10,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$107.33,"-13,000","697,105",-2%,"-$1,395,294",,,,
16,DM,2021-05-06 17:08:39,2021-05-05,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$104.67,"-25,000","763,491",-3%,"-$2,616,826",,,,
17,DM,2021-05-06 16:49:19,2021-05-05,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$104.69,"-25,000","697,115",-3%,"-$2,617,217",,,,
18,D,2021-05-06 15:59:04,2021-05-05,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$104.50,"-15,000","133,620",-10%,"-$1,567,455",,,,
19,D,2021-05-04 15:39:22,2021-05-03,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$103.51,"-13,000","763,512",-2%,"-$1,345,652",,,,
20,D,2021-05-04 15:24:35,2021-05-03,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$103.52,"-13,000","697,142",-2%,"-$1,345,742",,,,
21,D,2021-04-30 13:05:54,2021-04-29,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$102.94,"-15,000","133,620",-10%,"-$1,544,045",,,,
22,D,2021-04-26 18:42:59,2021-04-26,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$103.22,"-12,000","763,508",-2%,"-$1,238,594",,,,
23,D,2021-04-26 18:38:40,2021-04-26,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$103.23,"-12,000","697,137",-2%,"-$1,238,772",,,,
24,D,2021-04-26 14:20:23,2021-04-23,GL,Matson Kenneth J,Officer of Principal Sub.,S - Sale+OE,$103.03,"-17,000","29,693",-36%,"-$1,751,580",,,,
25,D,2021-03-19 11:50:12,2021-03-18,GL,Rogers John Henry Jr,Officer of Principal Sub,S - Sale+OE,$102.03,"-1,875",0,-100%,"-$191,298",,,,
26,D,2021-03-19 10:22:39,2021-03-18,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$101.44,"-13,000","763,285",-2%,"-$1,318,665",,,,
27,D,2021-03-19 10:09:47,2021-03-18,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$101.50,"-13,000","696,848",-2%,"-$1,319,447",,,,
28,D,2021-03-18 17:58:35,2021-03-17,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$100.42,"-12,000","763,452",-2%,"-$1,205,085",,,,
29,D,2021-03-18 17:44:07,2021-03-17,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$100.96,"-12,000","697,065",-2%,"-$1,211,472",,,,
30,D,2021-03-18 16:19:48,2021-03-17,GL,Carlson David Kendall,Officer of Principal Sub.,S - Sale+OE,$100.10,"-18,000",0,-100%,"-$1,801,881",,,,
31,D,2021-03-15 17:51:54,2021-03-15,GL,Majors Michael Clay,"EVP - Investor Rel., Admin.",S - Sale+OE,$100.26,"-16,000","28,133",-36%,"-$1,604,090",,,,
32,D,2021-03-15 17:27:05,2021-03-12,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$100.41,"-13,000","697,052",-2%,"-$1,305,322",,,,
33,D,2021-03-15 17:26:04,2021-03-12,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$100.51,"-13,000","763,442",-2%,"-$1,306,639",,,,
34,D,2021-03-15 16:30:54,2021-03-11,GL,Svoboda Frank M,"EVP, CFO",S - Sale+OE,$100.40,"-15,000","133,618",-10%,"-$1,506,054",,,,
35,D,2021-03-11 10:48:41,2021-03-10,GL,McCoy Carol A,Former Company Officer,S - Sale+OE,$100.44,"-15,000","112,589",-12%,"-$1,506,612",,,,
36,DM,2021-03-10 18:19:20,2021-03-09,GL,Hutchison Larry M,"Co-Chaiman, CEO",S - Sale+OE,$100.60,"-25,000","763,266",-3%,"-$2,514,910",,,,
37,DM,2021-03-10 18:02:10,2021-03-09,GL,Coleman Gary L,"Co-COB, CEO",S - Sale+OE,$100.54,"-25,000","696,824",-3%,"-$2,513,480",,,,
38,,2021-03-10 17:37:56,2021-03-10,GL,Mitchell Robert Brian,"EVP, GC, CRO",S - Sale,$100.45,"-3,000","62,958",-5%,"-$301,353",,,,
39,D,2021-03-10 15:54:28,2021-03-09,GL,Rogers John Henry Jr,Officer of Principal Sub,S - Sale+OE,$100.46,"-1,875",0,-100%,"-$188,364",,,,
40,D,2021-03-09 16:50:46,2021-03-08,GL,Henrie Michael Shane,"SVP, Chief Accounting Officer",S - Sale+OE,$100.31,"-11,900",114,-99%,"-$1,193,644",,,,
41,D,2021-03-05 13:05:44,2021-03-04,GL,Majors Michael Clay,"EVP - Investor Rel., Admin.",S - Sale+OE,$95.89,"-14,000","28,133",-33%,"-$1,342,509",,,,
