,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-15 18:30:10,2021-09-13,TSCO,Barton Kurt D,EVP CFO,S - Sale,$205.37,"-3,527","42,470",-8%,"-$724,340",,,,
2,D,2021-09-14 19:34:03,2021-09-10,TSCO,Ordus John P,EVP Chief Stores Officer,S - Sale+OE,$205.00,"-20,498","8,985",-70%,"-$4,202,090",,,,
3,,2021-08-24 17:24:42,2021-08-20,TSCO,Estep Jonathan S,EVP - CMO,S - Sale,$198.00,"-5,300","9,573",-36%,"-$1,049,400",,,,
4,D,2021-05-12 19:05:09,2021-05-10,TSCO,Korzekwa Christi C,SVP Marketing,S - Sale+OE,$200.04,"-8,836","7,980",-53%,"-$1,767,507",,,,
5,,2021-05-05 17:24:35,2021-05-03,TSCO,Yankee Colin,EVP Supply Chain,S - Sale,$189.94,"-3,586","9,590",-27%,"-$681,132",,,,
6,D,2021-04-22 17:03:50,2021-04-20,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$185.00,"-5,892","18,611",-24%,"-$1,090,020",,,,
7,D,2021-02-24 19:12:12,2021-02-22,TSCO,Lawton III Harry A,"Pres, CEO",S - Sale+OE,$166.68,"-21,468","57,044",-27%,"-$3,578,286",,,,
8,,2021-02-24 19:10:34,2021-02-22,TSCO,Brown Joy,Dir,P - Purchase,$165.62,+100,100,New,"+$16,562",,,,
9,D,2021-02-24 19:04:20,2021-02-22,TSCO,Yankee Colin,EVP Supply Chain,S - Sale+OE,$168.96,"-11,720","13,176",-47%,"-$1,980,211",,,,
10,D,2021-02-19 17:01:30,2021-02-17,TSCO,Korzekwa Christi C,SVP Marketing,S - Sale+OE,$165.00,"-3,585","11,816",-23%,"-$591,525",,,,
11,D,2021-01-19 16:58:43,2021-01-15,TSCO,Ordus John P,EVP Chief Stores Officer,S - Sale+OE,$159.75,"-14,800","10,815",-58%,"-$2,364,300",,,,
12,D,2020-10-16 16:50:51,2020-10-14,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$155.00,"-11,311","17,886",-39%,"-$1,753,205",,,,
13,D,2020-10-16 16:48:47,2020-10-14,TSCO,Estep Jonathan S,EVP - CMO,S - Sale+OE,$155.00,"-6,895","13,003",-35%,"-$1,068,725",,,,
14,D,2020-10-16 16:46:18,2020-10-14,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$154.00,"-25,000","46,557",-35%,"-$3,850,000",,,,
15,D,2020-09-02 17:44:30,2020-08-31,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$148.10,"-120,619","44,529",-73%,"-$17,863,165",,,,
16,,2020-08-05 16:22:42,2020-08-03,TSCO,Mackenzie George,Dir,S - Sale,$147.64,"-10,581","11,048",-49%,"-$1,562,179",,,,
17,,2020-07-29 16:10:57,2020-07-28,TSCO,Morris Edna,Dir,S - Sale,$144.46,"-5,000","62,103",-7%,"-$722,300",,,,
18,D,2020-06-10 17:07:03,2020-06-08,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$120.29,"-14,706","20,337",-42%,"-$1,768,985",,,,
19,D,2020-05-19 16:48:05,2020-05-18,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$112.95,"-15,000","46,476",-24%,"-$1,694,250",,,,
20,D,2020-05-13 16:33:20,2020-05-11,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$108.01,"-12,500","46,476",-21%,"-$1,350,125",,,,
21,D,2020-05-13 16:30:45,2020-05-12,TSCO,Korzekwa Christi C,SVP Marketing,S - Sale+OE,$110.00,"-17,102","11,711",-59%,"-$1,881,220",,,,
22,D,2020-05-07 07:20:23,2020-05-05,TSCO,Sandfort Gregory A,Dir,S - Sale+OE,$105.00,"-200,093","326,391",-38%,"-$21,009,765",,,,
23,DM,2020-04-29 17:05:38,2020-04-27,TSCO,Sandfort Gregory A,Dir,S - Sale+OE,$105.00,"-27,099","326,391",-8%,"-$2,845,395",,,,
24,D,2020-04-29 16:36:35,2020-04-28,TSCO,Yankee Colin,EVP Supply Chain,S - Sale+OE,$103.88,"-15,829","12,629",-56%,"-$1,644,334",,,,
25,,2020-04-29 16:27:02,2020-04-27,TSCO,Korzekwa Christi C,SVP Marketing,S - Sale,$105.00,-896,"11,711",-7%,"-$94,080",,,,
26,DM,2020-04-29 16:20:51,2020-04-27,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$105.00,"-14,002","23,937",-37%,"-$1,470,210",,,,
27,D,2020-04-28 16:17:23,2020-04-24,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$102.00,"-7,921","46,476",-15%,"-$807,942",,,,
28,D,2020-04-28 16:14:37,2020-04-24,TSCO,Estep Jonathan S,EVP - CMO,S - Sale+OE,$102.00,"-5,237","13,108",-29%,"-$534,174",,,,
29,,2020-02-18 16:27:19,2020-02-14,TSCO,Lawton III Harry A,"Pres, CEO",P - Purchase,$98.36,"+1,273","39,963",+3%,"+$125,206",,,,
30,D,2019-12-17 17:00:30,2019-12-13,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$98.48,-300,"42,174",-1%,"-$29,544",,,,
31,D,2019-11-13 17:04:02,2019-11-11,TSCO,Frazell Chad Michael,SVP HR,S - Sale+OE,$95.57,"-13,441","14,329",-48%,"-$1,284,579",,,,
32,D,2019-08-01 17:07:50,2019-07-31,TSCO,Frazell Chad Michael,SVP HR,S - Sale+OE,$110.04,"-17,857","14,257",-56%,"-$1,964,984",,,,
33,D,2019-06-21 17:03:33,2019-06-19,TSCO,Ordus John P,SVP Store Operations,S - Sale+OE,$104.09,"-10,968","11,605",-49%,"-$1,141,659",,,,
34,D,2019-06-21 17:02:12,2019-06-19,TSCO,Estep Jonathan S,SVP General Merchandising,S - Sale+OE,$104.09,"-11,715","10,838",-52%,"-$1,219,414",,,,
35,D,2019-06-19 17:14:36,2019-06-17,TSCO,Barbarick Steve K,"Pres, COO",S - Sale+OE,$104.10,"-36,108","43,936",-45%,"-$3,758,843",,,,
36,D,2019-05-02 17:10:22,2019-04-30,TSCO,Barbarick Steve K,"Pres, COO",S - Sale+OE,$104.13,"-32,867","49,343",-40%,"-$3,422,499",,,,
37,D,2019-04-18 17:18:40,2019-04-16,TSCO,Sandfort Gregory A,CEO,S - Sale+OE,$105.00,"-74,667","340,132",-18%,"-$7,840,035",,,,
38,DM,2019-04-12 17:12:09,2019-04-11,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$103.62,"-40,925","42,087",-49%,"-$4,240,789",,,,
39,DM,2019-04-12 17:08:18,2019-04-11,TSCO,Frazell Chad Michael,SVP HR,S - Sale+OE,$103.62,"-18,004","14,199",-56%,"-$1,865,636",,,,
40,D,2019-04-12 16:58:52,2019-04-12,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$104.50,"-10,085","42,472",-19%,"-$1,053,883",,,,
41,D,2019-04-12 16:49:17,2019-04-11,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$102.11,"-32,529","20,978",-61%,"-$3,321,536",,,,
42,D,2019-04-05 17:17:00,2019-04-05,TSCO,Sandfort Gregory A,CEO,S - Sale+OE,$100.00,"-22,636","340,132",-6%,"-$2,263,600",,,,
43,D,2019-04-05 17:14:23,2019-04-04,TSCO,Barton Kurt D,EVP CFO,S - Sale+OE,$99.50,"-5,530","42,472",-12%,"-$550,235",,,,
44,D,2019-04-05 17:12:55,2019-04-05,TSCO,Frazell Chad Michael,SVP HR,S - Sale+OE,$100.07,"-7,835","14,199",-36%,"-$784,048",,,,
45,D,2019-04-05 17:11:41,2019-04-05,TSCO,Barbarick Steve K,"Pres, COO",S - Sale+OE,$99.70,"-58,597","69,633",-46%,"-$5,842,121",,,,
46,DM,2019-04-03 16:51:27,2019-04-01,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$99.00,"-37,596","41,969",-47%,"-$3,722,104",,,,
47,D,2019-03-28 17:02:23,2019-03-26,TSCO,Sandfort Gregory A,CEO,S - Sale+OE,$95.00,"-25,896","340,051",-7%,"-$2,460,120",,,,
48,D,2019-02-22 16:18:58,2019-02-20,TSCO,Barbarick Steve K,"Pres, COO",S - Sale+OE,$97.83,"-47,011","69,534",-40%,"-$4,599,086",,,,
49,M,2019-02-19 17:22:39,2019-02-14,TSCO,Morris Edna,Dir,S - Sale,$96.07,"-4,174","64,343",-6%,"-$400,979",,,,
50,D,2018-11-14 16:58:04,2018-11-12,TSCO,Mills Robert D,EVP CTO,S - Sale+OE,$97.10,"-20,278","11,815",-63%,"-$1,968,994",,,,
51,D,2018-11-09 16:34:08,2018-11-08,TSCO,Frazell Chad Michael,SVP HR,S - Sale+OE,$96.65,"-19,818","10,061",-66%,"-$1,915,410",,,,
52,D,2018-09-11 16:47:47,2018-09-10,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$89.62,"-25,252","32,989",-43%,"-$2,263,062",,,,
53,D,2018-09-11 16:42:24,2018-09-10,TSCO,Barbarick Steve K,"Pres, COO",S - Sale+OE,$89.12,"-21,257","64,593",-25%,"-$1,894,424",,,,
54,D,2018-09-05 17:07:16,2018-09-04,TSCO,Sandfort Gregory A,CEO,S - Sale+OE,$90.28,"-140,709","294,664",-32%,"-$12,703,498",,,,
55,DM,2018-08-24 16:17:36,2018-08-22,TSCO,Barton Kurt D,SVP CFO,S - Sale+OE,$86.74,"-11,156","29,147",-28%,"-$967,682",,,,
56,,2018-08-02 16:45:32,2018-07-31,TSCO,Jackson Denise L,Dir,P - Purchase,$77.52,+100,"2,016",+5%,"+$7,752",,,,
57,D,2018-07-27 17:02:21,2018-07-26,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$82.00,"-5,000","32,989",-13%,"-$410,000",,,,
58,D,2018-07-24 17:16:56,2018-07-20,TSCO,Barbarick Steve K,"Pres, CMO",S - Sale+OE,$79.99,"-20,000","64,593",-24%,"-$1,599,800",,,,
59,D,2018-07-20 16:51:38,2018-07-18,TSCO,Barton Kurt D,SVP CFO,S - Sale+OE,$79.50,"-6,146","29,147",-17%,"-$488,607",,,,
60,D,2018-07-10 17:14:54,2018-07-09,TSCO,Parrish Benjamin F Jr,EVP GC,S - Sale+OE,$78.44,"-5,000","32,989",-13%,"-$392,200",,,,
61,D,2018-02-07 18:22:24,2018-02-06,TSCO,Morris Edna,Dir,S - Sale+OE,$67.07,"-1,054","66,601",-2%,"-$70,687",,,,
62,D,2017-12-20 17:51:17,2017-12-18,TSCO,Barbarick Steve K,"Pres, CMO",S - Sale+OE,$69.03,"-43,076","57,958",-43%,"-$2,973,536",,,,
63,D,2017-03-10 18:22:23,2017-03-09,TSCO,Barbarick Steve K,"Pres, CMO",S - Sale+OE,$72.59,"-15,014","57,629",-21%,"-$1,089,866",-1,-1,-4,
