,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-20 20:39:13,2021-10-18,TSLA,Taneja Vaibhav,Chief Accounting Officer,S - Sale+OE,$864.31,"-7,000","21,212",-25%,"-$6,050,148",,,,
2,,2021-10-20 20:35:36,2021-10-18,TSLA,Kirkhorn Zachary,CFO,S - Sale,$851.47,"-1,250","54,912",-2%,"-$1,064,338",,,,
3,D,2021-09-29 20:03:01,2021-09-27,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$773.42,"-1,005","18,380",-5%,"-$777,287",,,,
4,D,2021-09-08 20:27:41,2021-09-07,TSLA,Kirkhorn Zachary,CFO,S - Sale+OE,$752.90,"-2,780","57,412",-5%,"-$2,092,885",,,,
5,D,2021-09-08 20:25:12,2021-09-07,TSLA,Taneja Vaibhav,Chief Accounting Officer,S - Sale+OE,$752.90,"-1,767","21,212",-8%,"-$1,330,193",,,,
6,D,2021-09-08 20:22:16,2021-09-07,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$752.90,-896,"18,385",-5%,"-$674,602",,,,
7,D,2021-09-03 19:49:05,2021-09-01,TSLA,Denholm Robyn M,Dir,S - Sale+OE,$736.72,"-31,250","5,000",-86%,"-$23,022,595",,,,
8,D,2021-08-31 19:40:58,2021-08-27,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$705.41,"-1,500","17,497",-8%,"-$1,058,115",,,,
9,,2021-08-19 20:07:13,2021-08-17,TSLA,Kirkhorn Zachary,CFO,S - Sale,$672.59,"-1,250","54,257",-2%,"-$840,738",,,,
10,D,2021-08-10 20:08:47,2021-08-06,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$711.04,"-10,000","17,997",-36%,"-$7,110,360",,,,
11,D,2021-08-04 20:27:26,2021-08-02,TSLA,Denholm Robyn M,Dir,S - Sale+OE,$707.60,"-31,250","5,000",-86%,"-$22,112,634",,,,
12,D,2021-07-29 18:23:34,2021-07-27,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$663.38,"-1,500","17,997",-8%,"-$995,070",,,,
13,,2021-07-21 20:57:25,2021-07-19,TSLA,Kirkhorn Zachary,CFO,S - Sale,$629.73,"-1,250","55,507",-2%,"-$787,163",,,,
14,D,2021-07-08 18:59:14,2021-07-06,TSLA,Taneja Vaibhav,Chief Accounting Officer,S - Sale+OE,$661.59,"-4,459","19,312",-19%,"-$2,950,031",,,,
15,D,2021-06-30 19:26:44,2021-06-28,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$671.64,"-1,500","18,497",-8%,"-$1,007,460",,,,
16,,2021-06-21 19:20:25,2021-06-17,TSLA,Kirkhorn Zachary,CFO,S - Sale,$601.55,"-1,250","56,757",-2%,"-$751,938",,,,
17,D,2021-06-08 20:26:28,2021-06-07,TSLA,Taneja Vaibhav,Chief Accounting Officer,S - Sale+OE,$587.84,"-1,813","19,681",-8%,"-$1,065,747",,,,
18,D,2021-06-08 20:13:07,2021-06-07,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$587.83,-903,"18,997",-5%,"-$530,814",,,,
19,D,2021-06-08 20:09:50,2021-06-07,TSLA,Kirkhorn Zachary,CFO,S - Sale+OE,$587.84,"-3,022","58,007",-5%,"-$1,776,465",,,,
20,D,2021-06-01 19:08:34,2021-05-27,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$620.17,"-1,500","18,114",-8%,"-$930,255",,,,
21,,2021-05-19 19:08:49,2021-05-17,TSLA,Kirkhorn Zachary,CFO,S - Sale,$575.34,"-1,250","54,734",-2%,"-$719,175",,,,
22,D,2021-05-12 19:19:04,2021-05-10,TSLA,Guillen Jerome M,"Pres, Heavy Trucking",S - Sale+OE,$644.06,"-10,000","50,598",-17%,"-$6,440,627",,,,
23,D,2021-04-29 20:20:24,2021-04-27,TSLA,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,$717.17,"-1,500","18,614",-7%,"-$1,075,755",,,,
24,D,2021-04-28 21:41:35,2021-04-26,TSLA,Denholm Robyn M,Dir,S - Sale+OE,$740.97,"-62,500","5,000",-93%,"-$46,310,388",,,,
25,,2021-04-21 20:23:48,2021-04-19,TSLA,Kirkhorn Zachary,CFO,S - Sale,$718.00,"-1,250","55,984",-2%,"-$897,500",,,,
26,D,2021-04-14 19:13:28,2021-04-12,TSLA,Guillen Jerome M,"Pres, Heavy Trucking",S - Sale+OE,$697.87,"-10,000","50,598",-17%,"-$6,978,659",,,,
27,D,2021-04-07 20:04:10,2021-04-05,TSLA,Taneja Vaibhav,Chief Accounting Officer,S - Sale+OE,$696.57,"-4,453","17,826",-20%,"-$3,101,831",,,,
