,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-17 14:01:27,2021-08-13,TSN,Banister Gaurdie E. Jr.,Dir,S - Sale,$82.28,"-20,095","24,056",-46%,"-$1,653,453",,,,
2,,2021-08-12 10:55:59,2021-08-10,TSN,Thurber Robert C.,Dir,S - Sale,$78.82,"-10,696","49,242",-18%,"-$843,091",,,,
3,DM,2021-03-19 09:07:09,2021-03-17,TSN,Miller Shane,Group Pres Fresh Meats,S - Sale+OE,$76.62,"-10,000","15,819",-39%,"-$766,200",,,,
4,,2021-03-10 10:54:18,2021-03-08,TSN,Nichol Jason,Chief Customer Officer,S - Sale,$74.00,"-1,114","4,863",-19%,"-$82,432",,,,
5,,2020-08-06 16:26:30,2020-08-05,TSN,Martin Chad Roderick,Group Pres Poultry,S - Sale,$63.04,"-3,048","22,721",-12%,"-$192,145",,,,
6,,2020-05-15 10:15:02,2020-05-13,TSN,Rouse Scott,"EVP, Chief Customer Officer",S - Sale,$58.12,-600,"34,489",-2%,"-$34,872",,,,
7,,2020-01-16 16:46:24,2020-01-15,TSN,White Noel W,CEO,S - Sale,$91.29,"-17,417","158,400",-10%,"-$1,590,048",,,,
8,,2019-12-19 13:55:10,2019-12-17,TSN,Stouffer Stephen R,Group Pres Fresh Meats,S - Sale,$90.16,"-15,723","44,657",-26%,"-$1,417,529",,,,
9,A,2019-12-19 13:51:51,2019-05-16,TSN,Stouffer Stephen R,Group Pres Fresh Meats,S - Sale,$83.02,"-12,000","46,638",-20%,"-$996,298",,,,
10,,2019-12-02 13:04:16,2019-11-28,TSN,Rouse Scott,"EVP, Chief Customer Officer",S - Sale,$0.00,-836,"36,923",-2%,-$0,,,,
11,,2019-12-02 13:03:51,2019-12-02,TSN,Thurber Robert C.,Dir,S - Sale,$89.22,-40,"53,586",0%,"-$3,569",,,,
12,,2019-12-02 13:03:29,2019-11-28,TSN,O'Mara Noelle,Group Pres Prepared Foods,S - Sale,$0.00,-358,"11,964",-3%,-$0,,,,
13,,2019-12-02 13:03:09,2019-11-28,TSN,Ramsey Douglas Wayne,Group Pres McDonalds,S - Sale,$0.00,-627,"31,504",-2%,-$0,,,,
14,,2019-12-02 13:02:43,2019-11-28,TSN,Martin Chad Roderick,Group Pres Poultry,S - Sale,$0.00,-582,"27,443",-2%,-$0,,,,
15,D,2019-11-18 16:39:12,2019-11-14,TSN,Oleksiuk Mary,"EVP, CHRO",S - Sale+OE,$92.22,"-28,382","86,963",-25%,"-$2,617,276",,,,
16,D,2019-08-09 11:07:53,2019-08-07,TSN,Rouse Scott,"EVP, Chief Customer Officer",S - Sale+OE,$86.45,"-16,294","31,277",-34%,"-$1,408,616",,,,
17,D,2019-08-08 07:18:09,2019-08-06,TSN,Grimes Sally,Group Pres Prepared Foods,S - Sale+OE,$85.00,"-57,774","99,376",-37%,"-$4,910,790",,,,
18,D,2019-08-08 07:17:45,2019-08-06,TSN,Oleksiuk Mary,"EVP, CHRO",S - Sale+OE,$82.60,"-43,592","86,457",-34%,"-$3,600,643",,,,
19,,2019-05-17 15:25:11,2019-05-16,TSN,Stouffer Stephen R,Group Pres Fresh Meats,S - Sale,$83.02,"-12,000","47,044",-20%,"-$996,298",,,,
