,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-12 17:03:59,2021-08-12,TTWO,Sheresky Michael,Dir,S - Sale,$159.08,-159,"61,262",0%,"-$25,294",,,,
2,,2021-06-03 17:24:54,2021-06-02,TTWO,Sheresky Michael,Dir,S - Sale,$181.06,-196,"61,088",0%,"-$35,488",,,,
3,,2021-06-03 17:00:20,2021-06-03,TTWO,Emerson Daniel P,GC,S - Sale,$177.65,"-4,000","37,873",-10%,"-$710,600",,,,
4,,2021-04-15 16:57:57,2021-04-13,TTWO,Zelnick Strauss,"COB, CEO",S - Sale,$182.90,"-270,984","589,053",-32%,"-$49,563,719",,,,
5,,2021-04-15 16:53:02,2021-04-13,TTWO,Slatoff Karl,Pres,S - Sale,$182.90,"-270,984","447,553",-38%,"-$49,563,719",,,,
6,,2021-02-18 16:42:06,2021-02-16,TTWO,Sheresky Michael,Dir,S - Sale,$199.06,-226,"60,970",0%,"-$44,988",,,,
7,,2021-02-17 17:02:43,2021-02-12,TTWO,Zelnick Strauss,"COB, CEO",S - Sale,$196.49,"-37,328","696,659",-5%,"-$7,334,425",,,,
8,,2020-11-17 17:01:55,2020-11-16,TTWO,Sheresky Michael,Dir,S - Sale,$161.35,-227,"60,931",0%,"-$36,626",,,,
9,,2020-11-16 16:33:57,2020-11-12,TTWO,Zelnick Strauss,"COB, CEO",S - Sale,$160.01,"-20,000","733,987",-3%,"-$3,200,104",,,,
10,,2020-08-21 17:22:33,2020-08-19,TTWO,Zelnick Strauss,"COB, CEO",S - Sale,$173.58,"-35,000","760,987",-4%,"-$6,075,172",,,,
11,,2020-08-17 16:57:38,2020-08-14,TTWO,Sheresky Michael,Dir,S - Sale,$173.26,-216,"60,825",0%,"-$37,424",,,,
