,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-09 16:24:56,2021-08-05,TXN,Knecht Julie C.,"VP, Chief Accounting Officer",S - Sale+OE,$192.17,"-7,399","9,073",-45%,"-$1,421,836",,,,
2,,2021-08-09 16:19:40,2021-08-05,TXN,Hobby Jean M.,Dir,S - Sale,$192.04,-900,"4,081",-18%,"-$172,839",,,,
3,D,2021-05-18 16:43:00,2021-05-14,TXN,Roberts Mark T.,SVP,S - Sale+OE,$183.30,"-6,630","22,586",-23%,"-$1,215,243",,,,
4,D,2021-02-12 17:42:34,2021-02-11,TXN,Whitaker Darla H,SVP,S - Sale+OE,$177.41,"-30,658","42,646",-42%,"-$5,439,054",,,,
5,D,2021-02-12 17:20:22,2021-02-10,TXN,Flessner Kyle M,SVP,S - Sale+OE,$174.32,"-30,329","57,483",-35%,"-$5,287,074",,,,
6,D,2021-02-12 17:11:19,2021-02-10,TXN,Ron Amichai,SVP,S - Sale+OE,$173.83,"-2,844","31,046",-8%,"-$494,385",,,,
7,D,2021-02-10 18:34:43,2021-02-08,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$174.28,"-45,090","82,135",-35%,"-$7,858,191",,,,
8,D,2021-02-10 17:53:30,2021-02-08,TXN,Gary Mark,SVP,S - Sale+OE,$173.76,"-12,715","21,886",-37%,"-$2,209,315",,,,
9,D,2021-02-10 17:25:36,2021-02-08,TXN,Whitaker Darla H,SVP,S - Sale+OE,$173.00,"-39,040","42,646",-48%,"-$6,753,920",,,,
10,D,2021-02-05 17:46:14,2021-02-03,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$171.96,"-27,665","82,135",-25%,"-$4,757,258",,,,
11,D,2021-02-05 17:30:48,2021-02-04,TXN,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale+OE,$170.92,"-12,890","41,263",-24%,"-$2,203,114",,,,
12,DM,2021-02-04 19:39:49,2021-02-02,TXN,Templeton Richard K,"COB, Pres, CEO",S - Sale+OE,$171.65,"-337,500","570,506",-37%,"-$57,930,336",,,,
13,D,2021-02-03 19:29:04,2021-02-02,TXN,Patsley Pamela H,Dir,S - Sale+OE,$173.05,"-14,749","31,516",-32%,"-$2,552,362",,,,
14,D,2021-02-03 19:19:53,2021-02-01,TXN,Kozanian Hagop H,SVP,S - Sale+OE,$171.88,"-37,538","46,575",-45%,"-$6,451,853",,,,
15,D,2021-02-03 19:03:43,2021-02-01,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$170.02,"-15,165","82,135",-16%,"-$2,578,368",,,,
16,,2021-02-03 18:59:19,2021-02-01,TXN,Gary Mark,SVP,S - Sale,$169.91,"-1,250","23,791",-5%,"-$212,384",,,,
17,,2021-02-03 18:54:18,2021-02-01,TXN,Ron Amichai,SVP,S - Sale,$169.92,"-2,366","31,046",-7%,"-$402,027",,,,
18,,2021-02-03 18:47:11,2021-02-01,TXN,Flessner Kyle M,SVP,S - Sale,$169.79,"-6,309","57,483",-10%,"-$1,071,230",,,,
19,,2021-02-03 18:42:26,2021-02-01,TXN,Van Haren Julie,SVP,S - Sale,$169.67,"-6,309","18,094",-26%,"-$1,070,425",,,,
20,,2021-02-03 18:35:39,2021-02-01,TXN,Ilan Haviv,SVP,S - Sale,$169.59,"-22,080","73,369",-23%,"-$3,744,571",,,,
21,,2021-02-03 18:30:06,2021-02-01,TXN,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale,$169.81,"-10,725","41,263",-21%,"-$1,821,259",,,,
22,D,2021-02-01 20:12:36,2021-01-28,TXN,Van Haren Julie,SVP,S - Sale+OE,$169.73,"-23,733","24,403",-49%,"-$4,028,121",,,,
23,DM,2021-02-01 19:55:37,2021-01-28,TXN,Templeton Richard K,"COB, Pres, CEO",S - Sale+OE,$168.31,"-334,584","570,506",-37%,"-$56,312,694",,,,
24,D,2021-02-01 18:44:25,2021-01-28,TXN,Craighead Martin S,Dir,P - Purchase,$166.91,"+5,975","21,388",+39%,"+$997,294",,,,
25,D,2021-02-01 18:31:41,2021-01-28,TXN,Blinn Mark A,Dir,S - Sale+OE,$165.25,"-4,703","19,091",-20%,"-$777,157",,,,
26,DM,2020-11-09 18:40:15,2020-11-05,TXN,Flessner Kyle M,SVP,S - Sale+OE,$158.39,"-49,955","53,117",-48%,"-$7,912,107",,,,
27,D,2020-11-09 18:12:18,2020-11-05,TXN,Whitaker Darla H,SVP,S - Sale+OE,$155.00,"-39,928","49,567",-45%,"-$6,188,840",,,,
28,D,2020-11-06 16:36:07,2020-11-04,TXN,Bahai Ahmad,SVP,S - Sale+OE,$152.74,"-4,000","24,076",-14%,"-$610,951",,,,
29,D,2020-10-27 17:04:18,2020-10-23,TXN,Cox Carrie Smith,Dir,S - Sale+OE,$149.31,"-22,838","34,065",-40%,"-$3,409,978",,,,
30,D,2020-10-26 17:37:38,2020-10-22,TXN,Trochu Cynthia Hoff,"SVP, Secretary, GC",S - Sale+OE,$147.44,"-28,669","46,927",-38%,"-$4,226,868",,,,
31,D,2020-08-14 17:21:37,2020-08-12,TXN,Whitaker Darla H,SVP,S - Sale+OE,$138.52,"-40,000","49,524",-45%,"-$5,540,624",,,,
32,D,2020-08-12 17:05:46,2020-08-10,TXN,Ron Amichai,SVP,S - Sale+OE,$135.22,"-8,530","24,467",-26%,"-$1,153,394",,,,
33,D,2020-08-12 16:35:34,2020-08-11,TXN,Anderskouv Niels,SVP,S - Sale+OE,$138.36,"-31,222","76,434",-29%,"-$4,319,835",,,,
34,D,2020-08-10 17:25:33,2020-08-06,TXN,Whitaker Darla H,SVP,S - Sale+OE,$133.14,"-48,189","49,524",-49%,"-$6,415,647",,,,
35,D,2020-08-07 20:32:28,2020-08-05,TXN,Flessner Kyle M,SVP,S - Sale+OE,$131.63,"-26,348","53,074",-33%,"-$3,468,253",,,,
36,,2020-08-06 17:02:37,2020-08-04,TXN,Hobby Jean M.,Dir,S - Sale,$130.55,"-1,500","4,391",-25%,"-$195,823",,,,
37,D,2020-08-06 16:42:52,2020-08-04,TXN,Barker Ellen,SVP,S - Sale+OE,$131.03,"-19,065","29,197",-40%,"-$2,498,125",,,,
38,D,2020-07-30 20:16:02,2020-07-28,TXN,Xie Bing,SVP,S - Sale+OE,$130.92,"-53,800","57,626",-48%,"-$7,043,281",,,,
39,D,2020-07-29 16:20:55,2020-07-27,TXN,Patsley Pamela H,Dir,S - Sale+OE,$132.18,"-12,156","30,926",-28%,"-$1,606,824",,,,
40,D,2020-07-27 18:23:18,2020-07-24,TXN,Cox Carrie Smith,Dir,S - Sale+OE,$130.00,"-26,905","34,065",-44%,"-$3,497,650",,,,
41,D,2020-07-27 18:10:50,2020-07-23,TXN,Flessner Kyle M,SVP,S - Sale+OE,$131.59,"-26,350","53,074",-33%,"-$3,467,397",,,,
42,D,2020-05-13 19:00:27,2020-05-11,TXN,Bahai Ahmad,SVP,S - Sale+OE,$115.57,"-3,185","23,983",-12%,"-$368,090",,,,
43,D,2020-04-29 17:11:55,2020-04-27,TXN,Bahai Ahmad,SVP,S - Sale+OE,$115.60,"-8,575","23,983",-26%,"-$991,268",,,,
44,,2020-02-13 16:10:57,2020-02-11,TXN,Bahai Ahmad,SVP,S - Sale,$130.71,"-1,806","23,983",-7%,"-$236,059",,,,
45,D,2020-02-07 17:34:33,2020-02-05,TXN,Van Haren Julie,SVP,S - Sale+OE,$129.66,"-18,911","20,861",-48%,"-$2,451,996",,,,
46,D,2020-02-07 17:26:36,2020-02-05,TXN,Ron Amichai,SVP,S - Sale+OE,$130.99,"-3,747","24,365",-13%,"-$490,807",,,,
47,D,2020-02-07 17:21:47,2020-02-05,TXN,Lizardi Rafael R,"SVP, CFO",S - Sale+OE,$130.32,"-22,658","81,826",-22%,"-$2,952,827",,,,
48,,2020-02-07 17:18:31,2020-02-05,TXN,Ilan Haviv,SVP,S - Sale,$129.88,"-14,170","74,767",-16%,"-$1,840,424",,,,
