,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-09 11:35:09,2021-08-05,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$71.81,"-1,825","19,440",-9%,"-$131,053",,,,
2,D,2021-05-04 15:45:56,2021-04-30,TXT,Lupone E Robert,"EVP, GC, Secy",S - Sale+OE,$64.05,"-34,831","98,215",-26%,"-$2,230,926",,,,
3,D,2021-05-04 15:37:40,2021-04-30,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$63.41,"-10,538","20,057",-34%,"-$668,214",,,,
4,,2021-04-30 17:01:34,2021-04-30,TXT,Bader Kathleen M,Dir,S - Sale,$64.00,"-10,775","9,179",-54%,"-$689,601",,,,
5,D,2021-03-03 18:42:37,2021-03-03,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$51.75,"-3,300","19,998",-14%,"-$170,775",,,,
6,D,2021-02-24 14:41:24,2021-02-22,TXT,Connor Frank T,"EVP, CFO",S - Sale+OE,$50.98,"-91,607","169,781",-35%,"-$4,670,130",,,,
7,D,2021-02-24 14:40:07,2021-02-22,TXT,Donnelly Scott C,"COB, Pres, CEO",S - Sale+OE,$50.98,"-300,000","646,562",-32%,"-$15,294,135",,,,
8,D,2020-12-03 13:33:55,2020-12-01,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$46.30,-811,"18,669",-4%,"-$37,549",,,,
9,D,2020-09-04 14:39:57,2020-09-02,TXT,Donnelly Scott C,"COB, Pres, CEO",S - Sale+OE,$40.29,"-227,766","646,412",-26%,"-$9,176,692",,,,
10,D,2020-09-04 14:36:52,2020-09-02,TXT,Connor Frank T,"EVP, CFO",S - Sale+OE,$40.29,"-69,566","169,660",-29%,"-$2,802,814",,,,
11,D,2020-03-03 16:38:47,2020-03-02,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$40.90,"-1,500","18,305",-8%,"-$61,350",,,,
12,D,2019-03-05 15:28:45,2019-03-01,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$54.75,"-4,500","18,166",-20%,"-$246,375",,,,
13,DM,2019-02-27 15:46:47,2019-02-25,TXT,Connor Frank T,"EVP, CFO",S - Sale+OE,$55.15,"-83,933","144,446",-37%,"-$4,628,679",,,,
14,DM,2019-02-22 18:10:18,2019-02-20,TXT,Donnelly Scott C,"COB, Pres, CEO",S - Sale+OE,$55.04,"-230,654","562,967",-29%,"-$12,694,395",,,,
15,D,2018-08-02 15:17:45,2018-07-31,TXT,Duffy Julie G,EVP - HR,S - Sale+OE,$68.13,"-6,562","27,077",-20%,"-$447,069",,,,
16,DM,2018-08-01 15:08:19,2018-07-30,TXT,Lupone E Robert,"EVP, GC, Secy",S - Sale+OE,$67.50,"-45,000","80,261",-36%,"-$3,037,415",,,,
17,D,2018-07-31 15:27:08,2018-07-27,TXT,Donnelly Scott C,"COB, Pres, CEO",S - Sale+OE,$67.17,"-82,647","562,824",-13%,"-$5,551,545",,,,
18,DM,2018-05-01 21:38:05,2018-04-27,TXT,Donnelly Scott C,"COB, Pres, CEO",S - Sale+OE,$62.96,"-200,400","562,823",-26%,"-$12,617,837",,,,
19,D,2018-05-01 21:33:56,2018-04-27,TXT,Connor Frank T,"EVP, CFO",S - Sale+OE,$62.99,"-80,000","144,330",-36%,"-$5,039,200",,,,
20,D,2017-03-02 16:38:51,2017-02-28,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$47.90,-519,"14,160",-4%,"-$24,860",-2,-2,-3,
21,D,2015-11-04 09:27:29,2015-11-02,TXT,Johnson Cheryl H,"EVP, HR",S - Sale+OE,$42.37,"-2,121","31,124",-6%,"-$89,867",0,-2,-2,-9
22,D,2014-11-13 12:43:57,2014-11-11,TXT,Bamford Mark S,"VP, Corporate Controller",S - Sale+OE,$41.86,"-1,436","9,609",-13%,"-$60,118",0,+2,-7,+11
23,D,2013-10-28 14:59:26,2013-10-24,TXT,Yates Richard L,"SVP, Controller",S - Sale+OE,$28.91,"-48,144","38,930",-55%,"-$1,392,040",0,0,+13,+38
24,A,2013-02-05 16:50:24,2013-02-01,TXT,Yates Richard L,"SVP, Controller",S - Sale,$28.94,"-5,900","29,378",-17%,"-$170,737",+1,+3,+3,+1
25,,2013-02-05 16:11:35,2013-02-01,TXT,Yates Richard L,"SVP, Controller",S - Sale,$28.94,"-5,900","29,378",-17%,"-$170,737",+1,+3,+3,+1
26,D,2013-01-29 16:12:02,2013-01-28,TXT,Yates Richard L,"SVP, Controller",S - Sale+OE,$28.57,"-7,853","35,278",-18%,"-$224,353",0,-1,0,-4
27,D,2012-08-06 15:48:12,2012-08-06,TXT,Yates Richard L,"SVP, Controller",S - Sale+OE,$26.10,"-4,384","35,206",-11%,"-$114,444",-1,+1,0,+10
28,DM,2012-02-01 17:37:22,2012-01-30,TXT,Yates Richard L,"SVP, Controller",S - Sale+OE,$25.38,"-8,885","21,510",-29%,"-$225,550",-1,+3,+8,+2
29,D,2010-11-19 11:31:54,2010-11-18,TXT,Yates Richard L,"SVP, Controller",S - Sale+OE,$21.42,"-4,133","16,917",-20%,"-$88,526",+1,+3,+10,+7
30,,2010-02-19 15:27:13,2010-02-19,TXT,Yates Richard L,"SVP, Controller",S - Sale,$19.83,"-13,387","22,588",-37%,"-$265,423",0,-2,+13,-5
31,,2010-02-05 16:52:45,2010-02-03,TXT,Yates Richard L,"SVP, Controller",S - Sale,$20.66,"-7,533","35,975",-17%,"-$155,600",-1,0,+14,+13
32,,2009-11-27 15:12:33,2009-11-24,TXT,Campbell Lewis B,"COB, CEO",S - Sale,$20.15,"-40,000","248,444",-14%,"-$806,000",-3,-3,-7,0
33,,2009-11-04 14:35:57,2009-11-02,TXT,Fish Lawrence K,Dir,S - Sale,$17.95,"-2,500","62,000",-4%,"-$44,875",+1,+11,+9,+22
34,,2009-02-09 12:48:45,2009-02-05,TXT,Fish Lawrence K,Dir,P - Purchase,$6.00,"+20,000","64,500",+45%,"+$120,000",-8,+1,-33,+118
35,,2009-02-04 10:59:02,2009-02-02,TXT,Bader Kathleen M,Dir,P - Purchase,$8.95,"+5,000","22,192",+29%,"+$44,750",-24,-22,-50,+82
36,,2008-12-30 09:55:08,2008-12-29,TXT,Fish Lawrence K,Dir,P - Purchase,$12.76,"+20,000","44,500",+82%,"+$255,198",+1,+26,-29,-24
37,,2008-10-24 13:44:20,2008-10-22,TXT,Fish Lawrence K,Dir,P - Purchase,$15.75,"+20,000","24,500",+444%,"+$315,000",+6,+36,+13,-1
38,,2008-10-24 13:42:43,2008-10-22,TXT,Bader Kathleen M,Dir,P - Purchase,$12.99,"+5,000","17,159",+41%,"+$64,950",+6,+36,+13,-1
39,,2008-10-21 15:45:18,2008-10-20,TXT,Bader Kathleen M,Dir,P - Purchase,$18.50,"+5,000","12,159",+70%,"+$92,489",-15,-28,-30,-39
40,,2008-08-14 12:15:58,2008-08-12,TXT,Fish Lawrence K,Dir,P - Purchase,$44.17,"+2,500","4,500",+125%,"+$110,420",0,-9,-8,-84
41,,2008-08-08 14:34:57,2008-08-06,TXT,Bader Kathleen M,Dir,P - Purchase,$41.50,"+5,000","7,142",+233%,"+$207,498",+4,+2,-7,-83
42,M,2008-08-06 10:28:26,2008-08-04,TXT,Evans Ivor J,Dir,P - Purchase,$41.89,"+5,000","7,000",+250%,"+$209,470",+2,+3,-6,-85
43,,2008-08-04 11:04:13,2008-08-01,TXT,Clark R Kerry,Dir,P - Purchase,$43.07,"+5,000","7,000",+250%,"+$215,350",-3,+2,-3,-80
44,,2008-07-25 16:51:59,2008-07-24,TXT,Ford Joe T,Dir,P - Purchase,$43.70,"+5,000","9,000",+125%,"+$218,490",-2,+2,-10,-71
45,,2008-05-23 11:58:33,2008-05-21,TXT,Yates Richard L,"SVP, Controller",S - Sale,$63.69,"-12,448","43,970",-22%,"-$792,850",-2,+2,-15,-80
46,D,2008-05-14 09:21:41,2008-05-13,TXT,French Ted R,"EVP, CFO",S - Sale+OE,$61.61,"-20,000","139,091",-13%,"-$1,232,279",+1,+1,-8,-75
47,,2008-04-30 17:45:27,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale,$61.37,"-77,019","370,685",-17%,"-$4,726,678",+1,+2,+1,-78
48,,2008-04-30 17:43:37,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale,$61.30,"-108,582","427,482",-20%,"-$6,655,672",+1,+2,+1,-78
49,,2008-04-30 17:41:14,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale,$61.23,"-236,988","536,064",-31%,"-$14,509,941",+1,+2,+1,-78
50,,2008-04-30 17:39:28,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale,$61.10,"-104,983","773,052",-12%,"-$6,414,350",+1,+2,+1,-78
51,,2008-04-30 17:36:59,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale,$60.89,"-36,825","878,035",-4%,"-$2,242,451",+1,+2,+1,-78
52,D,2008-04-30 17:35:43,2008-04-28,TXT,Campbell Lewis B,"COB, Pres, CEO",S - Sale+OE,$60.59,"-27,645","914,860",-3%,"-$1,674,906",+1,+2,+1,-78
