,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-07-07 16:51:18,2021-07-06,JCI,Oliver George,"COB, CEO",S - Sale+OE,$68.17,"-176,754","1,138,633",-13%,"-$12,048,740",,,,
2,D,2021-06-08 16:11:01,2021-06-07,JCI,Minella Lynn C,"VP, CHRO",S - Sale+OE,$66.44,"-75,325","77,009",-49%,"-$5,004,713",,,,
3,D,2021-06-04 16:28:33,2021-06-03,JCI,Oliver George,"COB, CEO",S - Sale+OE,$66.36,"-176,754","1,138,633",-13%,"-$11,728,700",,,,
4,,2021-06-04 16:26:40,2021-06-03,JCI,Donofrio John,"EVP, GC",S - Sale,$65.83,"-40,000","33,244",-55%,"-$2,633,200",,,,
5,D,2021-05-11 17:37:38,2021-05-10,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale+OE,$66.08,"-19,196","65,032",-23%,"-$1,268,433",,,,
6,D,2021-03-09 16:09:29,2021-03-08,JCI,Vanhimbergen Robert M,VP Corporate Controller,S - Sale+OE,$60.06,"-4,265","40,022",-10%,"-$256,156",,,,
7,,2021-03-09 16:06:41,2021-03-08,JCI,Ramaswamy Sreeganesh,"VP, Pres, Global Services",S - Sale,$60.00,"-1,943","59,921",-3%,"-$116,580",,,,
8,D,2021-03-05 08:59:00,2021-03-03,JCI,Vanhimbergen Robert M,VP Corporate Controller,S - Sale+OE,$57.67,"-13,500","40,022",-25%,"-$778,530",,,,
9,,2021-02-22 18:16:36,2021-02-19,JCI,Ramaswamy Sreeganesh,"VP, Pres, Global Services",S - Sale,$56.09,"-5,000","61,864",-7%,"-$280,450",,,,
10,,2021-01-15 16:17:49,2021-01-14,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$52.57,"-25,768","64,619",-29%,"-$1,354,624",,,,
11,,2021-01-14 16:22:55,2021-01-13,JCI,Ramaswamy Sreeganesh,"VP, Pres, Global Services",S - Sale,$52.00,"-5,000","66,483",-7%,"-$260,000",,,,
12,,2021-01-12 16:28:40,2021-01-11,JCI,Ramaswamy Sreeganesh,"VP, Pres, Global Services",S - Sale,$50.87,"-5,000","71,483",-7%,"-$254,329",,,,
13,M,2020-12-10 14:55:05,2020-12-08,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$45.63,"-25,128","73,973",-25%,"-$1,146,576",,,,
14,DM,2020-12-10 14:52:30,2020-12-08,JCI,Stief Brian J,Vice COB,S - Sale+OE,$45.69,"-36,618","18,103",-67%,"-$1,673,077",,,,
15,,2020-11-10 16:27:27,2020-11-09,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$47.50,"-13,000","86,995",-13%,"-$617,500",,,,
16,,2020-11-05 17:33:48,2020-11-04,JCI,Vanhimbergen Robert M,VP Corporate Controller,S - Sale,$42.76,"-4,200","39,776",-10%,"-$179,592",,,,
17,,2020-11-05 17:31:38,2020-11-04,JCI,Brannemo Tomas,"VP, Pres, BTS EMEALA",S - Sale,$41.97,"-14,702","41,176",-26%,"-$617,043",,,,
18,,2020-11-04 14:06:56,2020-11-03,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$45.00,"-1,217","99,995",-1%,"-$54,765",,,,
19,,2020-09-14 18:36:41,2020-09-11,JCI,Donofrio John,"EVP, GC",S - Sale,$42.04,"-38,290","52,915",-42%,"-$1,609,712",,,,
20,D,2020-09-03 14:16:38,2020-09-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$40.85,"-21,991","1,022,080",-2%,"-$898,332",,,,
21,D,2020-08-04 17:45:33,2020-08-03,JCI,Stief Brian J,"EVP, CFO",S - Sale+OE,$38.54,"-61,953","36,971",-63%,"-$2,387,669",,,,
22,D,2020-08-04 17:42:59,2020-08-03,JCI,Vanhimbergen Robert M,VP Corporate Controller,S - Sale+OE,$38.51,"-17,256","19,992",-46%,"-$664,529",,,,
23,D,2020-08-04 17:37:12,2020-08-03,JCI,Oliver George,"COB, CEO",S - Sale+OE,$38.66,"-22,174","1,018,521",-2%,"-$857,247",,,,
24,D,2020-07-02 15:24:17,2020-07-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$34.17,"-22,620","1,014,247",-2%,"-$772,925",,,,
25,D,2020-06-03 15:29:07,2020-06-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$31.58,"-22,935","1,011,316",-2%,"-$724,287",,,,
26,D,2020-05-04 18:34:28,2020-05-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$27.84,"-23,493","1,008,699",-2%,"-$654,136",,,,
27,D,2020-04-02 16:05:13,2020-04-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$25.61,"-23,905","1,005,545",-2%,"-$612,091",,,,
28,D,2020-03-03 14:29:04,2020-03-02,JCI,Oliver George,"COB, CEO",S - Sale+OE,$36.86,"-22,350","1,003,898",-2%,"-$823,847",,,,
29,D,2020-02-04 18:29:28,2020-02-03,JCI,Oliver George,"COB, CEO",S - Sale+OE,$39.71,"-22,086","1,000,696",-2%,"-$877,112",,,,
30,D,2020-01-03 17:10:39,2020-01-02,JCI,Oliver George,"COB, CEO",S - Sale+OE,$40.99,"-21,982","996,417",-2%,"-$901,042",,,,
31,,2019-12-11 18:43:55,2019-12-10,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$42.17,"-13,598","101,195",-12%,"-$573,428",,,,
32,,2019-12-11 18:42:24,2019-12-11,JCI,Rushing Rodney M,"Pres Bldg Solutions, North Am",S - Sale,$42.50,"-9,460","22,891",-29%,"-$402,050",,,,
33,D,2019-12-03 16:35:09,2019-12-02,JCI,Oliver George,"COB, CEO",S - Sale+OE,$42.59,"-21,863","879,509",-2%,"-$931,145",,,,
34,,2019-11-12 16:15:56,2019-11-08,JCI,Vanhimbergen Robert M,VP Corporate Controller,S - Sale,$41.97,"-2,385","17,157",-12%,"-$100,098",,,,
35,D,2019-11-05 16:01:55,2019-11-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$43.65,"-21,807","875,820",-2%,"-$951,876",,,,
36,,2019-10-15 11:39:44,2019-10-11,JCI,Rushing Rodney M,"Pres Bldg Solutions, North Am",S - Sale,$42.50,-764,"15,447",-5%,"-$32,470",,,,
37,,2019-10-10 16:44:56,2019-10-09,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$41.76,"-1,870","91,215",-2%,"-$78,091",,,,
38,D,2019-10-03 10:34:47,2019-10-01,JCI,Oliver George,"COB, CEO",S - Sale+OE,$43.41,"-21,805","879,738",-2%,"-$946,540",,,,
39,D,2019-09-13 15:02:03,2019-09-12,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale+OE,$44.29,"-37,986","94,506",-29%,"-$1,682,400",,,,
40,D,2019-09-13 14:52:47,2019-09-12,JCI,Rushing Rodney M,"Pres Bldg Solutions, North Am",S - Sale+OE,$44.28,"-14,000","16,767",-46%,"-$619,920",,,,
41,,2019-09-06 16:23:11,2019-09-05,JCI,Williams Jeffrey M,"VP, Pres G Prod Bldg Tech Sol",S - Sale,$42.91,"-52,655","94,506",-36%,"-$2,259,505",,,,
