,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-10 16:05:39,2021-09-08,TYL,Carter Glenn A,Dir,S - Sale,$486.23,-200,"1,053",-16%,"-$97,246",,,,
2,D,2021-09-09 12:10:02,2021-09-08,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$484.60,"-2,500","53,182",-4%,"-$1,211,507",,,,
3,D,2021-09-08 17:46:48,2021-09-03,TYL,Moore H Lynn Jr,Pres,S - Sale+OE,$488.04,"-5,000","74,796",-6%,"-$2,440,199",,,,
4,DM,2021-09-03 16:22:10,2021-09-01,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$486.64,"-24,290","103,511",-19%,"-$11,820,484",,,,
5,M,2021-08-26 17:41:01,2021-08-24,TYL,Marr John S Jr,Exec COB,S - Sale,$473.06,"-15,000","207,597",-7%,"-$7,095,887",,,,
6,D,2021-08-12 17:45:47,2021-08-10,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$486.44,-710,"118,511",-1%,"-$345,373",,,,
7,D,2021-08-04 15:06:56,2021-08-02,TYL,Moore H Lynn Jr,Pres,S - Sale+OE,$492.46,"-6,105","74,796",-8%,"-$3,006,493",,,,
8,D,2021-06-16 13:34:54,2021-06-15,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$430.62,"-3,500","53,174",-6%,"-$1,507,153",,,,
9,,2021-06-15 12:42:26,2021-06-14,TYL,Marr John S Jr,Exec COB,S - Sale,$430.45,"-16,092","118,511",-12%,"-$6,926,726",,,,
10,,2021-06-09 16:31:12,2021-06-07,TYL,Marr John S Jr,Exec COB,S - Sale,$408.30,"-10,000","134,603",-7%,"-$4,082,956",,,,
11,,2021-05-20 17:23:06,2021-05-18,TYL,Marr John S Jr,Exec COB,S - Sale,$397.09,"-10,000","144,603",-6%,"-$3,970,929",,,,
12,D,2021-05-12 17:37:46,2021-05-12,TYL,King Luther Jr,Dir,S - Sale+OE,$387.70,"-7,935","164,011",-5%,"-$3,076,411",,,,
13,D,2021-03-03 12:30:32,2021-03-01,TYL,Brattain Donald R,Dir,S - Sale+OE,$477.58,"-3,000","6,572",-31%,"-$1,432,725",,,,
14,D,2021-03-03 12:19:22,2021-03-01,TYL,Womble Dustin R,Dir,S - Sale+OE,$470.50,"-12,244","137,331",-8%,"-$5,760,802",,,,
15,D,2021-03-02 18:44:47,2021-03-01,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$473.79,"-5,000","52,679",-9%,"-$2,368,950",,,,
16,D,2021-03-02 18:02:42,2021-02-26,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$466.11,"-16,750","73,495",-19%,"-$7,807,381",,,,
17,,2021-02-26 18:26:57,2021-02-25,TYL,Marr John S Jr,Exec COB,S - Sale,$466.47,"-13,000","139,903",-9%,"-$6,064,092",,,,
18,D,2021-02-26 18:14:44,2021-02-25,TYL,Womble Dustin R,Dir,S - Sale+OE,$471.91,"-7,756","137,331",-5%,"-$3,660,153",,,,
19,DM,2021-02-19 18:13:11,2021-02-17,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$466.97,"-25,000","152,903",-14%,"-$11,674,149",,,,
20,D,2021-02-19 17:48:01,2021-02-17,TYL,Pope Daniel M,Dir,S - Sale+OE,$464.57,-705,"2,670",-21%,"-$327,522",,,,
21,,2021-01-29 11:34:55,2020-08-06,TYL,Brattain Donald R,Dir,S - Sale,$365.00,-275,"8,305",-3%,"-$100,375",,,,
22,D,2020-12-16 12:13:53,2020-12-15,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$450.00,"-5,924","64,262",-8%,"-$2,665,789",,,,
23,D,2020-12-10 17:39:48,2020-12-09,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$447.10,"-10,000","64,262",-13%,"-$4,471,000",,,,
24,DM,2020-12-10 17:29:04,2020-12-08,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$445.01,"-6,417","47,836",-12%,"-$2,855,630",,,,
25,M,2020-12-10 17:00:16,2020-12-09,TYL,Marr John S Jr,Exec COB,S - Sale,$445.30,"-30,747","152,903",-17%,"-$13,691,744",,,,
26,DM,2020-12-03 16:58:19,2020-12-01,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$427.53,"-15,261","183,650",-8%,"-$6,524,563",,,,
27,,2020-11-25 12:40:01,2020-11-24,TYL,Marr John S Jr,Exec COB,S - Sale,$410.34,"-10,000","198,911",-5%,"-$4,103,418",,,,
28,D,2020-11-18 11:56:57,2020-11-16,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$412.28,"-10,000","65,947",-13%,"-$4,122,795",,,,
29,,2020-11-16 15:00:03,2020-11-12,TYL,Marr John S Jr,Exec COB,S - Sale,$418.26,"-12,000","208,911",-5%,"-$5,019,134",,,,
30,D,2020-11-12 15:32:15,2020-11-09,TYL,Miller Brian K,"EVP, CFO",S - Sale+OE,$426.71,"-4,000","48,762",-8%,"-$1,706,840",,,,
31,,2020-11-12 15:17:08,2020-11-09,TYL,Brattain Donald R,Dir,S - Sale,$418.50,"-1,438","7,946",-15%,"-$601,803",,,,
32,D,2020-11-12 15:03:00,2020-11-09,TYL,Womble Dustin R,Dir,S - Sale+OE,$423.12,"-25,661","137,331",-16%,"-$10,857,789",,,,
33,D,2020-09-17 17:57:55,2020-09-15,TYL,Moore H Lynn Jr,"Pres, CEO",S - Sale+OE,$355.00,"-7,500","65,947",-10%,"-$2,662,508",,,,
34,DM,2020-09-03 18:33:45,2020-09-01,TYL,Marr John S Jr,Exec COB,S - Sale+OE,$346.40,"-31,000","220,911",-12%,"-$10,738,438",,,,
35,,2020-09-02 16:55:25,2020-03-31,TYL,Brattain Donald R,Dir,S - Sale,$342.09,-295,"9,384",-3%,"-$100,916",,,,
36,,2020-08-21 10:45:32,2020-08-19,TYL,Womble Dustin R,Dir,S - Sale,$338.18,"-10,000","146,105",-6%,"-$3,381,800",,,,
37,,2020-06-15 19:48:56,2020-06-12,TYL,King Luther Jr,Dir,S - Sale,$342.05,"-2,000","141,193",-1%,"-$684,106",,,,
