,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-24 16:28:34,2021-08-24,UA,Sanders Harvey,Dir,S - Sale,$20.57,"-10,405","319,168",-3%,"-$214,070",,,,
2,,2021-08-24 16:28:26,2021-08-24,UAA,Sanders Harvey,Dir,S - Sale,$24.01,"-10,480","235,426",-4%,"-$251,645",,,,
3,,2020-12-21 16:14:15,2020-12-17,UAA,Stanton John Patrick,"EVP, GC",S - Sale,$17.39,"-1,000","44,949",-2%,"-$17,393",,,,
4,,2020-12-21 16:14:08,2020-12-17,UA,Stanton John Patrick,"EVP, GC",S - Sale,$15.22,"-1,007","274,667",0%,"-$15,331",,,,
5,M,2020-04-01 17:14:11,2014-07-10,UAA,Plank Kevin A,"Exec.COB, Brand Chief, 10%",P - Purchase,$77.67,+556,"181,608",0%,"+$43,184",,,,
6,M,2020-04-01 17:14:11,2014-09-04,UAA,Plank Kevin A,"Exec.COB, Brand Chief, 10%",S - Sale,$44.11,-556,"181,608",0%,"-$24,528",,,,
7,M,2020-04-01 17:07:11,2016-08-03,UA,Plank Kevin A,"Exec. COB, Brand Chief, 10%",S - Sale,$26.71,-398,"33,819,595",0%,"-$10,630",,,,
8,,2019-11-27 16:21:11,2019-11-26,UA,Eskridge Kevin,Chief Product Officer,S - Sale,$15.84,"-19,348","174,412",-10%,"-$306,561",,,,
9,,2019-08-13 16:49:10,2019-08-12,UA,Eskridge Kevin,Chief Product Officer,S - Sale,$17.69,"-56,500","196,374",-22%,"-$999,462",,,,
10,,2019-02-25 16:21:17,2019-02-22,UA,Fipps Paul,Chief Digital Officer,S - Sale,$19.49,"-23,247","362,784",-6%,"-$453,014",,,,
11,,2019-02-25 16:14:11,2019-02-22,UAA,Fipps Paul,Chief Digital Officer,S - Sale,$21.55,"-3,106","11,015",-22%,"-$66,928",,,,
12,,2018-11-30 16:07:14,2018-11-30,UA,Bergman David,CFO,S - Sale,$22.00,"-2,500","157,666",-2%,"-$55,000",,,,
13,,2018-11-07 16:07:13,2018-11-06,UA,Bergman David,CFO,S - Sale,$21.30,"-5,000","160,166",-3%,"-$106,500",,,,
14,,2018-08-23 16:42:13,2018-08-22,UA,Bergman David,CFO,S - Sale,$19.89,"-5,000","165,166",-3%,"-$99,455",,,,
15,,2018-05-14 16:21:11,2018-05-11,UA,Frisk Patrik,"Pres, COO",P - Purchase,$16.62,"+14,000","666,847",+2%,"+$232,721",,,,
16,,2018-05-14 16:14:11,2018-05-11,UAA,Frisk Patrik,"Pres, COO",P - Purchase,$18.50,"+14,000","14,000",New,"+$258,934",,,,
17,,2018-05-08 16:07:12,2018-05-07,UA,Larose Jason,"Pres, North America",S - Sale,$16.17,"-35,000","169,619",-17%,"-$566,031",,,,
18,D,2018-05-07 16:42:17,2018-05-07,UA,McDermott William R,Dir,S - Sale+OE,$16.08,"-6,349","80,167",-7%,"-$102,096",,,,
19,D,2018-05-07 16:42:11,2018-05-07,UAA,McDermott William R,Dir,S - Sale+OE,$17.70,"-6,508","59,657",-10%,"-$115,214",,,,
20,,2018-05-04 16:49:16,2018-05-03,UAA,Sanders Harvey,Dir,S - Sale,$18.36,"-6,513","235,426",-3%,"-$119,579",,,,
21,,2018-05-04 16:49:10,2018-05-03,UA,Sanders Harvey,Dir,S - Sale,$16.29,"-6,372","257,439",-2%,"-$103,800",,,,
22,,2017-12-07 16:14:11,2017-12-06,UA,Fipps Paul,CTO,S - Sale,$11.61,"-1,500","172,170",-1%,"-$17,417",,,,
23,,2017-05-11 17:07:16,2017-05-09,UA,McDermott William R,Dir,S - Sale,$19.85,"-4,717","66,270",-7%,"-$93,609",-3,,,
24,,2017-05-11 17:07:11,2017-05-09,UAA,McDermott William R,Dir,S - Sale,$21.40,"-4,799","59,657",-7%,"-$102,704",-2,,,
25,,2017-05-11 16:28:45,2017-05-09,UA,Sanders Harvey,Dir,S - Sale,$19.79,"-4,717","243,380",-2%,"-$93,360",-3,,,
26,,2017-05-11 16:28:18,2017-05-10,UA,Krongard A B,Dir,S - Sale,$19.70,"-4,717","124,434",-4%,"-$92,939",-3,,,
27,,2017-05-11 16:22:14,2017-05-10,UAA,Krongard A B,Dir,S - Sale,$21.33,"-4,799","116,297",-4%,"-$102,382",-2,,,
28,,2017-05-11 16:22:07,2017-05-09,UA,Chandler Kerry D,CHRO,S - Sale,$19.79,"-5,965","114,108",-5%,"-$118,071",-3,,,
29,,2017-05-11 16:21:27,2017-05-09,UAA,Sanders Harvey,Dir,S - Sale,$21.33,"-4,799","235,426",-2%,"-$102,376",-2,,,
30,,2017-05-11 16:21:18,2017-05-09,UAA,Chandler Kerry D,CHRO,S - Sale,$21.38,"-5,921","12,803",-32%,"-$126,561",-2,,,
31,,2016-08-29 16:21:10,2016-08-25,UAC,Fipps Paul,CIO,S - Sale,$38.20,"-1,993","56,732",-3%,"-$76,139",,,,
32,,2016-08-29 16:14:10,2016-08-25,UA,Fipps Paul,CIO,S - Sale,$42.16,"-1,980","12,801",-13%,"-$83,471",-1,-9,-10,-51
33,,2016-08-26 14:21:16,2016-08-25,UAC,Mirchin Matthew C,Pres of North America,S - Sale,$38.90,"-17,075","29,117",-37%,"-$664,182",,,,
34,,2016-08-26 14:21:10,2016-08-25,UA,Mirchin Matthew C,Pres of North America,S - Sale,$42.92,"-16,015","29,869",-35%,"-$687,365",-1,-7,-12,-50
35,,2016-08-25 17:28:10,2016-08-24,UAC,Maurath Karl-Heinz,Chief Revenue Officer,S - Sale,$38.99,"-55,019","26,058",-68%,"-$2,145,317",,,,
36,,2016-08-25 16:56:10,2016-08-24,UA,Maurath Karl-Heinz,Chief Revenue Officer,S - Sale,$43.34,"-54,632","25,840",-68%,"-$2,367,685",-1,-7,-10,-47
37,D,2016-08-18 17:07:16,2016-08-17,UAC,Coltharp Douglas E,Dir,S - Sale+OE,$37.87,"-6,695","141,303",-5%,"-$253,518",,,,
38,DM,2016-08-18 17:07:10,2016-08-17,UA,Coltharp Douglas E,Dir,S - Sale+OE,$41.78,"-6,648","136,820",-5%,"-$277,761",+2,+2,-10,-48
39,,2016-08-08 17:07:10,2016-08-05,UA,Adams Byron K Jr,Dir,S - Sale,$40.00,"-34,726","46,293",-43%,"-$1,389,040",-1,+3,-3,-49
40,,2016-08-05 13:56:11,2016-08-04,UAC,Adams Byron K Jr,Dir,S - Sale,$35.08,"-34,972","50,136",-41%,"-$1,226,961",,,,
41,A,2016-05-02 16:21:11,2016-04-26,UAC,Plank Kevin A,"COB, CEO, 10%",S - Sale,$44.15,"-200,000","29,522,170",-1%,"-$8,830,000",,,,
42,,2016-04-29 17:49:11,2016-04-29,UAC,Plank Kevin A,"COB, CEO, 10%",S - Sale,$40.85,"-225,000","33,611,546",-1%,"-$9,190,273",,,,
43,M,2016-04-28 19:35:11,2015-04-26,UAC,Plank Kevin A,"COB, CEO, 10%",S - Sale,$43.07,"-675,000","33,836,546",-2%,"-$29,072,058",,,,
44,,2016-04-26 19:28:11,2016-04-25,UAC,Thurston Robin,Chief Digital Officer,S - Sale,$44.38,"-17,140","51,067",-25%,"-$760,605",,,,
45,,2016-04-26 19:14:18,2016-04-26,UAC,Hardy James H Jr,"EVP, Global Operations",S - Sale,$44.15,"-32,500","38,009",-46%,"-$1,434,778",,,,
46,D,2016-04-26 18:56:11,2016-04-25,UAC,Mirchin Matthew C,Pres of North America,S - Sale+OE,$44.38,"-26,394","45,867",-37%,"-$1,171,252",,,,
47,D,2016-04-26 18:28:26,2016-04-25,UAC,Sanders Harvey,Dir,S - Sale+OE,$44.16,"-8,400","235,426",-3%,"-$370,911",,,,
48,D,2016-04-26 18:28:12,2016-04-25,UAC,Krongard A B,Dir,S - Sale+OE,$44.41,"-8,400","116,297",-7%,"-$373,081",,,,
49,D,2016-04-26 18:21:38,2016-04-25,UA,Mirchin Matthew C,Pres of North America,S - Sale+OE,$46.43,"-26,377","45,884",-37%,"-$1,224,784",-4,-8,-19,-24
50,D,2016-04-26 18:21:32,2016-04-25,UA,Krongard A B,Dir,S - Sale+OE,$46.40,"-8,400","116,297",-7%,"-$389,768",-4,-8,-19,-24
51,D,2016-04-26 18:21:25,2016-04-25,UA,Sanders Harvey,Dir,S - Sale+OE,$46.42,"-8,400","235,426",-3%,"-$389,948",-4,-8,-19,-24
52,,2016-04-26 18:21:19,2016-04-26,UA,Hardy James H Jr,"EVP, Global Operations",S - Sale,$46.69,"-32,500","38,009",-46%,"-$1,517,295",-4,-8,-19,-24
53,,2016-04-26 18:21:12,2016-04-25,UA,Thurston Robin,Chief Digital Officer,S - Sale,$46.47,"-17,140","51,067",-25%,"-$796,479",-4,-8,-19,-24
54,,2016-02-03 16:21:10,2016-02-01,UA,Katz Karen,Dir,P - Purchase,$83.68,"+2,000","6,900",+41%,"+$167,360",0,-10,+3,-6
55,D,2015-11-24 19:35:08,2015-11-24,UA,McDermott William R,Dir,S - Sale+OE,$92.55,"-8,400","59,139",-12%,"-$777,415",0,-5,-11,-17
56,,2015-11-24 19:28:08,2015-11-24,UA,Maurath Karl-Heinz,Chief Revenue Officer,S - Sale,$92.29,"-53,420","61,838",-46%,"-$4,930,276",0,-5,-11,-17
57,DM,2015-11-23 18:49:09,2015-11-20,UA,Plank Kevin A,"COB, CEO, 10%",S - Sale+OE,$91.99,"-450,000","190,123",-70%,"-$41,394,705",0,-6,-13,-17
58,D,2015-11-23 16:14:16,2015-11-20,UA,Peake Adam,EVP of Category Management,S - Sale+OE,$92.09,"-12,000","75,580",-14%,"-$1,105,030",0,-6,-13,-17
59,,2015-11-23 16:14:12,2015-11-20,UA,Adams Byron K Jr,Dir,S - Sale,$90.92,"-7,000","80,562",-8%,"-$636,440",0,-6,-13,-17
60,,2015-11-23 16:14:08,2015-11-20,UA,Chandler Kerry D,CHRO,S - Sale,$91.53,"-3,588","10,974",-25%,"-$328,397",0,-6,-13,-17
61,DM,2015-11-19 18:35:09,2015-11-18,UA,Plank Kevin A,"COB, CEO, 10%",S - Sale+OE,$88.65,"-237,500","190,123",-56%,"-$21,053,442",+3,+3,-10,-15
62,DM,2015-11-19 16:42:09,2015-11-17,UA,Plank Kevin A,"COB, CEO, 10%",S - Sale+OE,$85.76,"-437,500","190,123",-70%,"-$37,520,813",+3,+3,-10,-15
63,D,2015-11-06 16:32:41,2015-11-05,UA,Dickerson Brad,"COO, CFO",S - Sale+OE,$95.56,"-10,000","56,838",-15%,"-$955,632",-3,-4,-10,-19
64,,2015-08-14 16:35:09,2015-08-13,UA,Bodenheimer George Ward,Dir,P - Purchase,$99.41,"+3,000","7,744",+63%,"+$298,232",0,-4,-4,-24
65,D,2015-08-06 16:14:13,2015-08-05,UA,Dickerson Brad,"COO, CFO",S - Sale+OE,$100.99,"-10,000","56,838",-15%,"-$1,009,893",0,0,-3,-17
66,,2015-07-31 16:14:12,2015-07-30,UA,Deering Anthony W,Dir,S - Sale,$98.31,"-30,400","66,234",-31%,"-$2,988,715",-1,-1,-3,-14
67,,2015-05-19 16:56:12,2015-05-18,UA,Hardy James H Jr,"EVP, Global Operations",S - Sale,$78.69,"-10,160","80,094",-11%,"-$799,478",0,-1,+5,+11
68,DM,2015-04-30 17:14:09,2015-04-28,UA,Plank Kevin A,"COB, CEO, 10%",S - Sale+OE,$80.02,"-405,000","190,123",-68%,"-$32,407,904",+1,-1,+1,+22
69,M,2015-04-28 17:21:09,2015-04-27,UA,Maurath Karl-Heinz,Pres of International,S - Sale,$81.54,"-15,000","115,258",-12%,"-$1,223,073",-2,-4,-4,+14
70,,2015-02-27 16:28:08,2015-02-25,UA,Fulks Kip J,COO,S - Sale,$76.75,"-141,383","156,838",-47%,"-$10,851,145",0,-2,+3,+18
71,D,2015-02-27 16:21:09,2015-02-25,UA,Stafford Henry B.,Chief Merchandising Officer,S - Sale+OE,$76.47,"-28,462","101,973",-22%,"-$2,176,536",0,-2,+3,+18
72,D,2015-02-25 16:28:08,2015-02-24,UA,Peake Adam,EVP of Global Marketing,S - Sale+OE,$75.57,"-20,000","75,580",-21%,"-$1,511,338",+1,0,+4,+12
73,,2015-02-24 16:42:08,2015-02-23,UA,Mirchin Matthew C,Pres of North America,S - Sale,$75.88,"-12,000","52,621",-19%,"-$910,590",+1,+2,+8,+19
