,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-27 16:53:28,2021-09-23,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$54.45,"-30,000","1,043,726",-3%,"-$1,633,467",,,,
2,,2021-08-10 19:49:06,2021-08-06,UDR,McDonnough Clinton D,Dir,S - Sale,$55.54,"-5,000","6,496",-43%,"-$277,701",,,,
3,,2021-08-03 17:50:00,2021-08-03,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$54.95,"-15,000","52,667",-22%,"-$824,250",,,,
4,,2021-08-03 17:49:55,2021-08-02,UDR,Davis Jerry A,Pres,S - Sale,$55.45,"-20,000","129,887",-13%,"-$1,109,014",,,,
5,,2021-07-27 17:20:22,2021-07-23,UDR,Davis Jerry A,Pres,S - Sale,$54.48,"-20,000","149,887",-12%,"-$1,089,598",,,,
6,,2021-06-16 16:44:44,2021-06-14,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$49.98,"-60,000","1,133,726",-5%,"-$2,998,806",,,,
7,,2021-06-14 17:28:56,2021-06-10,UDR,Hofmeister Tracy L,SVP - Chief Accounting Officer,S - Sale,$50.50,"-2,000","9,794",-17%,"-$101,000",,,,
8,,2021-06-03 17:52:24,2021-06-02,UDR,Fisher Joseph D,SVP-CFO,S - Sale,$48.85,"-11,509","23,977",-32%,"-$562,263",,,,
9,,2021-04-07 18:21:16,2021-04-07,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$44.40,"-10,000","1,193,726",-1%,"-$444,010",,,,
10,,2021-03-17 17:11:02,2021-03-15,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$45.34,"-15,000","67,667",-18%,"-$680,172",,,,
11,,2021-03-17 17:10:57,2021-03-16,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$45.53,"-40,000","1,203,726",-3%,"-$1,821,103",,,,
12,,2021-01-19 17:24:30,2021-01-14,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$38.81,"-120,000","1,251,226",-9%,"-$4,656,816",,,,
13,D,2021-01-06 18:42:35,2021-01-04,UDR,Toomey Thomas W,"COB, CEO",S - Sale+OE,$38.50,"-100,000","1,371,226",-7%,"-$3,850,000",,,,
14,,2020-11-12 16:49:13,2020-11-10,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$39.00,"-30,000","1,471,226",-2%,"-$1,170,000",,,,
15,,2020-06-08 17:16:34,2020-06-08,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$42.50,"-10,000","77,261",-11%,"-$425,000",,,,
16,,2020-06-05 19:17:25,2020-06-05,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$40.73,"-30,000","1,501,226",-2%,"-$1,222,026",,,,
17,,2020-04-09 17:51:45,2020-04-09,UDR,Davis Jerry A,Pres-COO,S - Sale,$40.00,"-10,000","170,497",-6%,"-$400,000",,,,
18,,2020-02-21 17:54:09,2020-02-21,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$50.78,"-10,000","87,261",-10%,"-$507,829",,,,
19,,2020-02-18 18:22:42,2020-02-18,UDR,Troupe Warren L,Senior EVP,S - Sale,$50.20,"-40,000","400,761",-9%,"-$2,007,928",,,,
20,D,2020-01-06 18:02:21,2020-01-02,UDR,Davis Jerry A,Pres-COO,S - Sale+OE,$46.72,"-10,000","173,065",-5%,"-$467,200",,,,
21,,2019-10-10 17:13:00,2019-10-10,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$48.61,"-40,000","1,642,826",-2%,"-$1,944,556",,,,
22,,2019-10-10 17:11:48,2019-10-10,UDR,Troupe Warren L,Senior EVP,S - Sale,$48.58,"-20,000","470,761",-4%,"-$971,612",,,,
23,,2019-10-10 17:11:41,2019-10-10,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$48.54,"-10,000","87,284",-10%,"-$485,431",,,,
24,,2019-10-01 16:40:13,2019-10-01,UDR,Davis Jerry A,Pres-COO,S - Sale,$48.38,"-10,000","183,065",-5%,"-$483,800",,,,
25,,2019-08-23 18:10:25,2019-08-23,UDR,Fisher Joseph D,SVP-CFO,S - Sale,$48.23,"-3,100","25,294",-11%,"-$149,501",,,,
26,,2019-07-02 16:45:50,2019-07-01,UDR,Davis Jerry A,Pres-COO,S - Sale,$45.21,"-10,000","193,065",-5%,"-$452,100",,,,
27,,2019-06-18 17:59:58,2019-06-18,UDR,Troupe Warren L,Senior EVP,S - Sale,$46.61,"-5,000","490,761",-1%,"-$233,064",,,,
28,,2019-06-10 17:49:51,2019-06-07,UDR,Fisher Joseph D,SVP-CFO,S - Sale,$46.41,"-3,250","28,394",-10%,"-$150,819",,,,
29,,2019-06-07 20:26:23,2019-06-05,UDR,Klingbeil James D,Dir,P - Purchase,$45.63,+22,"162,642",0%,"+$1,004",,,,
30,,2019-05-10 17:07:08,2019-05-10,UDR,Hofmeister Tracy L,VP-Chief Accounting Officer,S - Sale,$44.09,"-1,500","10,295",-13%,"-$66,142",,,,
31,,2019-05-08 19:33:25,2019-05-06,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$44.25,"-20,000","97,284",-17%,"-$885,081",,,,
32,,2019-04-04 17:58:36,2019-04-04,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$45.37,"-10,000","117,284",-8%,"-$453,746",,,,
33,,2019-04-02 17:56:53,2019-04-01,UDR,Davis Jerry A,Pres-COO,S - Sale,$45.39,"-10,000","203,065",-5%,"-$453,900",,,,
34,,2019-03-19 20:11:48,2019-03-18,UDR,Toomey Thomas W,"COB, CEO",S - Sale,$45.06,"-50,000","1,682,826",-3%,"-$2,252,935",,,,
35,,2019-02-25 17:20:19,2019-02-22,UDR,Sagalyn Lynne B,Dir,S - Sale,$44.97,"-4,289","77,887",-5%,"-$192,855",,,,
36,,2019-02-19 06:01:27,2019-02-15,UDR,Troupe Warren L,Senior EVP,S - Sale,$44.66,"-50,000","495,761",-9%,"-$2,232,800",,,,
37,D,2019-01-04 08:32:48,2019-01-02,UDR,Davis Jerry A,Pres-COO,S - Sale+OE,$39.24,"-10,000","214,669",-4%,"-$392,400",,,,
38,,2018-12-12 16:58:05,2018-12-11,UDR,Sagalyn Lynne B,Dir,S - Sale,$42.58,"-5,000","82,176",-6%,"-$212,900",,,,
39,,2018-11-27 16:45:16,2018-11-26,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$41.22,"-10,000","116,123",-8%,"-$412,155",,,,
40,,2018-11-16 20:27:58,2018-11-14,UDR,Toomey Thomas W,"COB, CEO, Pres",S - Sale,$41.20,"-40,000","1,746,826",-2%,"-$1,648,072",,,,
41,,2018-11-13 16:51:17,2018-11-12,UDR,Troupe Warren L,Senior EVP,S - Sale,$41.29,"-10,000","539,634",-2%,"-$412,870",,,,
42,,2018-10-02 17:08:02,2018-10-01,UDR,Davis Jerry A,SVP-COO,S - Sale,$40.44,"-10,000","224,669",-4%,"-$404,400",,,,
43,,2018-09-18 17:08:45,2018-09-17,UDR,Sagalyn Lynne B,Dir,S - Sale,$40.40,"-4,773","87,176",-5%,"-$192,829",,,,
44,,2018-09-13 17:43:26,2018-09-13,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$40.45,"-10,000","126,123",-7%,"-$404,500",,,,
45,,2018-08-23 19:22:37,2018-08-22,UDR,Troupe Warren L,Senior EVP,S - Sale,$39.10,"-40,000","549,634",-7%,"-$1,564,180",,,,
46,D,2018-08-20 18:06:54,2018-08-17,UDR,Toomey Thomas W,"COB, CEO, Pres",S - Sale+OE,$39.80,"-40,000","1,556,115",-3%,"-$1,591,804",,,,
47,,2018-08-07 16:24:58,2018-08-03,UDR,Davis Jerry A,SVP-COO,S - Sale,$38.75,"-10,000","234,669",-4%,"-$387,500",,,,
48,,2018-05-02 17:57:53,2018-05-01,UDR,Toomey Thomas W,"COB, CEO, Pres",S - Sale,$36.00,"-30,000","1,119,390",-3%,"-$1,080,000",,,,
49,,2018-03-29 17:16:13,2018-03-28,UDR,Toomey Thomas W,"COB, CEO, Pres",S - Sale,$35.50,"-13,000","1,149,390",-1%,"-$461,500",,,,
50,,2018-03-20 17:01:46,2018-03-16,UDR,Troupe Warren L,Senior EVP,S - Sale,$35.91,"-30,000","528,378",-5%,"-$1,077,195",,,,
51,,2018-03-19 16:37:45,2018-03-16,UDR,Toomey Thomas W,"COB, CEO, Pres",S - Sale,$35.90,"-20,000","1,162,390",-2%,"-$718,000",,,,
52,,2017-12-15 18:52:42,2017-12-15,UDR,Toomey Thomas W,CEO,S - Sale,$39.20,"-20,000","1,127,925",-2%,"-$784,000",,,,
53,,2017-10-04 16:46:21,2017-10-02,UDR,Troupe Warren L,Senior EVP,S - Sale,$37.93,"-30,000","531,075",-5%,"-$1,137,780",,,,
54,,2017-09-29 16:46:15,2017-09-27,UDR,Grove Jon A,Dir,S - Sale,$37.74,"-7,500","452,808",-2%,"-$283,065",,,,
55,,2017-09-27 17:02:35,2017-09-26,UDR,McDonnough Clinton D,Dir,P - Purchase,$38.17,"+2,000","9,000",+29%,"+$76,334",,,,
56,,2017-08-15 17:03:03,2017-08-14,UDR,Toomey Thomas W,CEO,S - Sale,$38.86,"-30,000","1,106,295",-3%,"-$1,165,926",,,,
57,,2017-07-05 17:47:24,2017-07-03,UDR,Troupe Warren L,Senior EVP,S - Sale,$39.05,"-15,000","561,075",-3%,"-$585,821",,,,
58,,2017-06-05 18:16:55,2017-06-02,UDR,Alcock Harry G,SVP-Chief Investment Officer,S - Sale,$38.72,"-10,000","115,163",-8%,"-$387,200",,,,
59,,2017-05-26 17:43:48,2017-05-26,UDR,Toomey Thomas W,CEO,S - Sale,$38.45,"-25,000","1,136,295",-2%,"-$961,250",,,,
60,,2017-05-17 16:47:52,2017-05-15,UDR,Grove Jon A,Dir,S - Sale,$37.77,"-12,000","460,308",-3%,"-$453,186",,,,
61,,2017-04-05 16:38:36,2017-04-03,UDR,Troupe Warren L,Senior EVP,S - Sale,$36.05,"-15,000","531,151",-3%,"-$540,675",+1,+2,+5,
62,D,2017-01-05 18:03:12,2017-01-03,UDR,Troupe Warren L,Senior Exec Vice Presiden,S - Sale+OE,$36.15,"-15,000","538,422",-3%,"-$542,315",+1,-2,-4,
63,,2016-12-23 18:31:50,2016-12-21,UDR,Alcock Harry G,SVP-Asset Management,S - Sale,$36.00,"-7,082","113,063",-6%,"-$254,979",0,+3,0,
64,,2016-12-09 16:55:46,2016-12-07,UDR,Sagalyn Lynne B,Dir,S - Sale,$33.91,"-1,296","92,841",-1%,"-$43,947",+1,+1,+5,
65,,2016-09-30 09:41:15,2016-09-28,UDR,Troupe Warren L,Senior EVP,S - Sale,$36.70,"-15,000","562,903",-3%,"-$550,500",-1,-7,-6,+1
66,,2016-09-12 13:23:05,2016-09-09,UDR,McDonnough Clinton D,Dir,P - Purchase,$34.54,"+3,000","7,000",+75%,"+$103,608",+2,+1,-1,+4
67,,2016-08-24 16:49:49,2016-08-24,UDR,McDonnough Clinton D,Dir,P - Purchase,$35.65,"+2,000","4,000",+100%,"+$71,300",+1,+1,+2,+3
68,,2016-08-08 11:56:38,2016-08-04,UDR,Alcock Harry G,SVP-Asset Management,S - Sale,$36.97,"-7,500","120,145",-6%,"-$277,253",+2,0,-1,-4
69,,2016-06-14 16:10:58,2016-06-10,UDR,Klingbeil James D,Dir,P - Purchase,$33.68,+30,"166,333",0%,"+$1,010",+1,+2,+11,+2
70,,2016-05-23 11:41:30,2016-05-19,UDR,McDonnough Clinton D,Dir,P - Purchase,$35.09,"+2,000","2,000",New,"+$70,180",0,+2,-1,-5
71,,2016-04-13 10:23:33,2016-04-12,UDR,Grove Jon A,Dir,S - Sale,$36.72,"-10,000","472,308",-2%,"-$367,225",-2,0,-1,-7
72,,2015-12-02 11:51:56,2015-12-01,UDR,Cozad Matthew A,"VP-Corp Serv, Inn",S - Sale,$37.35,"-1,000","8,812",-10%,"-$37,350",-2,-3,+1,-4
73,,2015-11-30 18:39:30,2015-11-27,UDR,Davis Jerry A,SVP,S - Sale,$37.85,"-10,000","170,987",-6%,"-$378,500",+1,0,+3,-1
74,,2015-11-25 11:17:25,2015-11-23,UDR,Claude J Abram,VP-Treasurer,S - Sale,$36.60,"-1,000","5,266",-16%,"-$36,600",+2,0,+1,0
75,,2015-08-24 12:35:16,2015-08-20,UDR,Oshields William T III,VP - Enterprise Risk Mgmt,S - Sale,$35.05,"-1,000","6,021",-14%,"-$35,054",-5,-3,-1,+3
76,,2015-08-19 17:04:18,2015-08-19,UDR,Cozad Matthew A,"VP-Corp Serv, Inn",S - Sale,$35.03,"-1,000","9,812",-9%,"-$35,030",-1,-11,-4,-2
77,,2015-08-18 14:37:33,2015-08-18,UDR,Alcock Harry G,SVP,S - Sale,$35.60,"-15,000","130,082",-10%,"-$533,952",+1,-9,-6,-4
78,,2015-08-18 14:37:32,2015-08-17,UDR,Cantor H Andrew,VP,S - Sale,$35.14,"-2,848","27,993",-9%,"-$100,078",+1,-9,-6,-4
79,,2015-08-18 10:23:03,2015-08-17,UDR,Toomey Thomas W,CEO,S - Sale,$34.95,"-30,000","1,190,729",-2%,"-$1,048,500",+1,-9,-6,-4
80,,2015-08-18 10:22:01,2015-08-14,UDR,Troupe Warren L,Senior EVP,S - Sale,$34.52,"-31,954","578,092",-5%,"-$1,103,196",+1,-9,-6,-4
81,,2015-03-26 15:20:47,2015-03-24,UDR,Foss Eric J,Dir,S - Sale,$34.91,"-12,000","39,316",-23%,"-$418,974",-1,-1,0,+2
82,,2014-12-31 12:14:28,2014-12-30,UDR,Toomey Thomas W,CEO,S - Sale,$31.73,"-5,000","1,129,940",0%,"-$158,650",-2,+2,+6,+5
83,,2014-11-26 10:21:23,2014-11-24,UDR,Toomey Thomas W,CEO,S - Sale,$30.17,"-10,000","1,134,940",-1%,"-$301,741",+2,+2,+5,+10
84,,2014-11-03 13:04:49,2014-11-03,UDR,Alcock Harry G,SVP,S - Sale,$30.52,"-10,000","111,151",-8%,"-$305,222",+2,0,+2,+9
85,,2014-09-05 16:59:44,2014-09-05,UDR,Davis Jerry A,SVP,S - Sale,$30.25,"-25,362","142,756",-15%,"-$767,201",0,-3,-10,+6
86,,2014-08-28 11:10:48,2014-08-26,UDR,Toomey Thomas W,CEO,S - Sale,$29.70,"-7,000","1,144,940",-1%,"-$207,900",0,+1,-8,+9
87,DM,2014-08-26 12:01:29,2014-08-22,UDR,Troupe Warren L,Senior EVP,S - Sale+OE,$29.72,"-100,000","571,426",-15%,"-$2,971,735",0,+1,-8,+9
88,,2014-08-18 13:32:34,2014-08-15,UDR,Cozad Matthew A,VP-Internal Audit,S - Sale,$29.52,"-1,000","8,186",-11%,"-$29,520",+1,+1,-4,+12
89,,2014-08-14 14:49:23,2014-08-13,UDR,Cantor H Andrew,VP,S - Sale,$29.70,"-5,038","25,467",-17%,"-$149,652",-1,+1,-5,+12
90,,2014-07-16 18:16:54,2014-07-15,UDR,Davis Jerry A,SVP,S - Sale,$28.70,"-23,745","168,118",-12%,"-$681,482",-1,-1,+3,+13
91,D,2014-07-11 18:11:40,2014-07-10,UDR,Troupe Warren L,Senior EVP,S - Sale+OE,$28.50,"-63,885","571,426",-10%,"-$1,820,729",+1,0,+3,+14
92,D,2014-07-10 17:35:13,2014-07-08,UDR,Troupe Warren L,Senior EVP,S - Sale+OE,$28.51,-400,"571,426",0%,"-$11,404",0,+1,+2,+14
93,,2014-07-08 13:30:39,2014-07-07,UDR,Toomey Thomas W,CEO,S - Sale,$28.53,"-12,000","1,151,940",-1%,"-$342,360",+1,+1,+3,+13
94,,2014-06-23 16:26:56,2014-06-20,UDR,Alcock Harry G,SVP,S - Sale,$28.02,"-10,000","121,151",-8%,"-$280,177",0,+2,+3,+12
95,,2014-06-20 16:34:14,2014-06-20,UDR,Toomey Thomas W,CEO,S - Sale,$28.10,"-15,000","1,163,940",-1%,"-$421,500",0,+1,+2,+12
96,,2014-06-06 16:57:41,2014-06-05,UDR,Toomey Thomas W,CEO,S - Sale,$27.90,"-15,000","1,178,940",-1%,"-$418,500",-2,-2,+2,+12
97,,2014-06-02 17:27:38,2014-05-30,UDR,Troupe Warren L,Senior EVP,S - Sale,$27.50,"-11,000","571,426",-2%,"-$302,500",0,+2,+4,+13
98,,2014-05-29 18:33:26,2014-05-29,UDR,Toomey Thomas W,CEO,S - Sale,$27.50,"-10,000","1,193,940",-1%,"-$275,000",0,+1,+3,+12
99,,2014-05-07 16:22:20,2014-05-07,UDR,Cozad Matthew A,VP-Internal Audit,S - Sale,$26.66,"-1,000","9,186",-10%,"-$26,660",+1,+2,+5,+17
100,M,2014-03-26 17:22:53,2014-03-25,UDR,Davis Jerry A,SVP,S - Sale,$25.57,"-1,358","191,863",-1%,"-$34,720",0,+1,+2,+9
101,,2014-03-20 12:16:45,2014-03-19,UDR,Oshields William T III,VP - Treasurer,S - Sale,$25.47,"-4,800","5,590",-46%,"-$122,256",+1,+2,+2,+14
102,,2013-12-11 12:05:30,2013-12-10,UDR,Toomey Thomas W,CEO,S - Sale,$24.40,"-12,000","972,368",-1%,"-$292,800",-2,-4,-2,+15
103,,2013-11-15 16:50:09,2013-11-14,UDR,Toomey Thomas W,CEO,S - Sale,$24.00,"-10,000","984,368",-1%,"-$240,021",0,0,-1,+19
104,,2013-10-11 15:38:01,2013-10-11,UDR,Grove Jon A,Dir,S - Sale,$23.89,"-7,000","479,925",-1%,"-$167,237",+1,+5,0,+8
105,,2013-09-06 13:42:34,2013-09-06,UDR,Toomey Thomas W,CEO,S - Sale,$22.95,"-8,000","994,368",-1%,"-$183,600",+2,+7,+6,+19
106,,2013-09-04 17:53:56,2013-09-03,UDR,Toomey Thomas W,CEO,S - Sale,$22.17,"-12,000","1,002,368",-1%,"-$266,077",-1,+5,+6,+20
107,,2013-08-12 12:35:52,2013-08-09,UDR,Toomey Thomas W,CEO,S - Sale,$24.59,"-10,000","1,014,368",-1%,"-$245,900",-1,-8,-3,+8
108,,2013-07-15 11:09:44,2013-07-12,UDR,Troupe Warren L,Senior EVP,S - Sale,$25.92,"-25,000","491,277",-5%,"-$647,960",0,0,-6,-7
109,,2013-06-27 15:10:49,2013-06-27,UDR,Toomey Thomas W,CEO,S - Sale,$25.50,"-7,000","1,024,368",-1%,"-$178,500",+2,+4,+4,-5
110,,2013-06-25 12:05:02,2013-06-24,UDR,Henry Sheri,VP,S - Sale,$23.68,"-1,400","6,939",-17%,"-$33,152",+2,+6,+6,-3
111,,2013-06-13 14:55:26,2013-06-13,UDR,Toomey Thomas W,CEO,S - Sale,$24.00,"-7,000","1,031,368",-1%,"-$168,000",+2,+1,+10,+5
112,,2013-05-21 18:10:27,2013-05-20,UDR,Toomey Thomas W,CEO,S - Sale,$26.59,"-5,000","1,038,368",0%,"-$132,954",-3,-6,-11,-10
113,,2013-05-08 14:54:08,2013-05-06,UDR,Toomey Thomas W,CEO,S - Sale,$24.48,"-20,000","1,043,368",-2%,"-$489,626",+1,+6,-1,+2
114,,2013-03-12 11:21:12,2013-03-11,UDR,Toomey Thomas W,CEO,S - Sale,$24.51,"-10,000","1,063,368",-1%,"-$245,079",0,0,+2,-2
115,,2012-11-20 15:03:49,2012-11-19,UDR,Grove Jon A,Dir,S - Sale,$22.68,"-98,630","483,162",-17%,"-$2,237,343",0,+1,+1,+16
116,M,2012-11-16 19:28:51,2012-11-14,UDR,Grove Jon A,Dir,S - Sale,$22.66,"-39,370","581,792",-6%,"-$891,934",+1,+2,+2,+20
117,,2012-09-19 10:05:08,2012-09-17,UDR,Culwell Mark M,SVP,S - Sale,$26.36,"-1,500","33,720",-4%,"-$39,542",0,-5,-5,-6
118,,2012-09-13 17:28:51,2012-09-13,UDR,Toomey Thomas W,CEO,S - Sale,$26.02,"-10,000","1,186,330",-1%,"-$260,206",+1,-1,-7,-5
119,,2012-09-10 13:49:45,2012-09-07,UDR,Toomey Thomas W,CEO,S - Sale,$25.85,"-10,000","1,196,330",-1%,"-$258,500",0,+2,-6,-4
120,,2012-08-29 15:27:03,2012-08-28,UDR,Toomey Thomas W,CEO,S - Sale,$25.67,"-20,000","1,206,330",-2%,"-$513,400",-1,-1,-2,-4
121,M,2012-08-03 10:15:15,2012-08-01,UDR,Troupe Warren L,Senior EVP,S - Sale,$26.31,"-50,000","516,277",-9%,"-$1,315,738",0,-5,-5,-10
122,D,2012-07-10 17:02:25,2012-06-08,UDR,Culwell Mark M,SVP,S - Sale+OE,$25.88,"-6,297","35,220",-15%,"-$162,966",0,+3,-1,-4
123,,2012-06-28 17:14:17,2012-06-28,UDR,Toomey Thomas W,CEO,S - Sale,$24.82,"-10,000","1,266,630",-1%,"-$248,179",+3,+4,+8,-4
124,,2012-06-07 11:50:56,2012-06-06,UDR,Toomey Thomas W,CEO,S - Sale,$26.00,"-10,000","1,276,630",-1%,"-$260,000",-2,-3,+1,-10
125,,2012-06-05 15:12:57,2012-06-05,UDR,Toomey Thomas W,CEO,S - Sale,$25.62,"-10,000","1,286,630",-1%,"-$256,200",+2,0,+4,-7
126,,2012-05-16 15:18:30,2012-05-15,UDR,Messenger David L,"SVP, CFO",S - Sale,$26.75,"-35,000","55,754",-39%,"-$936,401",-1,-1,-2,-13
127,,2012-05-07 12:51:11,2012-05-07,UDR,Toomey Thomas W,CEO,S - Sale,$26.50,"-20,000","1,296,630",-2%,"-$530,000",+1,+3,-2,-5
128,D,2012-04-16 16:50:09,2012-04-13,UDR,Grove Jon A,Dir,S - Sale+OE,$25.96,"-5,000","281,838",-2%,"-$129,800",0,0,+1,-7
129,,2012-04-03 13:22:13,2012-04-03,UDR,Wajnert Thomas C,Dir,S - Sale,$26.89,"-16,116","3,571",-82%,"-$433,313",0,-4,-1,-7
130,,2012-04-02 16:47:39,2012-04-02,UDR,Toomey Thomas W,CEO,S - Sale,$27.00,"-5,000","1,440,931",0%,"-$135,000",0,-2,-1,-6
131,,2012-03-30 13:15:05,2012-03-30,UDR,Toomey Thomas W,CEO,S - Sale,$26.50,"-5,000","1,445,931",0%,"-$132,500",+2,+2,+1,-3
132,,2012-03-26 17:18:50,2012-03-23,UDR,Oshields William T III,VP - Treasurer,S - Sale,$25.69,"-2,251","7,683",-23%,"-$57,835",0,+4,+3,0
133,D,2012-03-15 16:27:09,2012-03-14,UDR,Messenger David L,"SVP, CFO",S - Sale+OE,$26.01,"-14,806","123,842",-11%,"-$385,045",0,0,+2,+2
134,,2012-01-27 15:19:25,2012-01-27,UDR,Toomey Thomas W,CEO,S - Sale,$26.00,"-4,493","1,429,216",0%,"-$116,818",0,+1,-2,+5
135,,2012-01-27 12:35:26,2012-01-26,UDR,Toomey Thomas W,CEO,S - Sale,$26.00,-507,"1,433,709",0%,"-$13,182",0,+1,-2,+5
136,,2011-12-21 15:14:06,2011-12-20,UDR,Troupe Warren L,Senior EVP,S - Sale,$25.01,"-29,900","571,515",-5%,"-$747,889",0,0,-1,+3
137,D,2011-12-07 14:28:20,2011-12-06,UDR,Sagalyn Lynne B,Dir,S - Sale+OE,$23.17,"-1,213","76,873",-2%,"-$28,105",+3,0,+6,+13
138,,2011-11-22 17:40:19,2011-11-22,UDR,Sagalyn Lynne B,Dir,S - Sale,$22.81,"-3,500","72,137",-5%,"-$79,821",-3,-1,+9,+17
139,,2011-11-15 16:56:54,2011-11-11,UDR,Troupe Warren L,Senior EVP,S - Sale,$25.00,-100,"601,415",0%,"-$2,500",-2,-7,-5,+9
140,M,2011-10-27 17:21:16,2011-10-26,UDR,Toomey Thomas W,CEO,S - Sale,$25.20,"-20,100","1,468,737",-1%,"-$506,600",-3,-4,-13,+6
141,,2011-10-25 10:36:54,2011-10-24,UDR,Toomey Thomas W,CEO,S - Sale,$24.00,"-4,900","1,488,837",0%,"-$117,600",-1,+4,-4,+13
142,,2011-07-06 18:30:58,2002-05-01,UDR,Toomey Thomas W,CEO,S - Sale,$16.03,"-7,000","1,696,911",0%,"-$112,210",+1,+1,0,0
143,,2011-06-01 13:18:18,2011-05-31,UDR,Troupe Warren L,"Sr EVP, GC",S - Sale,$25.77,"-10,807","595,179",-2%,"-$278,496",-4,-4,-6,-11
144,D,2011-05-19 16:28:15,2011-05-19,UDR,Grove Jon A,Dir,S - Sale+OE,$25.55,"-9,960","278,267",-3%,"-$254,487",-1,-1,-3,-2
145,,2011-04-08 10:29:42,2011-04-06,UDR,Toomey Thomas W,CEO,S - Sale,$24.30,"-200,000","1,678,367",-11%,"-$4,859,300",-1,0,+7,-6
146,,2011-04-05 17:45:35,2011-04-05,UDR,Wajnert Thomas C,Dir,S - Sale,$24.47,"-10,000","16,116",-38%,"-$244,700",0,-2,+5,-14
147,,2010-12-15 15:06:56,2010-12-13,UDR,Toomey Thomas W,CEO,S - Sale,$23.00,"-100,000","1,693,864",-6%,"-$2,300,000",-1,+1,+1,+10
148,D,2010-12-01 10:19:57,2010-11-30,UDR,Spangler Thomas A,SVP,S - Sale+OE,$22.38,"-5,413","38,824",-12%,"-$121,139",+1,+2,+5,+14
