,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-23 16:20:50,2021-09-22,ULTA,Childs Jeffrey J,CHRO,S - Sale+OE,$370.14,"-8,699","5,402",-62%,"-$3,219,810",,,,
2,D,2021-09-01 16:10:46,2021-08-30,ULTA,Caro Jodi J,"GC, Corporate Secretary",S - Sale+OE,$382.89,"-3,926","6,190",-39%,"-$1,503,205",,,,
3,,2021-08-09 17:07:14,2021-08-05,ULTA,Macdonald Michael R,Dir,S - Sale,$350.04,"-5,700","2,627",-68%,"-$1,995,230",,,,
4,,2021-06-22 16:09:20,2021-06-21,ULTA,Mrkonic George R Jr,Dir,S - Sale,$330.30,-595,"2,476",-19%,"-$196,529",,,,
5,D,2021-06-07 16:21:13,2021-06-03,ULTA,Childs Jeffrey J,CHRO,S - Sale+OE,$334.30,"-4,863","5,402",-47%,"-$1,625,715",,,,
6,D,2021-06-07 16:19:33,2021-06-04,ULTA,Dillon Mary N,Dir,S - Sale+OE,$325.58,"-81,663","124,369",-40%,"-$26,587,950",,,,
7,,2021-04-15 16:21:01,2021-04-14,ULTA,Heilbronn Charles,Dir,S - Sale,$334.79,"-15,397","545,182",-3%,"-$5,154,720",,,,
8,M,2021-04-14 16:27:43,2021-04-12,ULTA,Heilbronn Charles,Dir,S - Sale,$328.11,"-140,468","560,579",-20%,"-$46,089,149",,,,
9,M,2021-04-12 16:57:12,2021-04-08,ULTA,Heilbronn Charles,Dir,S - Sale,$320.80,"-280,803","701,047",-29%,"-$90,080,284",,,,
10,M,2021-04-08 17:17:27,2021-04-06,ULTA,Heilbronn Charles,Dir,S - Sale,$317.35,"-155,093","981,850",-14%,"-$49,219,295",,,,
11,D,2021-04-06 18:04:20,2021-04-05,ULTA,Nagler Lorna,Dir,S - Sale+OE,$317.74,"-4,666","6,963",-40%,"-$1,482,594",,,,
12,,2021-04-01 17:36:07,2021-03-30,ULTA,Heilbronn Charles,Dir,S - Sale,$309.67,"-120,931","1,136,943",-10%,"-$37,448,255",,,,
13,M,2021-03-30 17:06:44,2021-03-26,ULTA,Heilbronn Charles,Dir,S - Sale,$305.12,"-402,735","1,257,874",-24%,"-$122,883,547",,,,
14,M,2021-03-26 16:06:15,2021-03-24,ULTA,Heilbronn Charles,Dir,S - Sale,$305.48,"-427,033","1,660,609",-20%,"-$130,447,736",,,,
15,D,2021-03-18 16:08:55,2021-03-17,ULTA,Nagler Lorna,Dir,S - Sale+OE,$315.90,"-4,000","6,963",-36%,"-$1,263,615",,,,
16,,2020-12-21 17:33:06,2020-12-17,ULTA,Diromualdo Robert F,Dir,S - Sale,$272.15,"-27,000","229,881",-11%,"-$7,347,976",,,,
17,,2020-12-17 16:19:32,2020-12-16,ULTA,Halligan Catherine Ann,Dir,S - Sale,$267.52,-150,"2,350",-6%,"-$40,128",,,,
18,D,2020-12-14 16:50:36,2020-12-11,ULTA,Dillon Mary N,CEO,S - Sale+OE,$265.15,"-50,000","122,778",-29%,"-$13,257,535",,,,
19,D,2020-12-10 16:22:45,2020-12-09,ULTA,Nagler Lorna,Dir,S - Sale+OE,$271.67,"-5,000","6,963",-42%,"-$1,358,350",,,,
