,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-09-16 16:34:36,2021-09-14,UNH,Burke Richard T,Dir,S - Sale,$417.80,"-12,500","1,418,403",-1%,"-$5,222,500",,,,
2,D,2021-07-30 19:05:39,2021-07-29,UNH,Rex John F,EVP CFO,S - Sale+OE,$412.04,"-15,438","129,480",-11%,"-$6,361,027",,,,
3,,2021-07-26 16:57:26,2021-07-22,UNH,Burke Richard T,Dir,S - Sale,$415.70,"-7,000","1,430,903",0%,"-$2,909,867",,,,
4,,2021-07-22 16:59:22,2021-07-21,UNH,Witty Andrew,"CEO, UHG",S - Sale,$414.15,"-6,000","70,781",-8%,"-$2,484,900",,,,
5,,2021-07-21 16:32:28,2021-07-20,UNH,Burke Richard T,Dir,S - Sale,$414.31,"-8,000","1,437,903",-1%,"-$3,314,440",,,,
6,,2021-06-22 17:50:34,2021-06-21,UNH,Burke Richard T,Dir,S - Sale,$398.63,"-4,000","1,445,681",0%,"-$1,594,500",,,,
7,,2021-06-17 16:35:13,2021-06-15,UNH,Burke Richard T,Dir,S - Sale,$400.25,"-4,000","1,449,681",0%,"-$1,601,000",,,,
8,,2021-06-14 17:44:26,2021-06-10,UNH,Burke Richard T,Dir,S - Sale,$402.00,"-2,000","1,453,681",0%,"-$804,000",,,,
9,D,2021-04-28 17:01:38,2021-04-27,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale+OE,$394.66,"-5,301","35,104",-13%,"-$2,092,093",,,,
10,M,2021-04-21 16:43:33,2021-04-19,UNH,Burke Richard T,Dir,S - Sale,$394.03,"-15,000","1,455,681",-1%,"-$5,910,500",,,,
11,,2021-04-19 17:01:40,2021-04-16,UNH,Lewis Patricia L,"EVP, CHRO",S - Sale,$389.99,"-3,000","9,214",-25%,"-$1,169,955",,,,
12,,2021-03-18 16:23:09,2021-03-16,UNH,Burke Richard T,Dir,S - Sale,$354.90,"-6,000","1,470,453",0%,"-$2,129,419",,,,
13,,2021-03-16 17:33:42,2021-03-15,UNH,Burke Richard T,Dir,S - Sale,$353.33,"-4,000","1,476,453",0%,"-$1,413,300",,,,
14,,2021-03-02 17:14:16,2021-03-01,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale,$334.36,-423,"32,424",-1%,"-$141,434",,,,
15,,2021-02-22 17:37:09,2021-02-18,UNH,Burke Richard T,Dir,S - Sale,$327.60,"-5,000","1,480,453",0%,"-$1,637,995",,,,
16,,2021-02-17 16:58:04,2021-02-16,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale,$327.36,-864,"30,206",-3%,"-$282,839",,,,
17,,2021-02-16 17:39:21,2021-02-11,UNH,Burke Richard T,Dir,S - Sale,$335.80,"-5,000","1,485,453",0%,"-$1,678,992",,,,
18,,2021-02-11 17:42:32,2021-02-09,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale,$323.90,-619,"31,908",-2%,"-$200,494",,,,
19,,2021-02-09 17:46:33,2021-02-05,UNH,Flynn Timothy Patrick,Dir,P - Purchase,$332.68,"+1,500","8,972",+20%,"+$499,026",,,,
20,D,2021-01-06 17:38:56,2021-01-05,UNH,Short Marianne D,"EVP, GC",S - Sale+OE,$348.69,"-9,993","147,756",-6%,"-$3,484,459",,,,
21,DM,2020-12-30 18:09:30,2020-12-29,UNH,Short Marianne D,"EVP, GC",S - Sale+OE,$347.57,"-18,243","142,758",-11%,"-$6,340,687",,,,
22,,2020-12-17 17:11:19,2020-12-15,UNH,Burke Richard T,Dir,S - Sale,$340.00,"-2,500","1,490,306",0%,"-$850,000",,,,
23,M,2020-12-14 17:01:21,2020-12-10,UNH,Burke Richard T,Dir,S - Sale,$339.00,"-5,500","1,498,487",0%,"-$1,864,500",,,,
24,,2020-12-10 18:27:58,2020-12-08,UNH,Burke Richard T,Dir,S - Sale,$349.78,"-7,000","1,503,987",0%,"-$2,448,444",,,,
25,,2020-11-10 16:26:04,2020-11-06,UNH,Burke Richard T,Dir,S - Sale,$349.81,"-10,000","1,510,987",-1%,"-$3,498,100",,,,
26,,2020-10-27 17:06:37,2020-10-23,UNH,Hemsley Stephen J,Dir,S - Sale,$329.47,"-98,579","2,087,207",-5%,"-$32,478,813",,,,
27,D,2020-08-31 16:29:58,2020-08-28,UNH,Short Marianne D,"EVP, GC",S - Sale+OE,$312.34,"-10,336","134,054",-7%,"-$3,228,346",,,,
28,,2020-08-17 16:18:13,2020-08-13,UNH,Burke Richard T,Dir,S - Sale,$320.59,"-15,000","1,520,715",-1%,"-$4,808,820",,,,
29,D,2020-08-12 16:23:58,2020-08-11,UNH,Short Marianne D,"EVP, GC",S - Sale+OE,$321.34,"-12,000","128,885",-9%,"-$3,856,068",,,,
30,,2020-07-23 16:27:17,2020-07-22,UNH,Burke Richard T,Dir,S - Sale,$303.50,"-10,000","1,535,715",-1%,"-$3,035,017",,,,
31,D,2020-07-20 21:49:25,2020-07-17,UNH,Rex John F,EVP CFO,S - Sale+OE,$308.43,"-22,174","107,784",-17%,"-$6,839,105",,,,
32,M,2020-07-20 21:48:00,2020-07-16,UNH,Hemsley Stephen J,Dir,S - Sale,$307.56,"-229,012","2,357,488",-9%,"-$70,434,573",,,,
33,,2020-05-12 16:32:37,2020-05-11,UNH,Hemsley Stephen J,Dir,S - Sale,$289.11,"-45,637","2,585,912",-2%,"-$13,194,022",,,,
34,,2020-03-23 17:23:08,2020-03-20,UNH,Burke Richard T,Dir,S - Sale,$228.39,"-10,000","1,631,098",-1%,"-$2,283,921",,,,
35,M,2020-03-20 17:00:25,2020-03-18,UNH,Burke Richard T,Dir,S - Sale,$218.20,"-10,000","1,641,098",-1%,"-$2,182,000",,,,
36,M,2020-03-18 16:26:59,2020-03-16,UNH,Burke Richard T,Dir,S - Sale,$239.07,"-15,000","3,067,598",0%,"-$3,586,037",,,,
37,,2020-02-21 16:11:23,2020-02-19,UNH,Burke Richard T,Dir,S - Sale,$306.04,"-10,000","1,666,098",-1%,"-$3,060,385",,,,
38,,2020-01-21 18:01:14,2020-01-16,UNH,Burke Richard T,Dir,S - Sale,$299.45,"-15,000","1,676,098",-1%,"-$4,491,750",,,,
39,,2019-11-19 16:48:34,2019-11-18,UNH,Wilson D Ellen,EVP,S - Sale,$273.86,"-7,400","50,007",-13%,"-$2,026,549",,,,
40,,2019-11-08 16:40:14,2019-11-07,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale,$255.04,"-1,177","21,687",-5%,"-$300,177",,,,
41,,2019-10-18 16:09:06,2019-10-16,UNH,Burke Richard T,Dir,S - Sale,$236.56,"-25,000","1,695,831",-1%,"-$5,914,015",,,,
42,M,2019-09-23 16:17:29,2019-09-19,UNH,Burke Richard T,Dir,S - Sale,$233.80,"-5,000","1,720,479",0%,"-$1,169,000",,,,
43,M,2019-09-19 16:50:40,2019-09-17,UNH,Burke Richard T,Dir,S - Sale,$232.68,"-5,000","1,725,479",0%,"-$1,163,397",,,,
44,,2019-08-29 16:56:57,2019-08-28,UNH,Flynn Timothy Patrick,Dir,P - Purchase,$227.55,"+2,000","5,524",+57%,"+$455,094",,,,
45,,2019-08-26 17:08:52,2019-08-23,UNH,Burke Richard T,Dir,S - Sale,$231.50,"-2,000","1,730,479",0%,"-$463,000",,,,
46,,2019-08-12 16:24:40,2019-08-08,UNH,Burke Richard T,Dir,S - Sale,$246.40,"-5,000","1,732,479",0%,"-$1,232,000",,,,
47,,2019-07-24 17:15:07,2019-07-23,UNH,Ballard William C Jr,Dir,S - Sale,$255.31,"-12,000","61,309",-16%,"-$3,063,660",,,,
48,,2019-06-12 16:46:31,2019-06-11,UNH,Burke Richard T,Dir,S - Sale,$248.00,"-10,000","1,732,163",-1%,"-$2,480,000",,,,
49,,2019-05-30 16:32:58,2019-05-29,UNH,Burke Richard T,Dir,S - Sale,$241.99,"-10,000","1,742,163",-1%,"-$2,419,883",,,,
50,D,2019-05-07 17:01:45,2019-05-06,UNH,Ballard William C Jr,Dir,S - Sale+OE,$239.02,"-5,000","72,993",-6%,"-$1,195,120",,,,
51,,2019-05-06 08:32:18,2019-05-03,UNH,Wichmann David S,CEO,P - Purchase,$231.79,"+20,000","904,604",+2%,"+$4,635,730",,,,
52,,2019-05-03 16:27:01,2019-05-01,UNH,McNabb Frederick William III,Dir,P - Purchase,$233.21,"+6,430","7,879",+444%,"+$1,499,534",,,,
53,D,2019-04-26 16:30:20,2019-04-24,UNH,Wilensky Gail R,Dir,S - Sale+OE,$228.68,"-2,500","65,441",-4%,"-$571,700",,,,
54,,2019-04-26 16:29:52,2019-04-24,UNH,Burke Richard T,Dir,S - Sale,$229.75,"-10,000","1,752,163",-1%,"-$2,297,501",,,,
55,,2019-03-21 16:40:56,2019-03-19,UNH,Burke Richard T,Dir,S - Sale,$257.32,"-5,000","1,756,954",0%,"-$1,286,584",,,,
56,D,2019-03-15 16:16:31,2019-03-14,UNH,Wilensky Gail R,Dir,S - Sale+OE,$253.39,"-2,930","62,656",-4%,"-$742,436",,,,
57,,2019-03-14 17:38:56,2019-03-12,UNH,Burke Richard T,Dir,S - Sale,$245.01,"-5,000","1,761,872",0%,"-$1,225,055",,,,
58,,2019-01-24 16:26:29,2019-01-23,UNH,Burke Richard T,Dir,S - Sale,$268.00,"-11,500","1,766,872",-1%,"-$3,082,000",,,,
59,D,2019-01-23 16:26:45,2019-01-22,UNH,Ballard William C Jr,Dir,S - Sale+OE,$266.61,"-5,000","72,702",-6%,"-$1,333,035",,,,
60,,2019-01-18 16:26:44,2019-01-17,UNH,Burke Richard T,Dir,S - Sale,$260.55,"-15,000","1,778,372",-1%,"-$3,908,259",,,,
61,D,2018-11-29 16:51:20,2018-11-28,UNH,Wilensky Gail R,Dir,S - Sale+OE,$279.77,"-5,880","59,444",-9%,"-$1,645,066",,,,
62,,2018-11-29 16:50:47,2018-11-28,UNH,Burke Richard T,Dir,S - Sale,$281.72,"-6,090","1,797,584",0%,"-$1,715,686",,,,
63,,2018-11-13 16:37:59,2018-11-09,UNH,Shine Kenneth Irwin,Dir,S - Sale,$274.83,-163,"29,153",-1%,"-$44,796",,,,
64,D,2018-09-17 16:40:16,2018-09-13,UNH,Hooper Michele J,Dir,S - Sale+OE,$264.86,"-5,000","32,865",-13%,"-$1,324,309",,,,
65,,2018-09-17 16:39:17,2018-09-13,UNH,Burke Richard T,Dir,S - Sale,$264.90,"-10,000","1,796,112",-1%,"-$2,649,027",,,,
66,,2018-09-17 16:37:36,2018-09-13,UNH,Nelson Steven H,"EVP, CEO, UnitedHealthcare",S - Sale,$265.00,"-8,142","22,496",-27%,"-$2,157,630",,,,
67,D,2018-09-13 16:34:57,2018-09-12,UNH,Wilensky Gail R,Dir,S - Sale+OE,$263.45,"-5,740","59,207",-9%,"-$1,512,186",,,,
68,,2018-09-13 16:33:06,2018-09-12,UNH,Burke Richard T,Dir,S - Sale,$263.41,"-20,000","1,806,112",-1%,"-$5,268,164",,,,
69,D,2018-09-10 16:32:08,2018-09-07,UNH,Nelson Steven H,"EVP, CEO, UnitedHealthcare",S - Sale+OE,$270.65,"-26,033","30,638",-46%,"-$7,045,800",,,,
70,D,2018-08-28 16:46:19,2018-08-24,UNH,Wilson D Ellen,EVP Human Capital,S - Sale+OE,$264.29,"-15,393","51,009",-23%,"-$4,068,276",,,,
71,D,2018-08-09 16:33:23,2018-08-08,UNH,Ballard William C Jr,Dir,S - Sale+OE,$258.83,"-10,000","72,172",-12%,"-$2,588,310",,,,
72,,2018-08-03 16:36:26,2018-08-01,UNH,Burke Richard T,Dir,S - Sale,$254.79,"-15,000","1,826,112",-1%,"-$3,821,913",,,,
73,D,2018-07-19 17:37:33,2018-07-18,UNH,Wilensky Gail R,Dir,S - Sale+OE,$252.10,"-3,090","59,207",-5%,"-$779,001",,,,
74,,2018-07-19 17:36:51,2018-07-18,UNH,Shine Kenneth Irwin,Dir,S - Sale,$255.72,-177,"29,053",-1%,"-$45,262",,,,
75,,2018-06-19 16:33:21,2018-06-15,UNH,Renfro Larry C,"Vice COB, UHG, CEO, Optum",S - Sale,$254.55,"-19,652","153,679",-11%,"-$5,002,436",,,,
76,,2018-05-23 19:46:07,2018-05-21,UNH,Burke Richard T,Dir,S - Sale,$248.82,"-15,000","1,832,533",-1%,"-$3,732,261",,,,
77,D,2018-05-15 16:15:43,2018-05-10,UNH,Roos Thomas E,Chief Accounting Officer,S - Sale+OE,$233.35,"-3,250","25,474",-11%,"-$758,394",,,,
78,,2018-04-25 17:36:48,2018-04-23,UNH,Burke Richard T,Dir,S - Sale,$234.20,"-15,000","1,847,533",-1%,"-$3,513,027",,,,
79,,2018-04-20 16:50:21,2018-04-19,UNH,Shine Kenneth Irwin,Dir,S - Sale,$237.42,-202,"28,948",-1%,"-$47,959",,,,
80,,2018-03-21 16:22:10,2018-03-19,UNH,Burke Richard T,Dir,S - Sale,$224.36,"-10,000","1,857,331",-1%,"-$2,243,610",,,,
81,,2018-03-19 17:12:35,2018-03-15,UNH,Nelson Steven H,"EVP, CEO, UnitedHealthcare",S - Sale,$230.22,"-14,233","18,219",-44%,"-$3,276,631",,,,
82,,2018-03-19 17:11:19,2018-03-15,UNH,Renfro Larry C,"Vice COB, UHG, CEO, Optum",S - Sale,$228.94,"-22,184","173,229",-11%,"-$5,078,805",,,,
83,M,2018-03-02 17:32:29,2018-02-28,UNH,Burke Richard T,Dir,S - Sale,$229.87,"-10,400","1,867,257",-1%,"-$2,390,616",,,,
84,D,2018-02-01 16:43:29,2018-01-31,UNH,Hooper Michele J,Dir,S - Sale+OE,$237.76,"-10,000","32,284",-24%,"-$2,377,600",,,,
85,D,2018-01-24 16:47:11,2018-01-23,UNH,Ballard William C Jr,Dir,S - Sale+OE,$246.38,"-10,000","71,637",-12%,"-$2,463,750",,,,
86,D,2018-01-22 16:47:47,2018-01-18,UNH,Wilensky Gail R,Dir,S - Sale+OE,$240.66,"-5,820","56,405",-9%,"-$1,400,612",,,,
87,,2018-01-22 16:47:04,2018-01-19,UNH,Shine Kenneth Irwin,Dir,S - Sale,$242.55,-198,"28,852",-1%,"-$48,025",,,,
88,,2018-01-22 16:46:24,2018-01-18,UNH,Burke Richard T,Dir,S - Sale,$239.57,"-20,000","1,876,567",-1%,"-$4,791,386",,,,
89,,2017-12-18 16:16:53,2017-12-15,UNH,Renfro Larry C,"Vice COB, UHG, CEO, Optum",S - Sale,$221.75,"-22,598","172,716",-12%,"-$5,011,032",,,,
90,D,2017-12-06 17:41:20,2017-12-04,UNH,Hooper Michele J,Dir,S - Sale+OE,$222.20,"-5,000","31,989",-14%,"-$1,111,003",,,,
