,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-03 18:00:21,2021-09-02,UNM,Iglesias Lisa G,"EVP, GC",S - Sale,$26.50,"-20,000","92,330",-18%,"-$530,000",,,,
2,,2021-05-18 18:10:36,2021-05-14,UNM,Pyne Christopher W,"EVP, Group Benefits",S - Sale,$30.24,"-2,500","52,381",-5%,"-$75,600",,,,
3,,2021-05-18 17:57:50,2021-05-14,UNM,McKenney Richard P,"Pres, CEO",S - Sale,$30.46,"-35,000","895,335",-4%,"-$1,066,188",,,,
4,,2021-03-09 17:56:22,2021-03-05,UNM,Pashley Cherie,"SVP, Chief Accounting Officer",S - Sale,$27.36,"-5,000","17,285",-22%,"-$136,800",,,,
5,,2021-03-09 17:43:47,2021-03-05,UNM,Arnold Timothy Gerald,"EVP, VB, Pres, Colonial",S - Sale,$28.53,"-7,000","79,992",-8%,"-$199,717",,,,
6,,2021-03-01 18:19:36,2021-02-25,UNM,Keaney Timothy F,Dir,S - Sale,$28.03,"-18,040","31,617",-36%,"-$505,661",,,,
7,,2021-02-25 18:37:43,2021-02-24,UNM,Pashley Cherie,"SVP, Chief Accounting Officer",S - Sale,$27.81,"-1,000","12,307",-8%,"-$27,806",,,,
8,,2021-02-18 18:07:20,2021-02-16,UNM,Simonds Michael Q,"EVP, COO",S - Sale,$24.92,"-27,000","155,960",-15%,"-$672,840",,,,
9,,2020-09-09 18:44:58,2020-09-04,UNM,Pyne Christopher W,"EVP, Group Benefits",S - Sale,$19.39,"-2,550","47,585",-5%,"-$49,447",,,,
10,,2019-05-30 18:25:13,2019-05-28,UNM,Larson Gloria C,Dir,S - Sale,$33.55,"-1,602","82,645",-2%,"-$53,742",,,,
11,,2018-08-02 18:23:08,2018-07-31,UNM,Farrell Breege A,"EVP, Chief Investment Officer",S - Sale,$40.66,"-7,500","53,153",-12%,"-$304,938",,,,
12,,2018-05-02 20:00:38,2018-04-30,UNM,Simonds Michael Q,"EVP, Pres, CEO, Unum US",S - Sale,$48.94,"-5,000","72,272",-6%,"-$244,700",,,,
13,,2018-03-05 19:28:30,2018-03-01,UNM,Jerome Christopher J,"EVP, Global Services",S - Sale,$50.90,"-7,806","36,465",-18%,"-$397,325",,,,
14,,2018-02-27 20:57:15,2018-02-26,UNM,Waxenberg Daniel Jason,"SVP, Chief Accounting Officer",S - Sale,$52.36,"-1,435","4,397",-25%,"-$75,134",,,,
15,,2018-02-07 18:33:14,2018-02-05,UNM,Simonds Michael Q,"EVP, Pres, CEO, Unum US",S - Sale,$52.09,"-5,000","60,481",-8%,"-$260,450",,,,
16,,2018-01-18 17:16:00,2018-01-16,UNM,McGarry John F,"EVP, CFO",S - Sale,$58.19,"-4,588","66,816",-6%,"-$266,976",,,,
17,,2017-12-18 17:07:02,2017-12-14,UNM,Iglesias Lisa G,"EVP, GC",S - Sale,$54.83,"-8,459","38,242",-18%,"-$463,807",,,,
18,,2017-12-18 17:05:01,2017-12-14,UNM,Arnold Timothy Gerald,"EVP, Pres, CEO, Colonial",S - Sale,$55.07,"-1,000","18,731",-5%,"-$55,070",,,,
19,,2017-11-21 17:14:27,2017-11-17,UNM,Jerome Christopher J,"EVP, Global Services",S - Sale,$53.24,"-7,849","36,114",-18%,"-$417,912",,,,
20,,2017-11-01 18:41:35,2017-10-30,UNM,Caulfield E Michael,Dir,S - Sale,$52.42,"-3,814","35,394",-10%,"-$199,921",,,,
21,,2017-08-09 18:46:50,2017-08-07,UNM,Godwin Pamela H,Dir,S - Sale,$50.71,"-2,500","53,512",-4%,"-$126,770",,,,
22,,2017-08-03 17:58:55,2017-08-01,UNM,Larson Gloria C,Dir,S - Sale,$50.23,"-2,460","71,873",-3%,"-$123,566",,,,
