,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-03-10 17:58:09,2021-03-08,UNP,Rynaski Todd M.,"VP, CONTROLLER",S - Sale+OE,$212.00,"-7,698","24,814",-24%,"-$1,631,976",,,,
2,D,2021-03-10 17:57:45,2021-03-08,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale+OE,$215.00,"-1,491","78,706",-2%,"-$320,565",,,,
3,D,2021-02-24 14:58:15,2021-02-22,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale+OE,$208.93,"-10,000","78,706",-11%,"-$2,089,288",,,,
4,,2020-09-14 18:56:29,2020-09-11,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale,$195.51,"-5,376","74,316",-7%,"-$1,051,062",,,,
5,M,2020-09-14 10:41:05,2020-09-10,UNP,Hamann Jennifer L,"EVP, CFO",S - Sale,$194.40,"-2,000","73,648",-3%,"-$388,790",,,,
6,,2020-08-24 09:26:46,2020-08-21,UNP,Rynaski Todd M.,"VP, CONTROLLER",S - Sale,$190.46,"-1,500","24,628",-6%,"-$285,690",,,,
7,DM,2020-07-20 12:26:57,2020-07-16,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale+OE,$178.01,"-8,826","79,692",-10%,"-$1,571,080",,,,
8,D,2020-07-07 18:59:32,2020-07-06,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale+OE,$171.08,"-5,000","79,692",-6%,"-$855,400",,,,
9,D,2020-04-02 13:29:07,2020-03-31,UNP,Delaney William J III,Dir,P - Purchase,$138.20,"+15,000","20,000",+300%,"+$2,073,000",,,,
10,,2020-03-02 13:12:53,2020-02-28,UNP,Vena Vincenzo J,COO,P - Purchase,$155.92,"+3,206","23,172",+16%,"+$499,864",,,,
11,,2020-01-21 08:51:16,2020-01-16,UNP,Hamann Jennifer L,"EVP, CFO",S - Sale,$183.00,"-1,000","62,331",-2%,"-$183,000",,,,
12,D,2020-01-06 16:14:39,2018-05-18,UNP,Patel Bhavesh V.,Dir,P - Purchase,$143.80,+20,"4,173",0%,"+$2,876",,,,
13,,2019-12-10 17:16:29,2019-12-09,UNP,Whited Elizabeth F,"EVP, CHRO",S - Sale,$171.62,"-5,342","66,165",-7%,"-$916,794",,,,
14,,2019-08-01 18:33:43,2019-07-31,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$180.04,"-8,620","382,734",-2%,"-$1,551,922",,,,
15,,2019-05-22 16:31:37,2019-05-20,UNP,Delaney William J III,Dir,P - Purchase,$174.06,"+5,000","5,000",New,"+$870,300",,,,
16,,2019-05-06 17:47:06,2019-05-03,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$180.01,"-1,380","390,320",0%,"-$248,417",,,,
17,D,2019-04-22 17:40:53,2019-04-18,UNP,Ferguson Rhonda S,"EVP CLO, CORP SEC",S - Sale+OE,$175.00,"-11,485","42,373",-21%,"-$2,009,875",,,,
18,,2019-04-05 16:47:31,2019-04-04,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$170.01,"-10,000","391,701",-2%,"-$1,700,123",,,,
19,D,2019-04-02 17:04:01,2019-04-01,UNP,Rynaski Todd M.,"VP, CONTROLLER",S - Sale+OE,$170.00,"-8,802","23,280",-27%,"-$1,496,340",,,,
20,,2018-09-25 18:05:24,2018-09-24,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$163.81,"-20,000","395,277",-5%,"-$3,276,104",,,,
21,,2018-08-29 14:37:27,2018-08-28,UNP,Tennison Lynden L,"EVP, CHIEF STRATEGY OFFICER",S - Sale,$151.72,"-8,450","85,519",-9%,"-$1,282,059",,,,
22,D,2018-04-05 10:36:17,2018-04-03,UNP,Whited Elizabeth F,"EVP, CMO",S - Sale+OE,$133.79,"-15,576","59,060",-21%,"-$2,083,911",,,,
23,,2018-03-22 13:59:27,2018-03-21,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$140.00,"-13,254","403,424",-3%,"-$1,855,560",,,,
24,,2018-03-21 09:17:36,2018-03-20,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$137.39,"-25,000","416,678",-6%,"-$3,434,718",,,,
25,D,2017-07-10 13:09:24,2017-07-07,UNP,Scott Cameron A,"EVP, COO",S - Sale+OE,$107.60,"-17,604","77,866",-18%,"-$1,894,190",,,,
26,D,2017-03-13 11:36:29,2017-03-10,UNP,Whited Elizabeth F,"EVP, CMO",S - Sale+OE,$106.89,"-1,000","50,914",-2%,"-$106,890",0,0,+1,
27,D,2017-01-26 10:44:47,2017-01-25,UNP,Card Andrew H Jr,Dir,S - Sale+OE,$109.53,"-4,000","18,400",-18%,"-$438,129",0,-2,-2,
28,D,2016-12-12 15:30:39,2016-12-09,UNP,Butler Eric L,"EVP, CHIEF ADMIN OFFICER",S - Sale+OE,$104.94,"-23,198","222,733",-9%,"-$2,434,398",-1,-2,-1,
29,D,2016-12-12 10:56:44,2016-12-09,UNP,McConnell Michael W,Dir,S - Sale+OE,$105.15,"-7,400","19,010",-28%,"-$778,119",-1,-2,-1,
30,D,2016-11-23 10:51:01,2016-11-22,UNP,Rogel Steven R,Dir,S - Sale+OE,$100.51,"-7,400","4,000",-65%,"-$743,747",+1,+1,+5,
31,,2016-11-21 14:14:33,2016-11-18,UNP,Duren Diane K,"EVP CHIEF ADMIN OFFICER, CORP",S - Sale,$98.98,"-2,840","140,464",-2%,"-$281,103",+1,+1,+5,
32,D,2016-10-11 08:58:00,2016-10-07,UNP,Scott Cameron A,"EVP, COO",S - Sale+OE,$98.44,"-6,484","64,836",-9%,"-$638,285",-1,-1,-7,+12
33,,2016-09-09 11:09:51,2016-09-07,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$97.00,"-5,000","384,039",-1%,"-$485,000",-4,-4,+1,+11
34,,2016-09-02 15:51:28,2016-09-01,UNP,Knight Robert M Jr,"EVP, CFO",S - Sale,$95.24,"-10,000","389,039",-3%,"-$952,415",0,-3,+2,+16
35,,2016-06-06 12:25:10,2016-06-03,UNP,Duren Diane K,"EVP, Corporate Secretary",S - Sale,$85.46,"-2,500","143,164",-2%,"-$213,650",+1,+3,+1,+21
36,D,2016-03-14 11:35:25,2016-03-11,UNP,Hope Richards Judith,Dir,S - Sale+OE,$81.15,"-4,000","29,140",-12%,"-$324,604",-1,+4,-2,+16
37,,2016-02-25 17:20:31,2016-02-25,UNP,Card Andrew H Jr,Dir,P - Purchase,$78.98,"+1,000","15,000",+7%,"+$78,980",+1,0,+2,+22
