,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-20 16:15:57,2021-08-19,UPS,Price Scott A.,"Pres, UPS International",S - Sale,$193.22,"-6,600","38,727",-15%,"-$1,275,231",,,,
2,,2021-08-18 16:22:45,2021-08-17,UPS,Cesarone Nando,"Pres, US Operations",S - Sale,$195.52,"-8,224","13,995",-37%,"-$1,608,038",,,,
3,,2021-08-03 16:22:34,2021-08-02,UPS,Perez Juan R.,"Chief Info., Engineering Offic",S - Sale,$191.84,"-28,882","31,508",-48%,"-$5,540,733",,,,
4,,2021-02-26 17:13:10,2021-02-26,UPS,Lane Laura J,"CHF Crp Aff, Com, Sustain Off",S - Sale,$157.93,"-2,375","16,655",-12%,"-$375,092",,,,
5,,2021-02-25 16:49:17,2021-02-23,UPS,Perez Juan R.,"Chief Info., Engineering Offic",S - Sale,$159.97,"-6,290","55,665",-10%,"-$1,006,180",,,,
6,,2021-02-25 16:49:09,2021-02-24,UPS,Hewett Wayne M.,Dir,P - Purchase,$159.82,+625,868,+257%,"+$99,887",,,,
7,D,2021-02-22 16:12:55,2021-02-22,UPS,Brothers Norman M. Jr,"Chief Legal, Compliance Off",S - Sale+OE,$159.64,"-13,337","37,061",-26%,"-$2,129,141",,,,
8,D,2021-02-18 16:12:31,2021-02-16,UPS,Thomas Charlene A,"CHF Diversity, Equity, In Off",S - Sale+OE,$162.86,"-2,814","5,657",-33%,"-$458,274",,,,
9,,2021-02-09 16:08:05,2021-02-05,UPS,Perez Juan R.,"Chief Info., Engineering Offic",S - Sale,$162.39,"-6,086","46,934",-11%,"-$988,373",,,,
10,,2021-02-09 16:07:50,2021-02-05,UPS,Cesarone Nando,"Pres, US Operations",S - Sale,$162.39,"-9,001","4,013",-69%,"-$1,461,668",,,,
11,M,2020-08-28 16:08:02,2020-08-27,UPS,Abney David P,Dir,S - Sale,$160.56,"-62,700","248,805",-20%,"-$10,066,883",,,,
12,D,2020-08-14 16:42:12,2020-08-13,UPS,Brothers Norman M. Jr,"SVP, GC, Sec",S - Sale+OE,$159.15,"-9,825","34,971",-22%,"-$1,563,605",,,,
13,D,2020-08-14 16:39:37,2020-08-13,UPS,Gutmann Kathleen M.,"Chief Sales, Solutions Off",S - Sale+OE,$156.77,"-7,766","56,184",-12%,"-$1,217,476",,,,
14,D,2020-06-02 16:05:52,2020-05-29,UPS,Tome Carol B,CEO,P - Purchase,$99.33,"+10,100","18,583",+119%,"+$1,003,233",,,,
15,,2019-11-04 16:08:02,2019-11-01,UPS,Barber James J.,COO,S - Sale,$116.43,"-1,500","48,419",-3%,"-$174,641",,,,
16,,2019-05-03 16:06:29,2019-05-01,UPS,Brothers Norman M. Jr,"SVP, GC, Sec",S - Sale,$106.03,"-1,500","23,011",-6%,"-$159,045",,,,
17,D,2019-02-27 16:06:53,2019-02-25,UPS,McClure Teri P,"CHRO, SVP, Labor Relations",S - Sale+OE,$109.72,"-5,000","76,780",-6%,"-$548,600",,,,
18,D,2019-02-15 16:07:36,2019-02-13,UPS,Cesarone Nando,"Pres, UPS International",P - Purchase,$111.54,+150,"2,943",+5%,"+$16,731",,,,
19,D,2019-02-15 16:07:31,2019-02-13,UPS,Peretz Richard N.,CFO,S - Sale+OE,$111.18,"-9,112","19,988",-31%,"-$1,013,107",,,,
20,,2018-08-24 17:17:30,2018-08-23,UPS,Willis George,"Pres, US Operations",S - Sale,$121.34,"-4,312","1,880",-70%,"-$523,218",,,,
21,,2018-08-21 16:06:04,2018-08-20,UPS,Barber James J.,COO,S - Sale,$121.94,"-2,500","39,480",-6%,"-$304,858",,,,
22,,2018-08-01 16:06:34,2018-07-31,UPS,Gutmann Kathleen M.,"SVP, Sales, Solutions",S - Sale,$119.92,"-1,700","35,213",-5%,"-$203,859",,,,
23,,2018-05-02 16:09:13,2018-05-01,UPS,Brothers Norman M. Jr,"SVP, GC, Sec",S - Sale,$113.42,"-1,500",0,-100%,"-$170,130",,,,
