,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-25 16:37:29,2021-05-25,URI,Passerini Filippo,Dir,S - Sale,$329.88,-925,"9,627",-9%,"-$305,139",,,,
2,,2021-05-11 16:49:52,2021-05-10,URI,Graziano Jessica,"EVP, CFO",S - Sale,$351.66,"-2,452","15,858",-13%,"-$862,258",,,,
3,,2021-05-03 16:36:41,2021-05-03,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$321.73,-632,"1,465",-30%,"-$203,333",,,,
4,,2021-03-12 19:18:33,2021-03-12,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$314.37,"-1,692","17,184",-9%,"-$531,906",,,,
5,,2021-02-01 17:02:04,2021-02-01,URI,Asplund Dale A,"EVP, COO",S - Sale,$248.99,"-6,982","19,604",-26%,"-$1,738,449",,,,
6,,2021-01-29 17:36:04,2021-01-29,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$242.96,"-1,897","18,545",-9%,"-$460,898",,,,
7,,2020-12-16 16:34:38,2020-12-15,URI,Kneeland Michael,Dir,S - Sale,$237.22,"-20,000","86,424",-19%,"-$4,744,372",,,,
8,M,2020-09-15 16:45:51,2020-09-14,URI,Roof Donald C,Dir,S - Sale,$176.07,"-15,000","15,015",-50%,"-$2,641,050",,,,
9,,2020-08-10 16:47:02,2020-08-07,URI,Kneeland Michael,Dir,S - Sale,$170.62,"-22,000","111,424",-16%,"-$3,753,664",,,,
10,,2020-06-10 16:55:18,2020-06-09,URI,Kneeland Michael,Dir,S - Sale,$159.30,"-41,936","133,424",-24%,"-$6,680,405",,,,
11,,2020-06-08 16:36:25,2020-06-05,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$162.80,-553,"1,953",-22%,"-$90,027",,,,
12,,2020-05-19 16:39:24,2020-05-18,URI,Graziano Jessica,"EVP, CFO",S - Sale,$130.00,"-1,349","16,505",-8%,"-$175,370",,,,
13,,2020-03-16 16:40:58,2020-03-13,URI,Singh Shiv,Dir,P - Purchase,$88.53,+600,"4,523",+15%,"+$53,120",,,,
14,,2020-03-16 16:35:23,2020-03-13,URI,Roof Donald C,Dir,P - Purchase,$87.26,"+5,000","28,684",+21%,"+$436,310",,,,
15,,2019-12-17 17:15:39,2019-12-13,URI,Fenton Jeffrey J,"SVP, Business Development",S - Sale,$160.95,"-20,000","13,819",-59%,"-$3,218,936",,,,
16,M,2019-11-08 16:31:19,2019-11-06,URI,Kneeland Michael,Dir,S - Sale,$149.62,"-34,999","158,974",-18%,"-$5,236,598",,,,
17,,2019-11-07 16:31:24,2019-11-05,URI,Papastavrou Jason D,Dir,S - Sale,$150.05,"-3,036","28,591",-10%,"-$455,547",,,,
18,,2019-10-24 19:19:53,2019-10-23,URI,Fenton Jeffrey J,"SVP, Business Development",S - Sale,$132.53,"-2,735","33,819",-7%,"-$362,458",,,,
19,,2019-08-20 16:35:32,2019-08-19,URI,Passerini Filippo,Dir,P - Purchase,$110.37,"+2,000","8,783",+29%,"+$220,749",,,,
20,,2019-07-25 16:30:43,2019-07-24,URI,Alvarez Jose B,Dir,P - Purchase,$125.98,+238,"9,559",+3%,"+$29,983",,,,
21,,2019-07-23 16:35:41,2019-07-22,URI,Roof Donald C,Dir,P - Purchase,$118.27,"+5,000","23,684",+27%,"+$591,362",,,,
22,DM,2019-05-23 18:11:06,2019-05-20,URI,Kneeland Michael,Dir,S - Sale+OE,$124.61,"-78,243","193,973",-29%,"-$9,750,062",,,,
23,D,2019-05-20 16:34:53,2019-05-16,URI,Kneeland Michael,Dir,S - Sale+OE,$129.67,"-38,580","191,864",-17%,"-$5,002,688",,,,
24,D,2019-05-13 19:18:02,2019-05-09,URI,Kneeland Michael,Dir,S - Sale+OE,$131.23,"-84,431","191,864",-31%,"-$11,079,762",,,,
25,,2019-03-13 16:50:51,2019-03-13,URI,McDonnell Paul I.,"EVP, Sales, Specialty Ops",S - Sale,$125.59,"-10,500","14,224",-42%,"-$1,318,669",,,,
26,,2019-03-13 16:47:56,2019-03-12,URI,Limoges Andrew B.,"VP, Controller",S - Sale,$123.45,-146,"1,986",-7%,"-$18,024",,,,
27,,2019-03-13 16:40:43,2019-03-12,URI,Graziano Jessica,"EVP, CFO",S - Sale,$123.36,-547,"13,376",-4%,"-$67,477",,,,
28,,2019-03-08 16:49:05,2019-03-08,URI,Pintoff Craig Adam,"EVP, Chief Admin., Legal Offic",S - Sale,$123.17,"-4,566","8,955",-34%,"-$562,402",,,,
