,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-01 16:29:03,2021-10-01,V,McInerney Ryan,Pres,S - Sale+OE,$224.17,"-11,194","139,715",-7%,"-$2,509,359",,,,
2,D,2021-09-30 16:03:02,2021-09-30,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$227.58,"-9,000","139,112",-6%,"-$2,048,220",,,,
3,D,2021-09-02 17:52:44,2021-09-01,V,McInerney Ryan,Pres,S - Sale+OE,$229.10,"-11,193","139,715",-7%,"-$2,564,316",,,,
4,D,2021-08-31 16:11:38,2021-08-31,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$230.91,"-9,000","142,112",-6%,"-$2,078,190",,,,
5,D,2021-08-03 18:14:18,2021-08-02,V,McInerney Ryan,Pres,S - Sale+OE,$246.29,"-11,193","139,715",-7%,"-$2,756,679",,,,
6,,2021-07-30 16:08:03,2021-07-28,V,Mahon Tullier Kelly,"EVP, CHIEF LEGAL, ADMIN OFFIC",S - Sale,$248.71,"-2,091","32,055",-6%,"-$520,053",,,,
7,D,2021-07-30 16:05:49,2021-07-30,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$247.21,"-9,000","145,112",-6%,"-$2,224,890",,,,
8,D,2021-07-07 18:46:36,2021-07-06,V,Taneja Rajat,"Pres, TECHNOLOGY",S - Sale+OE,$240.00,"-42,336","250,856",-14%,"-$10,160,640",,,,
9,D,2021-07-02 16:51:16,2021-07-01,V,McInerney Ryan,Pres,S - Sale+OE,$234.20,"-11,194","139,715",-7%,"-$2,621,635",,,,
10,D,2021-07-01 16:41:25,2021-06-30,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$235.11,"-9,000","148,112",-6%,"-$2,115,990",,,,
11,,2021-06-03 17:04:22,2021-06-02,V,Mahon Tullier Kelly,"EVP, CHIEF LEGAL, ADMIN OFFIC",S - Sale,$231.51,"-12,735","40,421",-24%,"-$2,948,291",,,,
12,D,2021-06-02 16:05:22,2021-06-01,V,McInerney Ryan,Pres,S - Sale+OE,$229.50,"-11,193","139,715",-7%,"-$2,568,780",,,,
13,D,2021-06-02 16:03:34,2021-05-28,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$227.59,"-9,000","151,112",-6%,"-$2,048,310",,,,
14,,2021-05-18 16:22:53,2021-05-17,V,Carney Lloyd,Dir,S - Sale,$226.12,"-1,300","2,726",-32%,"-$293,956",,,,
15,,2021-05-10 16:31:12,2021-05-06,V,Matschullat Robert W,Dir,S - Sale,$230.37,"-3,783","27,234",-12%,"-$871,490",,,,
16,D,2021-05-05 16:28:23,2021-05-03,V,McInerney Ryan,Pres,S - Sale+OE,$234.05,"-11,193","139,715",-7%,"-$2,619,722",,,,
17,DM,2021-05-04 16:23:56,2021-04-30,V,Prabhu Vasant M,"VICE CHAIR, CFO",S - Sale+OE,$233.68,"-35,000","53,633",-39%,"-$8,178,864",,,,
18,D,2021-05-03 18:09:19,2021-04-30,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$235.32,"-9,000","154,112",-6%,"-$2,117,880",,,,
19,D,2021-04-23 16:26:53,2021-04-22,V,Taneja Rajat,"Pres, TECHNOLOGY",S - Sale+OE,$230.00,"-31,750","250,856",-11%,"-$7,302,500",,,,
20,D,2021-04-02 17:13:14,2021-04-01,V,McInerney Ryan,Pres,S - Sale+OE,$213.87,"-11,194","139,715",-7%,"-$2,394,061",,,,
21,D,2021-04-02 17:12:13,2021-03-31,V,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$212.55,"-9,000","157,112",-5%,"-$1,912,950",,,,
