,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-16 16:53:56,2021-06-16,VFC,Wu Veronica,Dir,S - Sale,$81.57,-500,"3,663",-12%,"-$40,785",,,,
2,D,2021-06-03 15:07:24,2021-06-02,VFC,Otis Clarence Jr,Dir,S - Sale+OE,$79.56,"-13,449","18,893",-42%,"-$1,069,935",,,,
3,D,2020-11-24 08:38:31,2020-11-20,VFC,McCollough W Alan,Dir,S - Sale+OE,$85.04,"-15,065","17,782",-46%,"-$1,281,081",,,,
4,D,2020-11-20 16:27:53,2020-11-18,VFC,Bailey Kevin,"EVP, Group Pres - APAC",S - Sale+OE,$86.51,"-15,650","56,405",-22%,"-$1,353,913",,,,
5,D,2020-11-20 16:24:04,2020-11-18,VFC,McNeill Bryan H,"VP, Chief Accounting Officer",S - Sale+OE,$85.87,"-14,199","8,298",-63%,"-$1,219,223",,,,
6,D,2020-11-17 16:27:03,2020-11-13,VFC,Roe Scott A.,"EVP, CFO",S - Sale+OE,$79.21,"-62,741","114,898",-35%,"-$4,969,966",,,,
7,D,2020-11-12 16:42:38,2020-11-11,VFC,Meagher Laura C,"EVP, GC",S - Sale+OE,$77.45,"-27,499","23,484",-54%,"-$2,129,798",,,,
8,D,2020-11-12 08:09:24,2020-11-09,VFC,Roe Scott A.,"EVP, CFO",S - Sale+OE,$78.98,"-53,059","114,251",-32%,"-$4,190,851",,,,
9,D,2020-09-03 16:26:04,2020-09-02,VFC,McCollough W Alan,Dir,S - Sale+OE,$67.08,"-9,501","17,771",-35%,"-$637,280",,,,
10,,2020-06-15 16:17:00,2020-06-12,VFC,Carucci Richard,Dir,P - Purchase,$60.51,"+3,500","69,774",+5%,"+$211,785",,,,
11,,2020-06-08 17:09:31,2020-06-05,VFC,Meagher Laura C,"EVP, GC",S - Sale,$69.32,"-10,055","23,474",-30%,"-$697,034",,,,
12,,2020-06-04 16:24:48,2020-06-03,VFC,Dorer Benno O,Dir,P - Purchase,$62.79,"+1,592","7,347",+28%,"+$99,954",,,,
13,,2020-03-02 16:14:19,2020-02-28,VFC,Wu Veronica,Dir,P - Purchase,$71.00,+500,"1,495",+50%,"+$35,500",,,,
14,D,2019-12-12 17:05:08,2019-12-11,VFC,Otis Clarence Jr,Dir,S - Sale+OE,$91.14,"-16,930","16,221",-51%,"-$1,543,000",,,,
15,DM,2019-12-12 17:01:59,2019-12-10,VFC,Rendle Steven E,"COB, Pres, CEO",S - Sale+OE,$91.15,"-241,883","232,194",-51%,"-$22,048,764",,,,
16,D,2019-11-04 16:47:29,2019-11-01,VFC,Bailey Kevin,"VP, Group Pres - APAC",S - Sale+OE,$83.14,"-21,314","49,927",-30%,"-$1,772,046",,,,
17,DM,2019-09-16 16:18:05,2019-09-12,VFC,Scabbia Guerrini Martino,"VP, Group Pres - EMEA",S - Sale+OE,$90.49,"-39,810","123,616",-24%,"-$3,602,437",,,,
18,D,2019-09-03 17:05:44,2019-08-30,VFC,Holtz Curtis A.,"VP, Group Pres",S - Sale+OE,$83.25,"-40,003","52,528",-43%,"-$3,330,250",,,,
19,,2019-08-30 16:12:52,2019-08-29,VFC,Meagher Laura C,"Vice Pres, GC",S - Sale,$83.31,"-6,704","24,123",-22%,"-$558,537",,,,
20,,2019-08-26 16:23:06,2019-08-23,VFC,Carucci Richard,Dir,P - Purchase,$78.93,"+2,000","64,731",+3%,"+$157,860",,,,
21,,2019-07-30 17:15:44,2019-07-29,VFC,Roe Scott A.,"VP, CFO",S - Sale,$88.39,"-10,000","99,451",-9%,"-$883,900",,,,
22,D,2019-03-18 10:37:23,2019-03-15,VFC,Baxter Scott H,"VP, Group Pres",S - Sale+OE,$84.25,"-51,911","213,350",-20%,"-$4,373,398",,,,
23,D,2019-02-19 09:24:52,2019-02-14,VFC,Rendle Steven E,"COB, Pres, CEO",S - Sale+OE,$85.91,"-65,988","201,909",-25%,"-$5,669,029",,,,
24,D,2019-02-19 09:23:40,2019-02-14,VFC,Baxter Scott H,"VP, Group Pres",S - Sale+OE,$86.07,"-64,996","213,350",-23%,"-$5,594,076",,,,
25,,2019-02-13 09:36:30,2019-02-11,VFC,Meagher Laura C,"Vice Pres, GC",S - Sale,$85.39,"-8,894","24,015",-27%,"-$759,462",,,,
26,D,2019-02-11 12:17:47,2019-02-08,VFC,Holtz Curtis A.,"VP, Group Pres",S - Sale+OE,$85.75,"-24,926","47,571",-34%,"-$2,137,405",,,,
27,D,2019-01-29 08:45:56,2019-01-28,VFC,McCollough W Alan,Dir,S - Sale+OE,$83.20,"-12,552","15,190",-45%,"-$1,044,326",,,,
28,,2018-10-25 11:49:39,2018-10-25,VFC,Chugg Juliana L,Dir,P - Purchase,$77.60,"+6,400","39,340",+19%,"+$496,622",,,,
29,,2018-10-25 09:24:41,2018-10-24,VFC,Carucci Richard,Dir,P - Purchase,$78.65,"+5,000","48,190",+12%,"+$393,250",,,,
30,,2018-08-28 11:32:49,2018-08-27,VFC,Bailey Kevin,"VP, Group Pres - APAC",S - Sale,$91.95,"-4,400","28,861",-13%,"-$404,580",,,,
31,D,2018-08-22 12:03:13,2018-08-21,VFC,Roe Scott A.,"VP, CFO",S - Sale+OE,$92.78,"-29,544","103,384",-22%,"-$2,741,033",,,,
32,D,2018-08-21 10:55:25,2018-08-20,VFC,McNeill Bryan H,"VP, Chief Accounting Officer",S - Sale+OE,$92.45,"-25,232","4,042",-86%,"-$2,332,790",,,,
33,D,2018-08-15 08:36:51,2018-08-14,VFC,Meagher Laura C,"Vice Pres, GC",S - Sale+OE,$93.05,"-69,357","32,909",-68%,"-$6,453,842",,,,
34,D,2018-06-15 09:34:01,2018-06-14,VFC,Baxter Scott H,"VP, Group Pres",S - Sale+OE,$83.85,"-65,988","212,633",-24%,"-$5,533,358",,,,
35,D,2018-06-14 09:28:36,2018-06-12,VFC,Scabbia Guerrini Martino,"VP, Group Pres - EMEA",S - Sale+OE,$84.10,"-20,096","107,389",-16%,"-$1,690,074",,,,
36,D,2018-05-21 10:19:33,2018-05-18,VFC,Roe Scott A.,"VP, CFO",S - Sale+OE,$79.78,"-20,096","106,313",-16%,"-$1,603,219",,,,
37,D,2018-05-21 10:18:26,2018-05-18,VFC,Rendle Steven E,"COB, Pres, CEO",S - Sale+OE,$80.12,"-74,180","214,270",-26%,"-$5,943,079",,,,
38,D,2018-05-17 09:43:27,2018-05-16,VFC,Chugg Juliana L,Dir,S - Sale+OE,$79.00,"-25,540","32,940",-44%,"-$2,017,660",,,,
39,D,2018-05-15 10:30:11,2018-05-14,VFC,Bailey Kevin,"VP, Group Pres - APAC",S - Sale+OE,$77.42,"-15,000","39,571",-27%,"-$1,161,360",,,,
40,D,2018-03-08 12:04:54,2018-03-07,VFC,McCollough W Alan,Dir,S - Sale+OE,$0.00,"-25,540","15,190",-63%,-$0,,,,
41,D,2017-11-21 11:22:12,2017-11-20,VFC,Baxter Scott H,"VP, Group Pres",S - Sale+OE,$71.50,"-39,694","163,118",-20%,"-$2,838,121",,,,
