,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2020-12-04 17:19:45,2020-12-02,VLO,Gorder Joseph W,"COB, CEO",S - Sale,$58.42,"-39,200",0,-100%,"-$2,290,100",,,,
2,,2020-03-13 16:56:11,2020-03-12,VLO,Weisenburger Randall J,Dir,P - Purchase,$47.31,"+45,000","100,274",+81%,"+$2,128,752",,,,
3,,2020-03-13 16:50:17,2020-03-13,VLO,Pfeiffer Philip J.,Dir,P - Purchase,$43.82,"+1,310","22,224",+6%,"+$57,402",,,,
4,D,2019-12-17 17:32:59,2019-12-16,VLO,Gorder Joseph W,"COB, Pres, CEO",S - Sale+OE,$95.57,"-21,400","403,517",-5%,"-$2,045,230",,,,
5,,2019-02-20 16:09:39,2019-02-20,VLO,Waters Stephen M,Dir,P - Purchase,$84.97,+500,500,New,"+$42,485",,,,
6,,2018-12-13 17:00:22,2018-12-11,VLO,Weisenburger Randall J,Dir,P - Purchase,$72.74,"+25,000","53,717",+87%,"+$1,818,375",,,,
7,,2018-12-03 17:35:09,2018-10-29,VLO,Eberhart Paulett,Dir,P - Purchase,$86.23,+60,"4,223",+1%,"+$5,174",,,,
8,,2018-07-31 17:09:16,2018-07-30,VLO,Waters Stephen M,Dir,S - Sale,$116.76,"-1,000","7,464",-12%,"-$116,755",,,,
9,,2018-05-24 17:12:35,2018-05-23,VLO,Waters Stephen M,Dir,S - Sale,$121.04,"-1,000","8,464",-11%,"-$121,043",,,,
10,D,2018-05-23 17:26:37,2018-05-21,VLO,Gorder Joseph W,"COB, Pres, CEO",S - Sale+OE,$121.23,"-85,493","439,371",-16%,"-$10,364,316",,,,
11,D,2018-01-05 16:28:44,2018-01-03,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale+OE,$93.29,"-251,530","57,589",-81%,"-$23,464,882",,,,
12,,2017-12-21 17:49:57,2017-12-20,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$88.91,"-45,657","212,794",-18%,"-$4,059,543",,,,
13,,2017-12-14 17:14:14,2017-12-13,VLO,Waters Stephen M,Dir,S - Sale,$87.23,"-1,000","9,464",-10%,"-$87,233",,,,
14,,2017-11-15 16:38:56,2017-11-14,VLO,Pfeiffer Philip J.,Dir,S - Sale,$81.42,"-1,500","21,207",-7%,"-$122,130",,,,
15,,2017-11-01 17:07:31,2017-10-31,VLO,Waters Stephen M,Dir,S - Sale,$78.87,"-1,600","10,464",-13%,"-$126,197",,,,
16,,2017-09-28 17:07:59,2017-09-28,VLO,Waters Stephen M,Dir,S - Sale,$75.86,-656,"12,064",-5%,"-$49,764",,,,
17,,2017-09-21 17:19:56,2017-09-19,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$72.88,"-53,012","243,631",-18%,"-$3,863,516",,,,
18,,2017-09-07 16:02:05,2017-09-06,VLO,Waters Stephen M,Dir,S - Sale,$68.00,"-1,500","12,720",-11%,"-$102,000",,,,
19,,2017-06-21 16:04:47,2017-06-21,VLO,Purcell Susan Kaufman,Dir,S - Sale,$64.68,"-5,151","9,866",-34%,"-$333,174",,,,
20,D,2017-05-09 16:03:14,2017-05-05,VLO,Riggs R. Lane,EVP,S - Sale+OE,$65.15,"-31,522","130,265",-19%,"-$2,053,658",0,,,
21,,2017-02-23 16:03:01,2017-02-22,VLO,Waters Stephen M,Dir,S - Sale,$66.19,"-1,000","11,511",-8%,"-$66,194",0,+2,0,
22,D,2017-01-30 16:35:58,2017-01-26,VLO,Gorder Joseph W,"COB, Pres, CEO",S - Sale+OE,$67.85,"-39,057","392,909",-9%,"-$2,649,822",-4,-4,+1,
23,,2016-12-12 16:02:41,2016-12-08,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$68.70,"-57,946","154,465",-27%,"-$3,980,896",+1,+2,0,
24,D,2016-02-25 16:22:35,2016-02-24,VLO,Riggs R. Lane,EVP,S - Sale+OE,$60.00,"-10,060","109,947",-8%,"-$603,600",-2,+2,+8,-7
25,D,2015-11-24 16:03:36,2015-11-24,VLO,Crownover R. Michael,EVP,S - Sale+OE,$72.98,"-17,104","134,747",-11%,"-$1,248,217",0,-1,-2,-24
26,,2015-08-13 16:04:09,2015-08-11,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$68.14,"-29,910","227,279",-12%,"-$2,038,109",-2,-3,-10,-19
27,,2015-08-03 16:05:47,2015-07-31,VLO,Waters Stephen M,Dir,S - Sale,$65.54,"-4,000","9,442",-30%,"-$262,151",0,+1,-8,+7
28,,2015-06-23 16:50:28,2015-06-19,VLO,Waters Stephen M,Dir,S - Sale,$60.47,"-5,000","13,442",-27%,"-$302,335",-1,-1,+9,+16
29,D,2015-05-01 17:00:45,2015-04-30,VLO,Waters Stephen M,Dir,S - Sale+OE,$56.13,"-10,700","18,442",-37%,"-$600,557",-1,-2,+1,+9
30,,2015-03-23 16:06:44,2015-03-19,VLO,Ciskowski Michael S,"EVP, CFO",S - Sale,$61.20,"-65,054","240,058",-21%,"-$3,981,591",-1,-1,-7,-3
31,,2015-03-16 16:17:13,2015-03-13,VLO,Nickles Donald L,Dir,S - Sale,$58.00,"-3,000","20,273",-13%,"-$174,003",0,+3,-4,+7
32,,2015-02-09 16:10:52,2015-02-06,VLO,Waters Stephen M,Dir,S - Sale,$54.66,"-6,000","16,062",-27%,"-$327,989",+2,+8,+6,+22
