,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-03 16:19:44,2021-09-01,VMC,Bass Stanley G,Chief Strategy Officer,S - Sale+OE,$185.85,"-17,057","21,835",-44%,"-$3,170,062",,,,
2,DM,2021-09-01 19:56:05,2021-08-30,VMC,Hill J Thomas,"COB, Pres, CEO",S - Sale+OE,$186.39,"-92,667","58,131",-61%,"-$17,272,011",,,,
3,,2021-08-26 16:48:49,2021-08-24,VMC,Clement David P,SVP,S - Sale,$184.34,"-3,716","11,996",-24%,"-$685,007",,,,
4,D,2021-03-01 17:54:51,2021-03-01,VMC,Pigg Randy L.,"VP, Controller",S - Sale+OE,$169.73,-216,"2,804",-7%,"-$36,662",,,,
5,,2020-11-12 16:51:34,2020-11-10,VMC,Perkins Jerry F Jr,SVP,S - Sale,$137.25,"-3,000","12,665",-19%,"-$411,750",,,,
6,,2020-03-18 17:40:59,2020-03-17,VMC,Steiner David P,Dir,P - Purchase,$93.00,"+5,000","5,000",New,"+$465,000",,,,
7,,2019-11-20 17:47:58,2019-11-19,VMC,Pigg Randy L.,"VP, Controller",S - Sale,$140.64,-643,"1,235",-34%,"-$90,432",,,,
8,D,2019-09-24 16:52:02,2019-09-24,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$149.93,"-2,184","43,588",-5%,"-$327,438",,,,
9,D,2019-09-11 18:00:27,2019-09-11,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$141.94,"-2,406","43,603",-5%,"-$341,508",,,,
10,D,2019-08-02 18:00:05,2019-08-02,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$135.80,"-6,207","43,536",-12%,"-$842,911",,,,
11,D,2019-08-02 17:52:39,2019-08-02,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$135.80,"-2,147","52,762",-4%,"-$291,563",,,,
12,D,2019-06-11 17:24:56,2019-06-11,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$136.05,"-1,326","52,753",-2%,"-$180,402",,,,
13,D,2019-06-10 18:23:07,2019-06-10,VMC,Pigg Randy L.,"VP, Controller",S - Sale+OE,$134.96,"-1,754","1,859",-49%,"-$236,714",,,,
14,,2019-03-08 17:34:26,2019-03-07,VMC,Clement David P,Pres - Central Division,S - Sale,$114.28,"-2,789","11,293",-20%,"-$318,723",,,,
15,,2018-11-08 10:55:33,2018-11-06,VMC,Hill J Thomas,"COB, Pres, CEO",P - Purchase,$101.66,"+1,955","79,503",+3%,"+$198,736",,,,
16,D,2018-06-11 18:18:08,2018-06-11,VMC,McPherson John R,"EVP, CF, Strategy",S - Sale+OE,$130.37,"-21,618","62,138",-26%,"-$2,818,339",,,,
17,D,2018-06-11 18:13:27,2018-06-11,VMC,Bass Stanley G,Chief Growth Officer,S - Sale+OE,$130.00,"-4,109","36,101",-10%,"-$534,170",,,,
18,D,2018-05-11 16:51:10,2018-05-11,VMC,McPherson John R,"EVP, CF, Strategy",S - Sale+OE,$125.88,"-21,446","62,061",-26%,"-$2,699,622",,,,
19,,2018-05-08 17:53:22,2018-05-04,VMC,Clement David P,Pres - Central Division,S - Sale,$124.00,"-1,828","12,000",-13%,"-$226,672",,,,
20,D,2018-01-17 17:48:53,2018-01-17,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$134.56,"-3,738","43,160",-8%,"-$502,985",,,,
21,D,2018-01-05 16:33:19,2018-01-05,VMC,Mills Michael R,Chief Administrative Officer,S - Sale+OE,$133.25,"-4,659","43,136",-10%,"-$620,812",,,,
22,,2017-09-15 17:38:19,2017-09-13,VMC,Mills Michael R,Chief Administrative Officer,S - Sale,$117.55,-981,"32,457",-3%,"-$115,317",,,,
23,,2017-09-05 17:09:53,2017-09-01,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale,$121.51,"-1,250","5,200",-19%,"-$151,889",,,,
24,,2017-06-15 17:10:08,2017-06-14,VMC,Bass Stanley G,Chief Growth Officer,S - Sale,$132.00,"-4,413","35,014",-11%,"-$582,516",,,,
25,D,2017-06-14 18:24:54,2017-06-14,VMC,Perkins Jerry F Jr,"GC, Secretary",S - Sale+OE,$132.00,-306,"11,133",-3%,"-$40,392",,,,
26,,2017-06-07 15:41:17,2017-06-06,VMC,Khan Ejaz A,"VP, Controller, CIO",S - Sale,$125.30,"-2,024","47,422",-4%,"-$253,607",,,,
27,,2017-03-06 16:58:08,2017-03-03,VMC,Khan Ejaz A,"VP, Controller, CIO",S - Sale,$121.66,"-1,500","47,204",-3%,"-$182,490",-2,-1,-1,
28,D,2016-11-15 14:13:57,2016-11-11,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale+OE,$132.92,-184,"4,852",-4%,"-$24,457",0,-5,-7,
29,,2016-11-10 14:49:47,2016-11-08,VMC,Grayson David J,"Pres, Southeast Division",S - Sale,$118.49,"-2,121","27,328",-7%,"-$251,317",+3,-1,-2,-2
30,,2016-08-19 14:23:50,2016-08-17,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale,$117.55,-280,"4,114",-6%,"-$32,913",-1,0,-9,+1
31,,2016-08-19 14:23:47,2016-08-18,VMC,Mills Michael R,Chief Administrative Officer,S - Sale,$0.00,-834,"26,989",-3%,-$0,-1,0,-9,+1
32,,2016-08-17 11:33:04,2016-08-16,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale,$118.44,-138,"4,394",-3%,"-$16,345",0,+1,-7,+5
33,,2016-08-12 10:58:40,2016-08-10,VMC,Bass Stanley G,Chief Growth Officer,S - Sale,$121.07,-829,"27,344",-3%,"-$100,364",-2,-2,-7,+2
34,,2016-08-08 16:10:24,2016-08-05,VMC,Grayson David J,"Pres, Southeast Division",S - Sale,$118.77,"-2,025","29,254",-6%,"-$240,509",-1,-1,-6,+7
35,,2016-06-16 16:18:52,2016-06-16,VMC,Clement David P,Pres - Central Division,S - Sale,$113.17,"-1,255","8,000",-14%,"-$142,023",0,+1,+9,+10
36,,2016-03-14 18:06:57,2016-03-11,VMC,Pasley David B.,Pres - Mountain West Div,S - Sale,$103.27,-200,"3,166",-6%,"-$20,654",0,+2,+3,+4
37,,2016-02-29 16:09:25,2016-02-26,VMC,Clement David P,Pres - Central Division,S - Sale,$98.99,"-1,300","7,554",-15%,"-$128,687",+3,+3,+7,+20
38,,2016-02-29 16:09:24,2016-02-26,VMC,Lodge Brock C. Jr,Pres - Western Division,S - Sale,$99.00,-749,138,-84%,"-$74,151",+3,+3,+7,+20
39,,2015-11-10 13:05:17,2015-11-09,VMC,Grayson David J,"Pres, Southeast Division",S - Sale,$100.58,"-3,614","10,245",-26%,"-$363,496",-1,+1,-6,+15
40,,2015-08-26 08:27:11,2015-08-25,VMC,Teter Jason P,"Pres, S, GC Division",P - Purchase,$89.48,+560,768,+269%,"+$50,106",+2,+7,+7,+14
41,D,2015-08-11 10:39:37,2015-08-10,VMC,Duke William K,"Pres, Mideast Division",S - Sale+OE,$96.21,"-4,700","21,142",-18%,"-$452,203",0,+3,+3,-5
42,D,2015-06-03 09:56:31,2015-06-02,VMC,Clement David P,"Pres, Central Division",S - Sale+OE,$90.35,"-3,000",858,-78%,"-$271,050",-1,-2,-5,+14
43,D,2015-05-19 13:30:33,2015-05-18,VMC,Lott Jeffery G,"Pres, Southwest Division",S - Sale+OE,$91.55,"-2,940",916,-76%,"-$269,157",0,-2,-5,+8
