,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-09-01 11:20:38,2021-08-30,WAB,Deninno David L,"EVP, GC, Sec.",S - Sale,$89.72,"-6,533","79,515",-8%,"-$586,155",,,,
2,,2021-09-01 11:14:17,2021-08-30,WAB,Dugan Patrick D,"EVP, CFO",S - Sale,$90.02,"-17,033","91,704",-16%,"-$1,533,275",,,,
3,,2021-08-20 16:47:35,2021-08-19,WAB,Howell Michael W D,Dir,S - Sale,$86.39,"-4,446","5,128",-46%,"-$384,106",,,,
4,,2021-08-16 12:24:56,2021-08-13,WAB,Mastalerz John A Jr,"VP Fin., Corp. Controller, CAO",S - Sale,$88.42,"-2,700","17,487",-13%,"-$238,734",,,,
5,D,2021-05-28 09:37:40,2021-05-27,WAB,Mastalerz John A Jr,"VP Fin., Corp. Controller, CAO",S - Sale+OE,$82.53,"-3,103","20,187",-13%,"-$256,091",,,,
6,,2021-05-11 11:17:12,2021-05-10,WAB,Faiveley Erwan,Dir,S - Sale,$82.37,"-9,149","5,703,281",0%,"-$753,603",,,,
7,,2021-05-10 11:28:10,2021-05-07,WAB,Faiveley Erwan,Dir,S - Sale,$82.05,"-1,600","5,712,430",0%,"-$131,280",,,,
8,,2021-05-04 11:25:05,2021-05-03,WAB,Jain Nalin,"Pres, Equipment Group",S - Sale,$82.72,-986,"4,161",-19%,"-$81,558",,,,
9,,2021-05-04 11:23:05,2021-05-03,WAB,Faiveley Erwan,Dir,S - Sale,$82.27,"-19,400","5,714,030",0%,"-$1,595,966",,,,
10,,2021-03-01 08:29:00,2021-02-25,WAB,Faiveley Erwan,Dir,S - Sale,$75.00,-100,"5,733,430",0%,"-$7,500",,,,
11,M,2021-02-24 20:10:11,2021-02-22,WAB,Faiveley Erwan,Dir,S - Sale,$75.33,"-19,895","5,733,530",0%,"-$1,498,604",,,,
12,,2021-01-04 18:02:20,2020-12-05,WAB,Schweitzer Pascal,"Pres, Services Group",P - Purchase,$74.74,+700,"7,867",+10%,"+$52,318",,,,
13,,2020-12-02 14:05:40,2020-11-30,WAB,Faiveley Erwan,Dir,S - Sale,$73.08,"-20,000","5,754,587",0%,"-$1,461,600",,,,
14,,2020-12-01 15:45:46,2020-11-27,WAB,Faiveley Erwan,Dir,S - Sale,$73.93,"-20,000","5,774,587",0%,"-$1,478,600",,,,
15,,2020-11-27 21:12:41,2020-11-25,WAB,Faiveley Erwan,Dir,S - Sale,$74.47,"-25,000","5,794,587",0%,"-$1,861,810",,,,
16,,2020-11-25 07:29:07,2020-11-24,WAB,Faiveley Erwan,Dir,S - Sale,$76.14,"-75,000","5,819,587",-1%,"-$5,710,308",,,,
17,M,2020-11-24 11:11:17,2020-11-20,WAB,Faiveley Erwan,Dir,S - Sale,$71.84,"-50,000","5,894,587",-1%,"-$3,592,164",,,,
18,,2020-11-20 17:27:10,2020-11-19,WAB,Faiveley Erwan,Dir,S - Sale,$72.08,"-20,000","5,944,587",0%,"-$1,441,600",,,,
19,D,2020-11-19 10:55:58,2020-11-18,WAB,Neupaver Albert J,Dir,S - Sale+OE,$73.12,"-40,500","699,732",-5%,"-$2,961,360",,,,
20,M,2020-11-19 10:54:22,2020-11-17,WAB,Faiveley Erwan,Dir,S - Sale,$71.99,"-54,020","5,964,587",-1%,"-$3,888,882",,,,
21,M,2020-11-17 09:57:50,2020-11-13,WAB,Faiveley Erwan,Dir,S - Sale,$70.86,"-57,000","6,018,607",-1%,"-$4,038,935",,,,
22,M,2020-11-13 09:39:55,2020-11-11,WAB,Faiveley Erwan,Dir,S - Sale,$68.00,"-30,000","6,075,607",0%,"-$2,040,044",,,,
23,M,2020-11-12 06:51:34,2020-11-09,WAB,Faiveley Erwan,Dir,S - Sale,$69.31,"-50,000","6,105,607",-1%,"-$3,465,291",,,,
24,,2020-11-06 10:20:34,2020-10-07,WAB,Jain Nalin,"Pres, Equipment Group",S - Sale,$62.73,-61,"3,044",-2%,"-$3,827",,,,
25,,2020-08-27 10:20:01,2020-08-26,WAB,Faiveley Erwan,Dir,S - Sale,$67.23,"-50,000","6,155,607",-1%,"-$3,361,650",,,,
26,,2020-08-20 15:16:16,2020-08-18,WAB,Faiveley Erwan,Dir,S - Sale,$68.26,"-4,600","6,205,607",0%,"-$313,996",,,,
27,M,2020-08-18 11:41:06,2020-08-14,WAB,Faiveley Erwan,Dir,S - Sale,$69.15,"-105,600","6,210,207",-2%,"-$7,302,329",,,,
28,,2020-08-04 13:46:26,2020-08-03,WAB,Harty Linda S,Dir,P - Purchase,$61.93,"+5,000","13,382",+60%,"+$309,670",,,,
29,,2020-05-14 08:51:49,2020-05-13,WAB,Kassling William E,Dir,P - Purchase,$50.31,"+10,000","994,664",+1%,"+$503,134",,,,
30,,2019-11-25 07:51:45,2019-11-21,WAB,Howell Michael W D,Dir,S - Sale,$79.30,-717,"7,180",-9%,"-$56,859",,,,
31,D,2019-08-12 17:29:45,2019-08-09,WAB,General Electric Co,10%,S - Sale+OE,$70.33,"-16,969,692","2,048,515",-89%,"-$1,193,393,590",,,,
32,,2019-05-24 12:51:14,2019-05-23,WAB,Kassling William E,Dir,P - Purchase,$62.94,"+8,000","1,099,664",+1%,"+$503,520",,,,
33,,2019-05-22 15:12:20,2019-05-21,WAB,Deninno David L,"EVP, GC, Sec.",P - Purchase,$64.51,"+3,000","87,066",+4%,"+$193,530",,,,
34,,2019-05-22 15:10:30,2019-05-21,WAB,Neupaver Albert J,Dir,P - Purchase,$65.26,"+10,000","668,418",+2%,"+$652,600",,,,
35,,2019-02-28 10:32:07,2019-02-27,WAB,Harty Linda S,Dir,S - Sale,$75.68,"-3,000","3,254",-48%,"-$227,036",,,,
36,D,2018-08-28 09:30:17,2018-08-27,WAB,Kassling William E,Dir,S - Sale+OE,$109.27,"-8,000","1,095,378",-1%,"-$874,192",,,,
37,,2018-08-21 17:09:20,2018-08-21,WAB,Brooks Robert J,Dir,S - Sale,$110.56,"-20,000","448,645",-4%,"-$2,211,258",,,,
38,D,2018-08-21 17:01:43,2018-08-20,WAB,Foster Lee B II,Dir,S - Sale+OE,$110.26,"-4,000","70,106",-5%,"-$441,046",,,,
39,,2018-08-13 20:32:07,2018-08-09,WAB,Fernandez Emilio,Dir,S - Sale,$112.27,"-16,000","1,343,096",-1%,"-$1,796,254",,,,
40,,2018-08-08 11:54:25,2018-08-06,WAB,Deninno David L,"EVP, GC, Sec.",S - Sale,$113.44,"-6,000","59,888",-9%,"-$680,628",,,,
41,,2018-08-02 14:38:35,2018-08-01,WAB,Wahlstrom Scott,"EVP, HR",S - Sale,$110.00,"-10,000","122,410",-8%,"-$1,100,000",,,,
42,D,2018-07-30 16:23:44,2018-07-27,WAB,Hehir Brian,Dir,S - Sale+OE,$107.64,"-8,000","26,573",-23%,"-$861,128",,,,
43,,2018-07-30 16:19:19,2018-07-26,WAB,Kassling William E,Dir,S - Sale,$109.22,"-55,000","1,095,378",-5%,"-$6,007,116",,,,
44,D,2018-07-30 16:04:24,2018-07-26,WAB,Mastalerz John A Jr,"VP Fin., Corp. Controller, CAO",S - Sale+OE,$109.64,"-3,238","12,690",-20%,"-$355,014",,,,
45,D,2018-07-30 16:00:15,2018-07-26,WAB,Deninno David L,"EVP, GC, Sec.",S - Sale+OE,$109.11,"-18,690","65,888",-22%,"-$2,039,344",,,,
46,D,2018-07-30 15:58:41,2018-07-26,WAB,Dugan Patrick D,"EVP, CFO",S - Sale+OE,$109.54,"-21,280","68,295",-24%,"-$2,331,051",,,,
47,D,2018-07-30 15:54:36,2018-07-26,WAB,Neupaver Albert J,Dir,S - Sale+OE,$109.19,"-104,000","598,475",-15%,"-$11,355,381",,,,
48,,2018-06-04 16:17:32,2018-05-31,WAB,Kassling William E,Dir,S - Sale,$97.79,"-55,000","1,150,378",-5%,"-$5,378,632",,,,
49,,2018-05-31 12:51:16,2018-05-30,WAB,Fernandez Emilio,Dir,S - Sale,$97.70,"-10,000","1,378,276",-1%,"-$976,950",,,,
50,,2018-05-30 14:44:45,2018-05-29,WAB,Neupaver Albert J,Dir,S - Sale,$96.71,"-65,000","598,475",-10%,"-$6,286,464",,,,
51,,2018-05-29 16:20:46,2018-05-25,WAB,Brooks Robert J,Dir,S - Sale,$97.60,"-3,500","468,645",-1%,"-$341,600",,,,
52,,2018-05-29 16:18:46,2018-05-25,WAB,Wahlstrom Scott,"EVP, HR",S - Sale,$97.47,"-9,000","132,410",-6%,"-$877,190",,,,
53,,2018-05-24 12:21:26,2018-05-23,WAB,Hehir Brian,Dir,S - Sale,$96.35,"-2,952","26,573",-10%,"-$284,437",,,,
54,D,2018-05-24 12:15:33,2018-05-23,WAB,Foster Lee B II,Dir,S - Sale+OE,$96.90,"-4,000","70,106",-5%,"-$387,600",,,,
55,,2017-11-08 16:32:42,2017-11-06,WAB,Brooks Robert J,Dir,S - Sale,$77.66,"-3,500","462,525",-1%,"-$271,814",,,,
