,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-11-13 09:15:04,2020-11-11,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$41.55,"-5,000","34,700",-13%,"-$207,725",,,,
2,,2019-11-07 17:30:57,2019-11-05,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$63.16,"-234,355","13,844",-94%,"-$14,801,862",,,,
3,M,2019-08-16 18:40:39,2019-08-14,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$50.48,"-215,323","234,355",-48%,"-$10,868,505",,,,
4,,2019-05-09 16:44:10,2019-05-09,WBA,Pagni Marco Patrick Anthony,"EVP, Global CAO, GC",S - Sale,$53.05,"-20,000","449,678",-4%,"-$1,061,000",,,,
5,D,2019-04-04 21:42:06,2019-04-03,WBA,Barra Ornella,Co-COO,P - Purchase,$54.56,"+18,000","1,744,425",+1%,"+$982,080",,,,
6,,2018-11-23 16:01:35,2018-11-20,WBA,Schlichting Nancy M,Dir,S - Sale,$78.81,"-7,050","5,709",-55%,"-$555,611",,,,
7,D,2018-11-02 17:03:17,2018-11-01,WBA,Scardino Kimberly R,"SVP, Global Controller, CAO",S - Sale+OE,$79.79,"-11,970",0,-100%,"-$955,079",,,,
8,D,2018-11-02 17:02:23,2018-10-31,WBA,Wilson-Thompson Kathleen,"EVP, Global Chief HRO",S - Sale+OE,$78.77,"-52,000","55,926",-48%,"-$4,096,006",,,,
9,D,2018-11-02 16:58:32,2018-11-01,WBA,Foote William C,Dir,S - Sale+OE,$79.48,"-2,736","8,207",-25%,"-$217,457",,,,
10,,2018-08-03 17:30:23,2018-08-02,WBA,Foote William C,Dir,S - Sale,$65.99,"-2,736","10,943",-20%,"-$180,549",,,,
11,D,2018-07-17 17:39:29,2018-07-16,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",P - Purchase,$63.92,"+1,697,438","144,788,821",+1%,"+$108,500,237",,,,
12,D,2018-07-17 17:12:50,2018-07-16,WBA,Barra Ornella,Co-COO,P - Purchase,$65.15,"+1,700,000","1,700,000",New,"+$110,755,000",,,,
13,D,2018-07-17 17:12:50,2018-07-16,WBA,Barra Ornella,Co-COO,S - Sale+OE,$63.92,"-1,697,438","1,700,000",-50%,"-$108,500,237",,,,
14,,2018-05-03 17:19:47,2018-05-02,WBA,Foote William C,Dir,S - Sale,$65.56,"-2,736","13,679",-17%,"-$179,372",,,,
15,D,2018-01-17 18:01:31,2018-01-15,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",P - Purchase,$76.07,"+98,858","143,091,383",0%,"+$7,520,128",,,,
16,D,2018-01-17 18:01:31,2018-01-15,WBA,Pessina Stefano,"Exec Vice COB, CEO, 10%",S - Sale+OE,$76.07,"-98,858","143,091,383",0%,"-$7,520,128",,,,
17,D,2017-11-03 17:22:21,2017-11-02,WBA,Foote William C,Dir,S - Sale+OE,$67.37,"-2,736","16,415",-14%,"-$184,324",,,,
