,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-10 18:02:00,2021-08-06,WDC,Sundberg Lori S,"EVP, Chief Human Res Officer",S - Sale,$67.92,"-3,380","62,795",-5%,"-$229,570",,,,
2,D,2021-02-02 17:03:39,2021-01-29,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$59.92,"-22,735","61,478",-27%,"-$1,362,170",,,,
3,,2020-06-04 20:00:45,2020-06-03,WDC,Sundberg Lori S,"EVP, Chief Human Res Officer",S - Sale,$45.66,"-1,300","44,322",-3%,"-$59,352",,,,
4,,2020-02-14 17:27:13,2020-02-12,WDC,Cordano Michael D,"Pres, COO",S - Sale,$70.51,"-9,816","227,081",-4%,"-$692,153",,,,
5,,2020-02-07 18:32:26,2020-02-05,WDC,Cordano Michael D,"Pres, COO",S - Sale,$70.16,-200,"236,897",0%,"-$14,032",,,,
6,D,2020-02-04 19:24:28,2020-02-04,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$69.00,"-4,387","51,771",-8%,"-$302,703",,,,
7,,2020-02-04 19:23:41,2020-01-31,WDC,Cordano Michael D,"Pres, COO",S - Sale,$66.26,"-10,015","237,097",-4%,"-$663,640",,,,
8,D,2020-01-23 19:20:12,2020-01-23,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$70.80,"-14,706","247,112",-6%,"-$1,041,139",,,,
9,,2020-01-16 19:15:00,2020-01-14,WDC,Cordano Michael D,"Pres, COO",S - Sale,$70.15,"-2,034","261,818",-1%,"-$142,681",,,,
10,M,2020-01-09 18:10:28,2020-01-07,WDC,Milligan Stephen D,CEO,S - Sale,$68.32,"-11,785","427,100",-3%,"-$805,111",,,,
11,D,2019-12-23 17:06:01,2019-12-20,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$59.79,"-4,663","51,771",-8%,"-$278,815",,,,
12,M,2019-12-17 18:32:15,2019-12-13,WDC,Cordano Michael D,"Pres, COO",S - Sale,$56.74,"-7,684","263,852",-3%,"-$435,991",,,,
13,D,2019-11-12 20:16:20,2019-11-08,WDC,Massengill Matthew E,Dir,S - Sale+OE,$52.17,"-3,110","19,777",-14%,"-$162,234",,,,
14,,2019-11-07 18:15:16,2019-11-05,WDC,Cordano Michael D,"Pres, COO",S - Sale,$55.09,-300,"271,310",0%,"-$16,526",,,,
15,M,2019-11-04 19:09:10,2019-10-31,WDC,Cordano Michael D,"Pres, COO",S - Sale,$55.16,"-10,265","271,610",-4%,"-$566,245",,,,
16,DM,2019-09-06 19:49:44,2019-09-04,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$59.99,"-92,043","51,771",-64%,"-$5,521,268",,,,
17,,2019-08-22 18:10:00,2019-08-21,WDC,Sundberg Lori S,"EVP, Chief Human Res Officer",S - Sale,$56.82,"-3,442","29,312",-11%,"-$195,575",,,,
18,M,2019-03-13 18:08:21,2019-03-11,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale,$50.00,"-17,623","141,221",-11%,"-$881,150",,,,
19,D,2018-11-06 18:07:37,2018-11-05,WDC,Massengill Matthew E,Dir,S - Sale+OE,$47.68,"-1,681","16,667",-9%,"-$80,148",,,,
20,D,2018-08-06 21:33:13,2018-08-06,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$67.65,"-4,387","100,854",-4%,"-$296,781",,,,
21,DM,2018-08-06 21:31:27,2018-08-03,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$68.36,"-3,447","185,368",-2%,"-$235,624",,,,
22,D,2018-08-01 18:47:39,2018-07-30,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$70.83,"-24,938","191,025",-12%,"-$1,766,359",,,,
23,,2018-06-13 19:30:13,2018-06-11,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale,$82.43,-525,"95,435",-1%,"-$43,276",,,,
24,D,2018-06-07 18:18:14,2018-06-05,WDC,Denero Henry T,Dir,S - Sale+OE,$85.65,"-6,492","13,640",-32%,"-$556,051",,,,
25,D,2018-05-30 19:46:26,2018-05-29,WDC,Sivaram Srinivasan,"EVP, Memory Technology",S - Sale+OE,$86.36,"-63,879","84,460",-43%,"-$5,516,525",,,,
26,D,2018-05-24 19:31:01,2018-05-22,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$88.53,"-1,208","95,435",-1%,"-$106,944",,,,
27,,2018-05-24 19:30:38,2018-05-22,WDC,Price Paula A,Dir,S - Sale,$87.65,"-3,288","10,079",-25%,"-$288,193",,,,
28,D,2018-05-16 19:23:27,2018-05-14,WDC,Milligan Stephen D,CEO,S - Sale+OE,$80.94,"-16,510","137,425",-11%,"-$1,336,319",,,,
29,D,2018-05-16 19:23:08,2018-05-16,WDC,Lambert Michael D,Dir,S - Sale+OE,$85.88,"-11,542","21,104",-35%,"-$991,202",,,,
30,D,2018-05-08 18:43:34,2018-05-04,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$76.64,"-4,386","95,435",-4%,"-$336,143",,,,
31,DM,2018-03-13 20:14:42,2018-03-12,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$102.92,"-16,166","95,435",-14%,"-$1,663,867",,,,
32,DM,2018-03-13 20:14:16,2018-03-09,WDC,Milligan Stephen D,CEO,S - Sale+OE,$100.12,"-53,264","137,425",-28%,"-$5,333,000",,,,
33,,2018-03-13 20:08:49,2018-03-09,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale,$98.64,"-7,026","207,604",-3%,"-$693,064",,,,
34,,2018-03-08 19:20:19,2018-03-07,WDC,Milligan Stephen D,CEO,S - Sale,$94.49,"-23,155","139,716",-14%,"-$2,187,916",,,,
35,D,2018-02-27 19:17:56,2018-02-23,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$88.53,"-1,208","38,945",-3%,"-$106,944",,,,
36,D,2018-02-21 20:11:41,2018-02-21,WDC,Sivaram Srinivasan,"EVP, Memory Technology",S - Sale+OE,$86.71,"-10,865","85,548",-11%,"-$942,109",,,,
37,D,2018-02-05 20:27:02,2018-02-05,WDC,Milligan Stephen D,CEO,S - Sale+OE,$84.00,"-16,511","162,871",-9%,"-$1,386,902",,,,
38,D,2018-02-05 20:26:17,2018-02-05,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$84.20,"-4,466","83,917",-5%,"-$376,037",,,,
39,DM,2018-02-01 19:30:46,2018-01-30,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$86.73,"-35,009","38,945",-47%,"-$3,036,484",,,,
40,D,2018-01-31 18:33:51,2018-01-29,WDC,Milligan Stephen D,CEO,S - Sale+OE,$88.12,"-90,755","162,871",-36%,"-$7,997,178",,,,
41,D,2017-12-21 18:25:26,2017-12-19,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$85.00,"-1,401","69,159",-2%,"-$119,085",,,,
42,D,2017-11-13 20:04:50,2017-11-13,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$88.13,"-4,467","83,917",-5%,"-$393,677",,,,
43,D,2017-11-13 20:03:58,2017-11-13,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$88.13,"-1,397","69,159",-2%,"-$123,118",,,,
44,,2017-11-09 20:12:07,2017-11-08,WDC,Massengill Matthew E,Dir,S - Sale,$86.53,"-2,677","18,259",-13%,"-$231,640",,,,
45,D,2017-11-03 21:12:09,2017-11-01,WDC,Lambert Michael D,Dir,S - Sale+OE,$89.36,"-1,063","21,104",-5%,"-$94,984",,,,
46,D,2017-11-01 21:21:24,2017-11-01,WDC,Cote Kathleen A,Dir,S - Sale+OE,$90.63,"-2,000","14,421",-12%,"-$181,260",,,,
47,,2017-11-01 21:20:56,2017-10-30,WDC,Denero Henry T,Dir,S - Sale,$85.97,"-4,097","10,834",-27%,"-$352,199",,,,
48,D,2017-09-20 18:56:11,2017-09-18,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$88.71,"-9,404","70,940",-12%,"-$834,210",,,,
49,D,2017-09-13 19:39:17,2017-09-12,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$87.63,"-1,446","83,917",-2%,"-$126,713",,,,
50,D,2017-08-24 20:18:20,2017-08-23,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$88.49,"-1,517","86,690",-2%,"-$134,239",,,,
51,D,2017-08-21 20:07:47,2017-08-18,WDC,Bhatia Manish H,EVP Silicon Operations,S - Sale+OE,$82.38,"-20,130","69,692",-22%,"-$1,658,217",,,,
52,,2017-08-16 19:37:17,2017-08-16,WDC,Sivaram Srinivasan,EVP Memory Technology,S - Sale,$85.00,"-3,098","74,741",-4%,"-$263,330",,,,
53,D,2017-08-16 19:37:02,2017-08-14,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$80.97,"-1,517","86,690",-2%,"-$122,831",,,,
54,,2017-08-16 19:36:41,2017-08-14,WDC,Cordano Michael D,"Pres, COO",S - Sale,$82.55,"-3,670","76,779",-5%,"-$302,975",,,,
55,D,2017-08-07 20:04:44,2017-08-04,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$84.50,"-19,777","86,690",-19%,"-$1,671,101",,,,
56,D,2017-08-07 20:04:32,2017-08-03,WDC,Demaria Jacqueline,"EVP, Chief Human Res Officer",S - Sale+OE,$84.53,"-14,358","56,987",-20%,"-$1,213,613",,,,
57,D,2017-08-07 20:03:39,2017-08-04,WDC,Bhatia Manish H,EVP Silicon Operations,S - Sale+OE,$84.79,"-2,762","69,692",-4%,"-$234,190",,,,
58,DM,2017-07-20 21:07:43,2017-07-19,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$94.24,"-28,585","68,908",-29%,"-$2,693,850",,,,
59,D,2017-07-20 21:06:11,2017-07-20,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$94.98,"-4,954","56,396",-8%,"-$470,508",,,,
60,D,2017-07-05 20:57:10,2017-07-05,WDC,Sivaram Srinivasan,EVP Memory Technology,S - Sale+OE,$85.06,"-16,049","69,259",-19%,"-$1,365,100",,,,
61,D,2017-06-13 19:08:26,2017-06-12,WDC,Cordano Michael D,"Pres, COO",S - Sale+OE,$85.00,"-11,322","56,396",-17%,"-$962,385",,,,
62,,2017-06-05 19:51:23,2017-06-02,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale,$92.30,-524,"41,414",-1%,"-$48,365",,,,
63,D,2017-05-22 18:38:25,2017-05-18,WDC,Bhatia Manish H,EVP Silicon Operations,S - Sale+OE,$84.99,"-7,208","63,697",-10%,"-$612,625",,,,
64,D,2017-05-16 20:45:25,2017-05-15,WDC,Ray Michael Charles,"EVP, GC, Sec",S - Sale+OE,$89.54,"-1,365","41,414",-3%,"-$122,222",,,,
65,D,2017-05-16 20:44:03,2017-05-15,WDC,Long Mark P,"Pres WD Capital, CSO, CFO",S - Sale+OE,$89.54,"-3,034","68,308",-4%,"-$271,664",,,,
66,D,2017-05-08 19:07:17,2017-05-04,WDC,Sivaram Srinivasan,EVP Memory Technology,S - Sale+OE,$89.18,"-40,182","92,368",-30%,"-$3,583,326",-1,0,,
