,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-12 17:27:22,2021-08-11,WEC,Erickson Joshua M,"VP, Deputy GC",S - Sale+OE,$96.48,"-1,555","7,229",-18%,"-$150,019",,,,
2,M,2021-06-08 16:43:37,2021-04-26,WEC,Lane Thomas K,Dir,P - Purchase,$95.42,+70,"4,910",+1%,"+$6,680",,,,
3,,2021-05-20 15:40:43,2021-05-18,WEC,Garcia-Thomas Cristina A,Dir,P - Purchase,$95.09,+525,"2,075",+34%,"+$49,923",,,,
4,D,2021-05-19 16:03:56,2021-05-17,WEC,Reese Anthony,"VP, Treasurer",S - Sale+OE,$95.99,-470,"2,012",-19%,"-$45,115",,,,
5,,2021-05-17 14:55:10,2021-05-13,WEC,Payne Ulice Jr,Dir,S - Sale,$96.43,"-2,400","22,644",-10%,"-$231,434",,,,
6,D,2021-05-12 16:35:28,2021-05-10,WEC,Matthews Charles R,"Pres, CEO - PGL, NSG",S - Sale+OE,$98.61,"-10,580","2,217",-83%,"-$1,043,340",,,,
7,,2021-03-05 15:53:55,2021-03-03,WEC,Liu Xia,"EVP, CFO",P - Purchase,$81.50,"+1,000","10,561",+10%,"+$81,500",,,,
8,D,2020-11-13 16:53:14,2020-11-11,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$105.59,"-4,501","213,575",-2%,"-$475,278",,,,
9,DM,2020-11-12 16:40:58,2020-11-09,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$105.45,"-39,955","213,575",-16%,"-$4,213,429",,,,
10,D,2020-11-12 16:40:41,2020-11-09,WEC,Metcalfe Tom,Pres WI Utilities,S - Sale+OE,$105.52,"-18,200","6,836",-73%,"-$1,920,397",,,,
11,DM,2020-11-10 17:00:27,2020-11-06,WEC,Straka Mary Beth,"SVP-Corp Comm, Inv Rel",S - Sale+OE,$103.85,"-3,755","2,031",-65%,"-$389,963",,,,
12,D,2020-11-09 16:11:58,2020-11-05,WEC,Garvin Robert M,Exec VP - Ext Affs,S - Sale+OE,$101.58,"-24,665","9,529",-72%,"-$2,505,532",,,,
13,M,2020-09-22 16:38:50,2020-03-11,WEC,Green Maria C,Dir,S - Sale,$93.09,-12,"1,648",-1%,"-$1,117",,,,
14,D,2020-08-18 13:35:40,2020-08-14,WEC,Reese Anthony,"VP, Treasurer",S - Sale+OE,$91.71,-600,"1,424",-30%,"-$55,024",,,,
15,D,2020-07-30 19:15:09,2020-07-28,WEC,Matthews Charles R,"Pres, CEO - PGL, NSG",S - Sale+OE,$95.05,"-14,481","1,753",-89%,"-$1,376,454",,,,
16,,2020-06-01 15:53:01,2020-05-28,WEC,Payne Ulice Jr,Dir,S - Sale,$87.31,"-1,200","23,462",-5%,"-$104,777",,,,
17,D,2020-02-27 16:52:18,2020-02-25,WEC,Metcalfe Tom,Pres WI Utilities,S - Sale+OE,$102.08,"-8,835","6,804",-56%,"-$901,832",,,,
18,D,2020-02-27 16:51:56,2020-02-26,WEC,Krueger Daniel,EVP WEC Infrastructure,S - Sale+OE,$101.23,"-5,285","4,393",-55%,"-$535,019",,,,
19,D,2020-02-21 17:12:42,2020-02-19,WEC,Garvin Robert M,Exec VP - Ext Affs,S - Sale+OE,$102.58,"-33,910","9,529",-78%,"-$3,478,610",,,,
20,D,2020-02-13 16:48:48,2020-02-12,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$100.61,"-10,000","213,500",-4%,"-$1,006,050",,,,
21,DM,2020-02-05 17:19:23,2020-02-03,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$100.61,"-90,300","213,500",-30%,"-$9,085,001",,,,
22,,2019-11-13 17:00:00,2019-11-11,WEC,Bowles Barbara L,Dir,S - Sale,$87.37,"-1,000","18,495",-5%,"-$87,370",,,,
23,,2019-09-05 16:33:42,2019-07-09,WEC,Culver Curt S,Dir,P - Purchase,$85.30,+367,"2,187",+20%,"+$31,305",,,,
24,,2019-09-05 16:33:42,2019-07-12,WEC,Culver Curt S,Dir,S - Sale,$85.69,-191,"2,187",-8%,"-$16,367",,,,
25,D,2019-09-05 16:33:22,2019-09-04,WEC,Straka Mary Beth,"SVP-Corp Comm, Inv Rel",S - Sale+OE,$97.69,"-3,500","1,752",-67%,"-$341,911",,,,
26,DM,2019-09-04 17:05:51,2019-08-30,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$96.33,"-126,010","204,961",-38%,"-$12,138,000",,,,
27,D,2019-08-30 16:02:11,2019-08-29,WEC,Fletcher Joseph Kevin,"Pres, CEO-WEC Energy Group",S - Sale+OE,$95.69,"-27,105","12,395",-69%,"-$2,593,664",,,,
28,,2019-08-14 17:51:49,2019-08-13,WEC,Bowles Barbara L,Dir,S - Sale,$89.73,"-1,000","19,444",-5%,"-$89,734",,,,
29,,2019-08-12 17:29:31,2019-08-08,WEC,Metcalfe Tom,Pres WI Utilities,S - Sale,$89.14,"-2,000","6,180",-24%,"-$178,270",,,,
30,D,2019-08-12 17:29:09,2019-08-08,WEC,Guc William J,"VP, Controller",S - Sale+OE,$88.09,"-7,005","7,388",-49%,"-$617,070",,,,
31,DM,2019-08-09 16:47:07,2019-08-07,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$88.43,"-73,669","204,944",-26%,"-$6,514,261",,,,
32,D,2019-08-09 16:46:44,2019-08-07,WEC,Lauber Scott J,"Sr. Ex VP, CFO, Treasurer",S - Sale+OE,$88.38,"-7,560","19,870",-28%,"-$668,181",,,,
33,D,2019-05-29 17:03:16,2019-05-24,WEC,Leverett Allen L,Dir,S - Sale+OE,$82.49,"-100,000","76,266",-57%,"-$8,248,920",,,,
34,D,2019-05-29 17:02:47,2019-05-24,WEC,Lauber Scott J,"Sr. Ex VP, CFO, Treasurer",S - Sale+OE,$82.50,"-3,360","19,817",-14%,"-$277,200",,,,
35,DM,2019-05-28 17:43:28,2019-05-23,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$82.35,"-71,400","204,921",-26%,"-$5,879,788",,,,
36,DM,2019-05-23 17:36:34,2019-05-21,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$81.60,"-96,116","204,921",-32%,"-$7,843,017",,,,
37,DM,2019-05-21 17:02:24,2019-05-17,WEC,Klappa Gale E,Exec COB,S - Sale+OE,$81.30,"-61,350","204,921",-23%,"-$4,987,536",,,,
38,,2019-05-09 16:33:05,2019-05-07,WEC,Bowles Barbara L,Dir,S - Sale,$78.35,"-2,000","20,382",-9%,"-$156,700",,,,
39,,2019-05-08 16:40:17,2019-05-06,WEC,Guc William J,"VP, Controller",S - Sale,$78.10,"-4,481","7,381",-38%,"-$350,000",,,,
40,D,2019-03-05 17:26:24,2019-03-04,WEC,Metcalfe Tom,Pres WI Utilities,S - Sale+OE,$75.72,"-13,675","9,285",-60%,"-$1,035,535",,,,
41,D,2019-02-27 17:04:42,2019-02-25,WEC,Lauber Scott J,"Sr. Ex VP, CFO, Treasurer",S - Sale+OE,$76.26,"-3,650","19,759",-16%,"-$278,358",,,,
42,,2019-02-25 17:18:21,2019-02-21,WEC,Payne Ulice Jr,Dir,S - Sale,$75.29,"-6,700","23,064",-23%,"-$504,450",,,,
