,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-11-23 13:11:01,2020-11-19,WFC,Van Beurden Saul,Sr. EVP,P - Purchase,$26.18,+60,"17,129",0%,"+$1,571",,,,
2,,2020-03-16 13:28:44,2020-03-13,WFC,Noski Charles H,Dir,P - Purchase,$29.53,"+20,000","20,309",>999%,"+$590,600",,,,
3,,2020-03-16 13:13:14,2020-03-13,WFC,Scharf Charles W,"CEO, Pres",P - Purchase,$28.69,"+173,000","177,019",>999%,"+$4,963,370",,,,
4,,2020-03-03 14:08:43,2020-02-28,WFC,Daley William M,Vice COB - Public Affairs,P - Purchase,$40.99,"+11,100","11,100",New,"+$454,989",,,,
5,,2019-05-14 13:07:31,2019-05-13,WFC,Pelos Petros G,Sr. EVP,S - Sale,$46.51,"-28,304","96,553",-23%,"-$1,316,419",,,,
6,,2018-08-17 16:21:23,2018-08-17,WFC,Modjtabai Avid,Sr. EVP,S - Sale,$58.71,"-100,000","394,109",-20%,"-$5,871,000",,,,
7,,2018-08-14 13:06:25,2018-08-13,WFC,Hardison Hope A.,Sr. EVP,S - Sale,$58.01,"-25,000","120,651",-17%,"-$1,450,250",,,,
8,,2018-05-25 13:12:37,2018-05-24,WFC,Pelos Petros G,Sr. EVP,S - Sale,$54.76,"-25,567","89,639",-22%,"-$1,400,049",,,,
9,,2018-02-12 13:18:35,2018-02-12,WFC,Sargent Ronald,Dir,P - Purchase,$55.98,"+9,000","18,131",+99%,"+$503,820",,,,
10,,2018-01-24 12:30:21,2017-11-17,WFC,Codel Franklin R,Former Senior EVP,S - Sale,$54.19,"-5,393","87,226",-6%,"-$292,234",,,,
11,,2017-12-06 13:21:32,2017-12-04,WFC,Loughlin Michael J,Sr. EVP,S - Sale,$57.80,"-17,482","266,127",-6%,"-$1,010,460",,,,
12,,2017-12-01 13:39:03,2017-11-30,WFC,Shrewsberry John R.,"Senior EVP, CFO",S - Sale,$56.90,"-70,000","274,082",-20%,"-$3,983,000",,,,
13,,2017-12-01 13:32:48,2017-11-30,WFC,Levy Richard,"EVP, Controller",S - Sale,$56.47,"-97,000","68,534",-59%,"-$5,477,590",,,,
14,,2017-06-13 14:11:11,2017-06-12,WFC,Pelos Petros G,Sr. EVP,S - Sale,$54.07,"-24,708","86,319",-22%,"-$1,335,962",,,,
15,,2017-06-09 14:56:52,2017-06-08,WFC,Mack Mary T,Sr. EVP,S - Sale,$52.58,"-38,988","30,755",-56%,"-$2,049,989",,,,
16,,2017-06-09 14:52:12,2017-06-09,WFC,Carroll David M,Senior Exec. VP,S - Sale,$53.28,"-27,582","341,699",-7%,"-$1,469,569",,,,
17,,2017-06-08 13:21:44,2017-06-07,WFC,Hardison Hope A.,Sr. EVP,S - Sale,$52.07,"-20,000","113,024",-15%,"-$1,041,400",,,,
18,,2017-06-02 13:57:53,2017-06-01,WFC,Loughlin Michael J,Sr. EVP,S - Sale,$52.16,"-20,000","281,728",-7%,"-$1,043,200",,,,
19,,2017-05-05 14:24:44,2017-05-05,WFC,Sargent Ronald,Dir,P - Purchase,$55.15,"+9,050","9,131",>999%,"+$499,108",0,-3,,
20,,2017-04-28 15:13:23,2017-04-28,WFC,Modjtabai Avid,Sr. EVP,S - Sale,$54.21,"-100,000","400,652",-20%,"-$5,421,000",-1,+2,,
21,,2017-04-17 11:23:50,2017-04-17,WFC,Sanger Stephen W,Dir,P - Purchase,$51.65,"+58,342","79,934",+270%,"+$3,013,364",+3,+3,,
22,,2017-04-17 11:20:33,2017-04-17,WFC,Sloan Timothy J,"CEO, Pres",P - Purchase,$51.65,"+39,000","756,078",+5%,"+$2,014,350",+3,+3,,
23,M,2017-04-12 18:15:17,2017-04-10,WFC,Berkshire Hathaway Inc,10%,S - Sale,$53.81,"-7,134,447","499,174,023",-1%,"-$383,924,253",-3,-2,+2,
24,,2017-03-03 15:18:54,2017-03-03,WFC,Carroll David M,Senior Exec. VP,S - Sale,$59.02,"-117,704","314,060",-27%,"-$6,946,890",0,0,-5,
25,D,2016-08-09 15:41:17,2016-08-08,WFC,Sloan Timothy J,"Pres, COO",S - Sale+OE,$48.92,"-20,500","666,122",-3%,"-$1,002,860",0,-1,+2,+17
26,,2016-05-06 16:11:06,2016-03-11,WFC,Pena Federico F,Dir,P - Purchase,$49.50,+85,"23,151",0%,"+$4,208",0,0,+3,-6
27,,2016-05-04 13:00:58,2016-05-03,WFC,Quigley James H.,Dir,P - Purchase,$49.97,"+2,000","2,150",>999%,"+$99,940",-1,0,+3,-7
28,,2016-04-28 15:05:16,2016-04-27,WFC,Strother James M,Sr. EVP,S - Sale,$50.77,"-40,000","224,361",-15%,"-$2,030,800",-1,-3,0,-9
29,,2016-04-28 14:43:58,2016-04-27,WFC,Modjtabai Avid,Sr. EVP,S - Sale,$50.77,"-55,000","375,001",-13%,"-$2,792,350",-1,-3,0,-9
