,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-12 12:15:59,2021-10-08,WMB,Bennett Walter J,"SVP Gathering, Processing",S - Sale+OE,$28.00,"-43,975","156,706",-22%,"-$1,231,300",,,,
2,D,2021-07-02 11:26:15,2021-07-01,WMB,Bennett Walter J,"SVP Gathering, Processing",S - Sale+OE,$27.00,"-19,000","181,706",-9%,"-$513,000",,,,
3,M,2021-02-25 16:43:18,2021-02-23,WMB,Bennett Walter J,"SVP Gathering, Processing",S - Sale,$23.51,"-30,000","150,338",-17%,"-$705,150",,,,
4,,2020-03-13 10:32:56,2020-03-12,WMB,Wilson Terrance Lane,"SVP, GC",P - Purchase,$13.95,"+1,100","80,140",+1%,"+$15,345",,,,
5,,2020-03-12 17:59:21,2020-03-12,WMB,Spence William H,Dir,P - Purchase,$13.60,"+4,000","22,802",+21%,"+$54,400",,,,
6,,2020-03-10 19:06:14,2020-03-10,WMB,Spence William H,Dir,P - Purchase,$14.73,"+6,500","18,802",+53%,"+$95,750",,,,
7,,2020-03-10 19:02:40,2020-03-09,WMB,Chandler John D,"SVP, CFO",P - Purchase,$15.07,"+13,000","147,523",+10%,"+$195,966",,,,
8,,2020-03-10 18:58:53,2020-03-09,WMB,Bergstrom Stephen W,Dir,P - Purchase,$15.30,"+16,400","71,365",+30%,"+$250,874",,,,
9,,2020-03-10 18:55:48,2020-03-09,WMB,Armstrong Alan S,"Pres, CEO",P - Purchase,$15.23,"+33,000","838,890",+4%,"+$502,588",,,,
10,,2020-02-27 17:37:31,2020-02-26,WMB,Creel Michael A,Dir,P - Purchase,$19.15,"+25,000","79,527",+46%,"+$478,750",,,,
11,D,2020-02-26 17:38:07,2020-02-25,WMB,Wilson Terrance Lane,"SVP, GC",P - Purchase,$20.42,"+1,000","79,040",+1%,"+$20,420",,,,
12,,2019-12-26 12:27:45,2019-12-23,WMB,Bennett Walter J,SVP,S - Sale,$23.82,"-20,000","94,035",-18%,"-$476,400",,,,
13,,2019-08-23 16:26:27,2019-08-23,WMB,Bergstrom Stephen W,Dir,P - Purchase,$22.99,"+10,000","54,965",+22%,"+$229,863",,,,
