,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-15 18:57:30,2021-03-11,WRK,Chalovich Jeffrey Wayne,Pres - Corrugated Pkging,S - Sale,$51.23,"-19,600","124,511",-14%,"-$1,004,108",,,,
2,D,2021-03-10 15:07:21,2021-03-09,WRK,Voorhees Steven C,CEO - Pres,S - Sale+OE,$52.95,"-78,048","1,196,553",-6%,"-$4,132,642",,,,
3,,2020-11-17 18:10:45,2020-11-17,WRK,Chalovich Jeffrey Wayne,Pres - Corrugated Pkging,S - Sale,$43.55,"-13,634","114,573",-11%,"-$593,761",,,,
4,D,2020-11-17 16:58:01,2020-11-17,WRK,Porter James B,Pres - Corrugated Packagi,S - Sale+OE,$43.32,"-19,202","162,843",-11%,"-$831,831",,,,
5,,2020-09-15 13:51:51,2020-09-14,WRK,Nevels James E,Dir,P - Purchase,$32.95,+100,"20,303",0%,"+$3,295",,,,
6,,2020-07-15 13:59:05,2020-07-14,WRK,Nevels James E,Dir,P - Purchase,$28.15,+100,"20,103",0%,"+$2,815",,,,
7,,2020-06-16 14:32:50,2020-06-15,WRK,Nevels James E,Dir,P - Purchase,$27.02,+100,"20,003",+1%,"+$2,702",,,,
8,,2020-05-18 12:17:36,2020-05-14,WRK,Nevels James E,Dir,P - Purchase,$23.70,+100,"19,903",+1%,"+$2,370",,,,
9,,2020-04-14 16:58:55,2020-04-14,WRK,Nevels James E,Dir,P - Purchase,$32.69,+100,"19,803",+1%,"+$3,269",,,,
10,,2020-03-17 10:14:17,2020-03-16,WRK,Nevels James E,Dir,P - Purchase,$22.42,+100,"19,703",+1%,"+$2,242",,,,
11,,2020-02-28 13:49:04,2020-02-27,WRK,Dickson Ward H.,"EVP, CFO",P - Purchase,$34.44,+585,"157,995",0%,"+$20,147",,,,
12,,2020-02-18 06:28:26,2020-02-14,WRK,Nevels James E,Dir,P - Purchase,$40.75,+100,"19,603",+1%,"+$4,075",,,,
13,,2020-01-15 15:51:33,2020-01-14,WRK,Nevels James E,Dir,P - Purchase,$42.74,+100,"15,400",+1%,"+$4,274",,,,
14,,2019-12-16 17:37:49,2019-12-16,WRK,Nevels James E,Dir,P - Purchase,$41.50,+100,"12,978",+1%,"+$4,150",,,,
15,,2019-12-16 14:26:14,2019-12-12,WRK,Porter James B,Pres - Corrugated Packagi,S - Sale,$41.22,"-55,000","132,213",-29%,"-$2,267,287",,,,
16,D,2019-12-12 14:40:20,2019-12-11,WRK,Porter James B,Pres - Corrugated Packagi,S - Sale+OE,$40.04,"-25,753","187,213",-12%,"-$1,031,153",,,,
17,D,2019-12-02 14:42:41,2019-11-27,WRK,Luke John A Jr,Dir,S - Sale+OE,$40.67,"-188,659","650,563",-22%,"-$7,672,648",,,,
18,,2019-11-18 09:32:38,2019-11-14,WRK,Nevels James E,Dir,P - Purchase,$40.43,+100,"12,878",+1%,"+$4,043",,,,
19,D,2019-11-12 12:23:46,2019-11-11,WRK,Luke John A Jr,Dir,S - Sale+OE,$39.31,"-41,206","650,563",-6%,"-$1,619,697",,,,
20,D,2019-09-18 07:24:40,2019-09-16,WRK,Luke John A Jr,Dir,S - Sale+OE,$38.68,"-20,603","643,708",-3%,"-$796,924",,,,
21,D,2019-09-12 14:12:41,2019-09-11,WRK,Luke John A Jr,Dir,S - Sale+OE,$38.00,"-103,015","643,708",-14%,"-$3,914,570",,,,
22,D,2019-08-05 11:20:19,2019-08-01,WRK,Luke John A Jr,Dir,S - Sale+OE,$38.00,"-61,809","643,708",-9%,"-$2,348,804",,,,
23,,2019-03-04 14:18:18,2019-02-28,WRK,Russell Currey M,Dir,P - Purchase,$37.50,"+5,000","313,284",+2%,"+$187,500",,,,
24,,2019-02-05 14:49:07,2019-02-04,WRK,Dickson Ward H.,"EVP, CFO",P - Purchase,$37.94,"+2,645","132,210",+2%,"+$100,348",,,,
25,D,2018-12-04 11:12:58,2018-12-03,WRK,Feeser Robert A,Pres - Consumer Packaging,S - Sale+OE,$46.91,"-67,755","35,683",-66%,"-$3,178,681",,,,
