,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-14 10:45:01,2021-09-10,WST,Lai Quintin J,"VP Corp Development, Strategy",S - Sale+OE,$460.76,"-9,672","2,234",-81%,"-$4,456,452",,,,
2,,2021-05-10 16:49:43,2021-05-10,WST,Abraham Silji,"Chief Digital, Trans Officer",S - Sale,$335.00,"-2,171","6,077",-26%,"-$727,285",,,,
3,D,2020-11-09 18:36:52,2020-11-06,WST,Miller George Lloyd,"SVP, GC, Corp. Sec.",S - Sale+OE,$296.67,"-9,000","7,540",-54%,"-$2,670,041",,,,
4,M,2020-10-22 15:59:36,2017-10-17,WST,Zenner Patrick J,Dir,P - Purchase,$97.42,+446,"66,140",+1%,"+$43,448",,,,
5,M,2020-10-22 15:59:36,2017-11-10,WST,Zenner Patrick J,Dir,S - Sale,$106.16,-446,"66,140",-1%,"-$47,348",,,,
6,DM,2020-07-30 18:22:53,2020-07-28,WST,Montecalvo David A,"SVP, Glob Ops, Supply Chain",S - Sale+OE,$265.91,"-17,781","6,309",-74%,"-$4,728,061",,,,
7,DM,2020-05-12 14:11:53,2020-05-08,WST,Abraham Silji,"Chief Digital, Trans Officer",S - Sale+OE,$202.25,"-2,000","5,894",-25%,"-$404,500",,,,
8,,2020-05-05 17:13:01,2020-05-01,WST,Miller George Lloyd,"SVP, GC, Corp. Sec.",S - Sale,$189.38,"-1,805","23,044",-7%,"-$341,837",,,,
9,D,2020-04-30 12:10:40,2020-04-28,WST,Abraham Silji,"Chief Digital, Trans Officer",S - Sale+OE,$200.66,-500,"4,541",-10%,"-$100,328",,,,
10,D,2020-04-29 16:48:12,2020-04-27,WST,Favorite Annette F,SVP HR Officer,S - Sale+OE,$196.90,"-14,192","8,209",-63%,"-$2,794,421",,,,
11,D,2019-05-01 10:21:06,2019-04-30,WST,Malone Daniel,"VP, Controller",S - Sale+OE,$123.03,"-4,458","29,020",-13%,"-$548,477",,,,
