,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-12 16:22:39,2021-08-11,WU,Summerill Andrew,"Pres, Payments",S - Sale,$22.66,"-1,239","19,050",-6%,"-$28,076",,,,
2,DM,2021-05-18 19:17:05,2021-05-17,WU,Agrawal Rajesh K.,CFO,S - Sale+OE,$24.95,"-111,639","434,976",-20%,"-$2,785,295",,,,
3,,2021-04-01 16:23:33,2021-04-01,WU,Summerill Andrew,"Pres, Payments (Interim)",S - Sale,$24.75,"-2,806","22,488",-11%,"-$69,449",,,,
4,,2021-03-22 17:06:41,2021-03-18,WU,Tsai Caroline,"GC, Secretary",S - Sale,$24.85,"-7,164","80,562",-8%,"-$178,025",,,,
5,,2021-03-11 18:04:53,2021-03-11,WU,Molnar Jacqueline D,Chief Transformation Officer,S - Sale,$24.67,"-1,003","70,923",-1%,"-$24,744",,,,
6,,2021-03-09 16:46:15,2021-03-08,WU,Williams Richard L,Chief People Officer,S - Sale,$25.00,"-10,000","142,115",-7%,"-$250,000",,,,
7,,2021-02-25 19:01:25,2021-02-25,WU,Molnar Jacqueline D,Chief Transformation Officer,S - Sale,$23.74,"-7,898","72,743",-10%,"-$187,499",,,,
8,,2021-02-24 19:16:48,2021-02-24,WU,Tsai Caroline,"GC, Secretary",S - Sale,$23.38,"-4,726","87,726",-5%,"-$110,494",,,,
9,D,2021-02-23 17:50:40,2021-02-22,WU,Ersek Hikmet,"Pres, CEO",S - Sale+OE,$23.91,"-233,859","1,091,630",-18%,"-$5,592,107",,,,
10,D,2021-02-23 16:41:14,2021-02-23,WU,Agrawal Rajesh K.,CFO,S - Sale+OE,$23.45,"-16,895","434,976",-4%,"-$396,139",,,,
11,D,2021-02-23 16:40:49,2021-02-23,WU,Farah Jean Claude,"Pres, Global Network",S - Sale+OE,$23.45,"-28,157","296,687",-9%,"-$660,318",,,,
12,D,2021-02-22 18:48:27,2021-02-19,WU,Fellahi Khalid,Pres Consumer Money Trsfr,S - Sale+OE,$23.84,"-16,895","157,371",-10%,"-$402,745",,,,
13,,2020-12-14 17:45:34,2020-12-11,WU,Tsai Caroline,"GC, Secretary",S - Sale,$21.70,"-4,857","56,683",-8%,"-$105,397",,,,
14,,2020-12-08 17:12:35,2020-12-04,WU,Williams Richard L,Chief People Officer,S - Sale,$21.92,"-15,000","129,947",-10%,"-$328,851",,,,
15,,2020-06-12 16:59:12,2020-06-10,WU,Molnar Jacqueline D,"Chief Trans Officer, Glbl Comp",S - Sale,$23.94,"-2,928","65,170",-4%,"-$70,096",,,,
16,,2020-03-18 17:48:58,2020-03-17,WU,Molnar Jacqueline D,"Chief Trans Officer, Glbl Comp",S - Sale,$23.00,-969,"72,697",-1%,"-$22,287",,,,
17,,2020-02-27 16:42:28,2020-02-26,WU,Molnar Jacqueline D,"Chief Trans Officer, Glbl Comp",S - Sale,$24.15,"-2,075","75,190",-3%,"-$50,111",,,,
18,,2020-02-25 17:50:59,2020-02-25,WU,Molnar Jacqueline D,"Chief Trans Officer, Glbl Comp",S - Sale,$25.20,"-9,067","77,265",-11%,"-$228,488",,,,
19,,2020-02-14 17:31:53,2020-02-14,WU,Siegmund Jan,Dir,P - Purchase,$26.21,"+10,000","10,000",New,"+$262,100",,,,
20,D,2020-01-06 17:29:54,2020-01-02,WU,Agrawal Rajesh K.,CFO,S - Sale+OE,$26.94,"-24,553","307,419",-7%,"-$661,458",,,,
21,M,2019-12-11 17:07:11,2019-12-10,WU,Tsai Caroline,"GC, Secretary",S - Sale,$26.85,"-4,857","52,920",-8%,"-$130,410",,,,
22,D,2019-12-09 17:41:55,2019-12-06,WU,Mendoza Roberto G,Dir,S - Sale+OE,$26.94,"-26,504","67,830",-28%,"-$714,063",,,,
23,,2019-11-12 16:42:35,2019-11-12,WU,Kalac Michael,Acting Chief Tech Officer,S - Sale,$26.93,"-9,164","35,282",-21%,"-$246,787",,,,
24,,2019-11-12 16:41:05,2019-11-07,WU,Summerill Andrew,"Pres, Payments (Interim)",S - Sale,$27.55,"-2,125","18,047",-11%,"-$58,551",,,,
25,D,2019-10-29 19:18:57,2019-10-28,WU,Miles Michael,Dir,S - Sale+OE,$25.00,"-9,192","127,453",-7%,"-$229,800",,,,
26,D,2019-09-13 18:09:25,2019-09-12,WU,Miles Michael,Dir,S - Sale+OE,$24.00,"-6,282","127,453",-5%,"-$150,768",,,,
27,D,2019-09-13 17:26:55,2019-09-12,WU,Schenkel Amintore,Chief Acct. Officer,S - Sale+OE,$24.00,"-11,550","83,478",-12%,"-$277,200",,,,
28,D,2019-09-09 17:12:12,2019-09-06,WU,Schenkel Amintore,Chief Acct. Officer,S - Sale+OE,$22.86,"-13,361","83,478",-14%,"-$305,432",,,,
29,D,2019-08-07 16:21:57,2019-08-06,WU,Holden Betsy D,Dir,S - Sale+OE,$21.16,"-15,474","94,460",-14%,"-$327,444",,,,
