,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,DM,2021-05-11 19:57:47,2021-05-07,WY,Blocker Adrian M,SVP,S - Sale+OE,$40.15,"-214,734","256,199",-46%,"-$8,621,579",,,,
2,DM,2021-05-11 19:53:04,2021-05-07,WY,Merle Denise M,SVP,S - Sale+OE,$40.35,"-112,918","108,428",-51%,"-$4,556,514",,,,
3,D,2021-05-07 18:57:23,2021-05-05,WY,O'Rear Keith,SVP,S - Sale+OE,$39.21,"-15,752","76,666",-17%,"-$617,613",,,,
4,,2021-05-06 16:41:44,2021-05-05,WY,Loewe Nancy S.,"SVP, CFO",P - Purchase,$38.56,"+10,000","31,627",+46%,"+$385,562",,,,
5,D,2021-02-03 19:47:59,2021-02-02,WY,Hagen Russell S,"SVP, CFO",S - Sale+OE,$32.10,"-24,000","188,099",-11%,"-$770,371",,,,
6,,2020-09-17 15:51:12,2020-09-16,WY,Monaco Albert,Dir,P - Purchase,$29.11,"+10,000","17,869",+127%,"+$291,050",,,,
7,,2020-09-17 11:52:27,2020-09-16,WY,Piasecki Nicole Weyerhaeuser,Dir,S - Sale,$28.62,"-34,845","25,785",-57%,"-$997,156",,,,
8,M,2020-08-28 19:02:28,2020-08-27,WY,Kilberg James A,SVP,S - Sale,$30.50,"-35,000","146,958",-19%,"-$1,067,502",,,,
9,,2020-03-18 20:41:30,2020-03-17,WY,Lewis Sara Grootwassink,Dir,P - Purchase,$17.96,"+5,000","25,510",+24%,"+$89,800",,,,
10,,2020-03-18 20:37:43,2020-03-17,WY,Wold David M,"VP, Chief Accounting Officer",P - Purchase,$17.95,"+2,000","19,588",+11%,"+$35,900",,,,
11,,2020-02-28 19:15:44,2020-02-28,WY,Wold David M,"VP, Chief Accounting Officer",P - Purchase,$25.19,"+1,000","17,588",+6%,"+$25,190",,,,
12,D,2020-02-04 20:15:50,2020-02-04,WY,Hagen Russell S,"SVP, CFO",S - Sale+OE,$28.27,"-20,800","159,845",-12%,"-$588,024",,,,
13,,2019-06-07 13:42:14,2019-06-06,WY,Stockfish Devin W,"Pres, CEO",P - Purchase,$23.03,"+5,195","220,859",+2%,"+$119,640",,,,
14,D,2019-02-05 13:34:35,2019-02-01,WY,Hagen Russell S,"SVP, CFO",S - Sale+OE,$26.32,"-8,000","122,398",-6%,"-$210,526",,,,
15,,2018-11-14 16:46:49,2018-11-13,WY,Stockfish Devin W,SVP,P - Purchase,$26.93,"+27,890","99,171",+39%,"+$751,019",,,,
16,D,2018-02-26 15:15:17,2018-02-23,WY,Hillman Jeanne M,"VP, Chief Accounting Officer",S - Sale+OE,$35.22,"-15,389","63,935",-19%,"-$541,971",,,,
17,D,2017-11-27 20:02:52,2017-11-24,WY,Hunter Rhonda D,SVP,S - Sale+OE,$36.12,"-23,343","76,304",-23%,"-$843,233",,,,
18,D,2017-11-15 19:21:04,2017-11-14,WY,Hunter Rhonda D,SVP,S - Sale+OE,$35.72,"-45,939","76,304",-38%,"-$1,640,827",,,,
19,D,2017-10-17 18:50:33,2017-10-16,WY,Holley Rick R,Dir,S - Sale+OE,$35.05,"-227,341","554,228",-29%,"-$7,968,893",,,,
20,D,2017-05-01 13:55:58,2017-04-28,WY,Holley Rick R,Dir,S - Sale+OE,$35.21,"-33,416","554,320",-6%,"-$1,176,526",-1,-1,,
21,D,2017-04-20 16:59:19,2017-04-19,WY,Holley Rick R,Dir,S - Sale+OE,$35.00,"-6,687","554,320",-1%,"-$234,069",-1,-2,,
22,D,2017-04-12 13:07:51,2017-04-10,WY,Holley Rick R,Dir,S - Sale+OE,$35.07,"-180,556","554,320",-25%,"-$6,332,677",0,0,-5,
23,,2017-03-06 19:50:54,2017-03-06,WY,Merle Denise M,SVP,S - Sale,$33.94,-734,"34,766",-2%,"-$24,912",-1,-1,0,
24,D,2017-02-23 14:03:09,2017-02-21,WY,Merle Denise M,SVP,S - Sale+OE,$34.00,"-5,150","36,330",-12%,"-$175,100",0,+2,0,
25,D,2017-02-22 19:50:12,2017-02-21,WY,Hunter Rhonda D,SVP,S - Sale+OE,$34.00,"-14,099","75,060",-16%,"-$479,366",0,0,-1,
26,M,2017-02-15 19:53:01,2017-02-13,WY,Merle Denise M,SVP,S - Sale,$33.33,"-1,723","36,330",-5%,"-$57,433",0,0,+1,
27,D,2017-02-15 19:17:25,2017-02-13,WY,Hillman Jeanne M,"VP, Chief Accounting Officer",S - Sale+OE,$33.90,"-36,934","92,362",-29%,"-$1,252,140",0,0,+1,
28,,2017-02-14 15:33:18,2017-02-10,WY,Merle Denise M,SVP,S - Sale,$33.09,"-1,233","38,370",-3%,"-$40,800",-1,+1,+1,
29,D,2017-02-03 19:45:50,2017-02-02,WY,Merle Denise M,SVP,S - Sale+OE,$30.98,"-5,176","31,704",-14%,"-$160,352",-2,+3,+6,
30,D,2017-02-03 19:44:42,2017-02-02,WY,Hunter Rhonda D,SVP,S - Sale+OE,$30.98,"-2,190","59,865",-4%,"-$67,846",-2,+3,+6,
31,D,2016-12-12 18:54:00,2016-12-08,WY,Merle Denise M,SVP,S - Sale+OE,$33.00,"-6,503","31,704",-17%,"-$214,599",-3,-7,-7,
32,D,2016-10-12 18:12:43,2016-10-10,WY,Merle Denise M,SVP,S - Sale+OE,$31.12,"-15,049","31,500",-32%,"-$468,325",0,+1,-4,+13
33,,2016-08-16 15:14:01,2016-08-12,WY,Slater Catherine I,SVP,S - Sale,$31.81,"-11,609","76,614",-13%,"-$369,294",-1,-2,-6,+6
34,D,2016-08-11 19:31:49,2016-08-10,WY,Hillman Jeanne M,"VP, Chief Accounting Officer",S - Sale+OE,$32.58,"-59,686","83,459",-42%,"-$1,944,528",-2,-2,-6,+4
35,D,2016-08-10 20:28:38,2016-08-09,WY,Hillman Jeanne M,"VP, Chief Accounting Officer",S - Sale+OE,$32.50,"-4,492","83,459",-5%,"-$145,990",-1,-4,-2,+1
36,D,2016-07-27 21:06:01,2016-07-27,WY,Hunter Rhonda D,SVP,S - Sale+OE,$33.00,"-3,318","59,099",-5%,"-$109,494",-1,0,-4,+1
37,DM,2016-07-27 18:46:36,2016-07-25,WY,Holley Rick R,Dir,S - Sale+OE,$32.55,"-608,000","554,070",-52%,"-$19,790,460",-1,0,-4,+1
38,D,2016-07-01 20:44:48,2016-06-30,WY,Hunter Rhonda D,SVP,S - Sale+OE,$30.00,"-3,292","59,099",-5%,"-$98,760",-1,+2,+9,+3
39,,2016-06-22 15:35:59,2016-06-20,WY,Hunter Rhonda D,SVP,S - Sale,$29.12,"-6,500","58,668",-10%,"-$189,280",0,-2,+13,+9
40,,2016-06-13 12:42:42,2016-06-09,WY,Bozeman David P,Dir,S - Sale,$30.30,"-1,929","6,262",-24%,"-$58,456",-3,-6,+4,+9
41,,2016-06-08 19:56:28,2016-06-07,WY,Emmert Mark A,Dir,S - Sale,$31.25,"-9,536","9,715",-50%,"-$298,000",-2,-7,-2,+5
42,,2015-12-21 13:57:00,2015-12-17,WY,Merle Denise M,SVP,S - Sale,$30.74,"-2,580","20,135",-11%,"-$79,310",+1,+4,-15,-1
43,D,2015-11-20 19:07:54,2015-11-19,WY,Bedient Patricia M,"EVP, CFO",S - Sale+OE,$32.00,"-18,581","196,257",-9%,"-$594,592",-1,+1,-8,-3
44,D,2015-10-23 18:48:17,2015-10-22,WY,Hunter Rhonda D,SVP,S - Sale+OE,$30.00,"-3,291","37,843",-8%,"-$98,730",-2,-2,+8,+9
45,D,2015-10-23 18:38:13,2015-10-22,WY,Slater Catherine I,SVP,S - Sale+OE,$30.00,"-5,483","38,896",-12%,"-$164,490",-2,-2,+8,+9
46,D,2015-10-21 17:40:34,2015-10-19,WY,Slater Catherine I,SVP,S - Sale+OE,$29.34,"-7,436","38,896",-16%,"-$218,172",+3,-1,+10,+11
47,,2015-10-21 17:13:25,2015-10-19,WY,Hunter Rhonda D,SVP,S - Sale,$29.34,"-4,567","37,843",-11%,"-$133,996",+3,-1,+10,+11
48,,2015-09-01 14:07:50,2015-08-31,WY,Cafaro Debra A,Dir,P - Purchase,$27.97,"+17,850","22,207",+410%,"+$499,245",-1,-1,-1,-1
