,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-12 19:07:02,2021-08-11,WYNN,Mulroy Patricia,Dir,S - Sale,$97.13,-400,"11,189",-3%,"-$38,852",,,,
2,,2021-06-02 19:23:03,2021-06-01,WYNN,Whittemore Ellen F,"EVP, GC",S - Sale,$135.00,"-1,500","37,355",-4%,"-$202,500",,,,
3,,2021-05-18 20:00:54,2021-05-17,WYNN,Mulroy Patricia,Dir,S - Sale,$125.30,-400,"11,589",-3%,"-$50,120",,,,
4,,2021-03-26 19:57:39,2021-03-25,WYNN,Billings Craig Scott,"Pres, CFO",S - Sale,$127.50,"-3,015","101,493",-3%,"-$384,413",,,,
5,,2021-02-17 20:54:09,2021-02-16,WYNN,Mulroy Patricia,Dir,S - Sale,$119.79,-400,"9,979",-4%,"-$47,916",,,,
6,,2021-01-06 21:08:54,2021-01-05,WYNN,Whittemore Ellen F,"EVP, GC",S - Sale,$108.13,"-2,500","27,174",-8%,"-$270,325",,,,
7,,2021-01-06 21:06:20,2021-01-04,WYNN,Billings Craig Scott,"Pres, CFO",S - Sale,$113.50,"-4,673","83,539",-5%,"-$530,386",,,,
8,,2021-01-04 19:17:24,2020-12-30,WYNN,Maddox Matt,CEO,S - Sale,$113.21,"-50,000","394,549",-11%,"-$5,660,610",,,,
9,,2020-11-20 17:58:55,2020-11-16,WYNN,Mulroy Patricia,Dir,S - Sale,$98.19,-400,"10,379",-4%,"-$39,276",,,,
10,,2020-11-12 18:57:39,2020-11-09,WYNN,Whittemore Ellen F,"EVP, GC",S - Sale,$100.00,"-1,970","29,674",-6%,"-$197,000",,,,
11,,2020-11-12 18:56:13,2020-11-09,WYNN,Billings Craig Scott,"Pres, CFO",S - Sale,$100.00,"-7,583","88,212",-8%,"-$758,300",,,,
12,,2020-09-01 19:59:24,2020-08-31,WYNN,Mulroy Patricia,Dir,S - Sale,$90.54,-400,"10,779",-4%,"-$36,216",,,,
13,,2020-08-12 19:59:28,2020-08-11,WYNN,Whittemore Ellen F,"EVP, GC",S - Sale,$88.72,"-2,453","25,059",-9%,"-$217,630",,,,
14,,2020-05-21 20:44:11,2020-05-19,WYNN,Billings Craig Scott,"Pres, CFO, Treasurer",S - Sale,$84.77,"-6,000","84,287",-7%,"-$508,620",,,,
15,,2019-12-04 20:59:57,2019-12-02,WYNN,Maddox Matt,CEO,S - Sale,$120.19,"-25,000","360,954",-6%,"-$3,004,613",,,,
16,,2019-11-20 20:45:11,2019-11-18,WYNN,Billings Craig Scott,"Pres, CFO, Treasurer",S - Sale,$119.85,"-3,750","66,451",-5%,"-$449,438",,,,
17,,2019-11-01 20:30:45,2019-11-01,WYNN,Maddox Matt,CEO,S - Sale,$122.47,"-25,000","385,954",-6%,"-$3,061,688",,,,
18,,2019-10-03 20:34:47,2019-10-01,WYNN,Maddox Matt,CEO,S - Sale,$110.25,"-25,000","410,954",-6%,"-$2,756,116",,,,
19,,2019-09-13 20:41:29,2019-09-12,WYNN,Maddox Matt,CEO,S - Sale,$117.30,"-25,000","435,954",-5%,"-$2,932,383",,,,
20,,2019-08-29 17:45:32,2019-08-28,WYNN,Mulroy Patricia,Dir,S - Sale,$104.16,-900,"7,548",-11%,"-$93,744",,,,
21,,2019-03-14 20:15:04,2019-03-12,WYNN,Mulroy Patricia,Dir,S - Sale,$118.02,-425,"6,669",-6%,"-$50,159",,,,
22,D,2019-02-05 20:27:30,2019-02-04,WYNN,Maddox Matt,"CEO, Pres",S - Sale+OE,$124.15,"-18,900","468,499",-4%,"-$2,346,435",,,,
23,,2018-11-15 17:33:19,2018-11-13,WYNN,Satre Philip G,Dir,P - Purchase,$103.01,"+9,800","11,995",+446%,"+$1,009,459",,,,
24,D,2018-05-04 16:20:27,2018-05-02,WYNN,Miller Robert Jos,Dir,S - Sale+OE,$191.73,"-10,000","9,162",-52%,"-$1,917,289",,,,
25,D,2018-05-03 16:18:25,2018-05-01,WYNN,Maddox Matt,"CEO, Pres",S - Sale+OE,$191.09,"-18,450","391,204",-5%,"-$3,525,611",,,,
