,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-02 16:38:47,2021-09-01,XEL,Fowke Benjamin G S III,Exec COB,S - Sale,$69.73,"-54,348","202,781",-21%,"-$3,789,893",,,,
2,,2021-06-16 16:19:11,2021-06-15,XEL,Figoli Darla,"EVP, Chief HR Off",S - Sale,$69.31,"-10,886","48,689",-18%,"-$754,463",,,,
3,,2021-06-08 16:14:03,2021-06-04,XEL,Fowke Benjamin G S III,"COB, CEO",S - Sale,$70.27,"-52,094","257,114",-17%,"-$3,660,578",,,,
4,,2021-05-18 16:49:34,2021-05-17,XEL,Hudson David T,"Pres, SPS",S - Sale,$71.14,"-9,603","4,673",-67%,"-$683,143",,,,
5,,2021-05-04 18:29:47,2021-04-30,XEL,O'Connor Timothy John,"EVP, Chief Generating Officer",S - Sale,$70.22,"-12,000","14,744",-45%,"-$842,640",,,,
6,,2021-05-04 17:44:59,2021-04-30,XEL,Carter Brett C,"EVP, Chief Customer, Innova",S - Sale,$70.66,"-14,900","22,680",-40%,"-$1,052,834",,,,
7,,2021-05-04 17:35:12,2021-05-04,XEL,Clark Christopher B,"Pres, NSPM",S - Sale,$71.46,"-6,000","20,165",-23%,"-$428,742",,,,
8,,2021-05-04 17:30:56,2021-05-04,XEL,Prager Frank P,"SVP, Strategy, Planning, Ext.",S - Sale,$71.71,"-1,500","33,706",-4%,"-$107,562",,,,
9,,2021-02-02 17:22:38,2021-01-29,XEL,Prager Frank P,"SVP, Strategy, Planning, Ext.",S - Sale,$63.45,"-3,711","33,472",-10%,"-$235,463",,,,
10,,2020-11-02 17:05:30,2020-10-29,XEL,Prager Frank P,"SVP, Strategy, Planning, Ext.",S - Sale,$69.66,"-5,959","37,183",-14%,"-$415,116",,,,
11,,2020-08-17 18:37:52,2020-08-13,XEL,Fowke Benjamin G S III,"COB, CEO",S - Sale,$71.31,"-99,798","363,903",-22%,"-$7,116,346",,,,
12,,2020-06-04 12:47:59,2020-06-02,XEL,Fowke Benjamin G S III,"COB, CEO",S - Sale,$65.84,"-104,796","463,687",-18%,"-$6,899,643",,,,
13,,2020-06-03 16:21:56,2020-06-01,XEL,Sheppard James J.,Dir,S - Sale,$64.95,"-2,484","47,827",-5%,"-$161,337",,,,
14,,2020-03-10 16:10:42,2020-03-06,XEL,Prager Frank P,"SVP, Strategy, Planning, Ext.",P - Purchase,$67.99,"+7,150","43,142",+20%,"+$486,129",,,,
15,,2020-03-09 16:22:45,2020-03-05,XEL,Larson Kent T,"EVP, Group Pres, Operations",S - Sale,$69.30,"-20,000","54,708",-27%,"-$1,386,094",,,,
16,,2020-03-09 16:18:00,2020-03-05,XEL,Eves David L,"EVP, Group Pres Utilit",S - Sale,$69.73,"-10,000","45,304",-18%,"-$697,304",,,,
17,,2020-03-05 16:18:46,2020-03-04,XEL,Frenzel Robert,"EVP, CFO",S - Sale,$67.64,"-4,000","61,873",-6%,"-$270,546",,,,
18,,2020-03-05 16:07:29,2020-03-03,XEL,Wilensky Scott M,"EVP, GC",S - Sale,$66.31,"-29,929","82,108",-27%,"-$1,984,496",,,,
19,,2020-03-04 18:48:47,2020-03-02,XEL,Larson Kent T,"EVP, Group Pres, Operations",S - Sale,$64.80,"-15,000","74,708",-17%,"-$971,933",,,,
20,,2020-03-04 15:18:55,2020-03-02,XEL,Eves David L,"EVP, Group Pres Utilit",S - Sale,$64.46,"-10,000","55,304",-15%,"-$644,572",,,,
21,,2020-02-27 16:16:17,2020-02-26,XEL,Eves David L,"EVP, Group Pres Utilit",S - Sale,$69.02,"-5,000","65,300",-7%,"-$345,100",,,,
22,,2020-02-25 16:26:53,2020-02-24,XEL,Fowke Benjamin G S III,"COB, Pres, CEO",S - Sale,$70.57,"-94,629","568,470",-14%,"-$6,678,092",,,,
23,,2019-09-11 13:18:01,2019-09-10,XEL,Clark Christopher B,"Pres, NSPM",S - Sale,$62.38,"-2,500","17,700",-12%,"-$155,958",,,,
24,,2019-09-09 16:42:48,2019-09-06,XEL,Stoering Mark E,"Pres, NSPW",S - Sale,$64.87,"-4,882","52,702",-8%,"-$316,681",,,,
25,,2019-09-03 12:42:18,2019-08-30,XEL,Larson Kent T,"EVP, Group Pres, Operations",S - Sale,$64.25,"-25,000","79,218",-24%,"-$1,606,150",,,,
26,,2019-09-03 12:37:32,2019-08-30,XEL,Clark Christopher B,"Pres, NSPM",S - Sale,$64.25,"-2,000","20,200",-9%,"-$128,492",,,,
27,,2019-08-19 14:12:44,2019-08-16,XEL,Wilensky Scott M,"EVP, GC",S - Sale,$61.71,"-15,000","104,963",-13%,"-$925,620",,,,
28,,2019-06-13 11:06:00,2019-06-11,XEL,Frenzel Robert,"EVP, CFO",S - Sale,$58.60,"-4,400","51,471",-8%,"-$257,845",,,,
29,,2019-06-11 14:23:45,2019-06-07,XEL,Fowke Benjamin G S III,"COB, Pres, CEO",S - Sale,$59.81,"-50,000","610,966",-8%,"-$2,990,385",,,,
30,D,2019-06-03 13:49:14,2019-05-30,XEL,Eves David L,"EVP, Group Pres Utilit",S - Sale+OE,$57.23,"-10,000","66,766",-13%,"-$572,349",,,,
31,,2019-05-22 14:53:29,2019-05-20,XEL,Larson Kent T,"EVP, Group Pres, Operations",S - Sale,$58.43,"-5,000","104,193",-5%,"-$292,151",,,,
32,,2019-03-13 18:11:36,2019-03-12,XEL,Figoli Darla,"SVP, Chief HR Off",S - Sale,$56.40,"-9,000","50,406",-15%,"-$507,627",,,,
33,D,2019-03-12 18:34:26,2019-03-11,XEL,Poferl Judy M.,"SVP, Corp Secretary, Exec Svcs",S - Sale+OE,$55.86,"-8,953","7,950",-53%,"-$500,106",,,,
34,,2019-03-08 16:01:53,2019-03-06,XEL,Fowke Benjamin G S III,"COB, Pres, CEO",S - Sale,$55.13,"-75,000","660,951",-10%,"-$4,134,600",,,,
