,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,A,2021-08-05 17:57:11,2021-07-30,XLNX,Raje Salil,"EVP, Software, IP Products",S - Sale,$150.00,"-13,500","37,086",-27%,"-$2,025,001",,,,
2,,2021-08-03 21:14:13,2021-08-03,XLNX,Hagopian Catia,SVP GC,S - Sale,$150.00,"-2,000","32,516",-6%,"-$300,000",,,,
3,,2021-08-03 21:07:30,2021-08-02,XLNX,Wadlington Mark,"SVP, Global Sales",S - Sale,$150.18,"-14,789",589,-96%,"-$2,220,941",,,,
4,,2021-08-03 20:49:27,2021-08-02,XLNX,Boppana Vamsi,"SVP, Central Engineering",S - Sale,$150.00,"-4,000","12,571",-24%,"-$600,000",,,,
5,,2021-08-03 16:00:34,2021-07-30,XLNX,Raje Salil,"EVP, Software, IP Products",S - Sale,$150.00,"-13,500","37,086",-27%,"-$2,025,001",,,,
6,,2021-05-10 17:00:17,2021-05-07,XLNX,Boppana Vamsi,"SVP, Central Engineering",S - Sale,$123.72,"-3,000","7,575",-28%,"-$371,160",,,,
7,,2021-02-11 17:42:11,2021-02-11,XLNX,Gagneja Sumeet,"CVP, Principal Acct Officer",S - Sale,$143.61,-850,"1,287",-40%,"-$122,069",,,,
8,,2021-02-10 19:35:19,2021-02-09,XLNX,Madden William Christopher,"EVP, FPGA, Silicon Tech",S - Sale,$141.34,"-5,400","8,988",-38%,"-$763,211",,,,
9,,2020-08-04 19:10:49,2020-08-04,XLNX,Boppana Vamsi,"SVP, Central Engineering",S - Sale,$105.12,"-2,968","9,903",-23%,"-$311,996",,,,
10,,2020-07-28 21:08:07,2020-07-27,XLNX,Turner Marshall C,Dir,S - Sale,$106.12,"-4,246","33,384",-11%,"-$450,586",,,,
11,D,2020-07-14 20:14:51,2020-07-14,XLNX,Madden William Christopher,"EVP, FPGA, Silicon Tech",S - Sale+OE,$97.10,"-1,192","14,094",-8%,"-$115,743",,,,
12,A,2020-07-14 14:26:49,2020-07-08,XLNX,Madden William Christopher,"EVP, FPGA, Silicon Tech",S - Sale,$99.87,"-1,982","13,118",-13%,"-$197,942",,,,
13,,2020-07-09 19:35:24,2020-07-08,XLNX,Madden William Christopher,"EVP, FPGA, Silicon Tech",S - Sale,$99.87,"-1,982","113,118",-2%,"-$197,942",,,,
14,D,2020-07-07 19:52:36,2020-07-06,XLNX,Madden William Christopher,"EVP, FPGA, Silicon Tech",S - Sale+OE,$101.60,"-3,427","15,100",-18%,"-$348,176",,,,
15,M,2020-07-01 16:42:45,2020-06-29,XLNX,Turner Marshall C,Dir,S - Sale,$95.37,"-7,060","37,630",-16%,"-$673,281",,,,
16,,2020-05-29 20:42:12,2020-05-27,XLNX,Hagopian Catia,SVP GC,S - Sale,$90.41,"-1,200","15,770",-7%,"-$108,486",,,,
17,,2020-04-16 17:35:11,2020-04-15,XLNX,Wadlington Mark,"SVP, Global Sales",S - Sale,$84.57,"-2,236","3,959",-36%,"-$189,099",,,,
18,,2019-12-19 17:21:11,2019-12-18,XLNX,Boppana Vamsi,"SVP, Central Engineering",S - Sale,$96.26,-151,"5,150",-3%,"-$14,535",,,,
19,,2019-11-05 18:00:17,2019-11-04,XLNX,Gillai Saar,Dir,S - Sale,$96.65,"-3,400","7,712",-31%,"-$328,616",,,,
20,,2019-11-05 18:00:11,2019-11-04,XLNX,Patterson John Michael,Dir,S - Sale,$96.36,"-1,000","20,282",-5%,"-$96,359",,,,
21,,2019-10-17 19:07:18,2019-10-16,XLNX,Onder Emre,"SVP,Product, Vertical Marketin",S - Sale,$96.79,"-1,337","4,340",-24%,"-$129,408",,,,
