,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-26 16:47:56,2021-05-25,XRAY,Alfano Michael C,Dir,S - Sale,$67.49,"-4,500","9,358",-32%,"-$303,705",,,,
2,D,2021-05-26 16:42:56,2021-05-25,XRAY,Petersohn Walter,Chief Commercial Officer,S - Sale+OE,$67.40,"-17,425","47,285",-27%,"-$1,174,366",,,,
3,D,2021-03-19 16:20:01,2021-03-17,XRAY,Brandt Eric,Dir,S - Sale+OE,$63.21,"-7,600","35,931",-17%,"-$480,373",,,,
4,,2021-03-05 19:35:23,2021-03-04,XRAY,Alfano Michael C,Dir,S - Sale,$58.99,"-1,850","13,850",-12%,"-$109,122",,,,
5,D,2021-03-05 17:44:29,2021-03-04,XRAY,Lunger Francis J,Dir,S - Sale+OE,$59.05,"-7,600","25,264",-23%,"-$448,742",,,,
6,A,2021-03-05 16:33:33,2021-03-04,XRAY,Lucier Gregory T,Dir,P - Purchase,$58.75,"+9,000","27,142",+50%,"+$528,752",,,,
7,,2021-03-04 16:11:28,2021-03-04,XRAY,Lucier Gregory T,Dir,P - Purchase,$58.95,"+5,000","23,142",+28%,"+$294,750",,,,
8,D,2020-11-24 16:05:27,2020-11-23,XRAY,Deese Willie A,Dir,S - Sale+OE,$50.50,"-10,100","19,977",-34%,"-$510,060",,,,
9,D,2020-11-18 16:04:39,2020-11-17,XRAY,Alfano Michael C,Dir,S - Sale+OE,$48.13,"-7,600","15,691",-33%,"-$365,750",,,,
10,,2020-06-05 16:09:23,2020-06-04,XRAY,Newell William E,Chief Segment Officer,S - Sale,$48.23,"-10,000","19,768",-34%,"-$482,290",,,,
11,,2020-06-01 16:06:37,2020-05-29,XRAY,Alfano Michael C,Dir,S - Sale,$46.27,"-2,500","15,669",-14%,"-$115,675",,,,
12,D,2020-05-05 16:18:07,2020-05-04,XRAY,Brandt Eric,Dir,S - Sale+OE,$39.47,"-8,900","28,687",-24%,"-$351,283",,,,
13,D,2019-11-13 20:24:31,2019-11-12,XRAY,Alfano Michael C,Dir,S - Sale+OE,$56.27,"-10,665","13,388",-44%,"-$600,110",,,,
14,D,2019-06-11 16:19:54,2019-06-10,XRAY,Macinnis Maureen J.,"SVP, CHRO",S - Sale+OE,$56.06,"-15,000","14,656",-51%,"-$840,900",,,,
15,,2019-06-07 16:21:53,2019-06-06,XRAY,Holden Betsy D,Dir,P - Purchase,$55.31,"+2,720","9,224",+42%,"+$150,439",,,,
16,,2019-05-30 16:12:23,2019-05-29,XRAY,Casey Donald M Jr.,"Pres, CEO",P - Purchase,$53.68,"+10,000","138,131",+8%,"+$536,769",,,,
