,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-18 10:07:35,2021-10-15,YUM,Gibbs David W,CEO,S - Sale+OE,$126.19,"-1,409","85,921",-2%,"-$177,802",,,,
2,D,2021-09-16 10:31:33,2021-09-15,YUM,Gibbs David W,CEO,S - Sale+OE,$128.66,"-1,434","85,921",-2%,"-$184,498",,,,
3,D,2021-08-17 13:57:43,2021-08-16,YUM,Gibbs David W,CEO,S - Sale+OE,$134.48,"-1,469","85,921",-2%,"-$197,551",,,,
4,D,2021-08-12 11:28:10,2021-08-11,YUM,Lowings Anthony,CEO-KFC Division,S - Sale+OE,$133.39,"-4,114","46,223",-8%,"-$548,766",,,,
5,D,2021-08-02 21:19:38,2021-07-30,YUM,Skeans Tracy L,"COO, CPO",S - Sale+OE,$129.71,"-18,824","12,698",-60%,"-$2,441,573",,,,
6,D,2021-07-28 09:30:00,2021-07-27,YUM,Skeans Tracy L,"COO, CPO",S - Sale+OE,$125.00,"-4,894","12,698",-28%,"-$611,750",,,,
7,D,2021-07-16 11:05:56,2021-07-15,YUM,Gibbs David W,CEO,S - Sale+OE,$116.81,"-1,354","85,921",-2%,"-$158,161",,,,
8,D,2021-07-02 15:49:50,2021-07-01,YUM,Lowings Anthony,CEO-KFC Division,S - Sale+OE,$115.49,"-2,517","46,223",-5%,"-$290,688",,,,
9,D,2021-06-16 15:03:55,2021-06-15,YUM,Gibbs David W,CEO,S - Sale+OE,$118.20,"-1,362","85,921",-2%,"-$160,988",,,,
10,D,2021-05-25 10:41:04,2021-05-24,YUM,Skeans Tracy L,"COO, CPO",S - Sale+OE,$120.16,"-10,838","12,698",-46%,"-$1,302,294",,,,
11,D,2021-05-20 08:16:12,2021-05-18,YUM,Gibbs David W,CEO,S - Sale+OE,$119.33,"-1,370","87,291",-2%,"-$163,482",,,,
12,D,2021-04-30 13:41:55,2021-04-29,YUM,Gibbs David W,CEO,S - Sale+OE,$118.38,"-46,473","85,921",-35%,"-$5,501,496",,,,
13,D,2021-04-15 21:47:20,2021-04-15,YUM,Gibbs David W,CEO,S - Sale+OE,$118.47,"-1,362","85,921",-2%,"-$161,356",,,,
14,D,2021-03-29 20:49:31,2021-03-29,YUM,Gibbs David W,CEO,S - Sale+OE,$108.00,"-1,282","85,921",-1%,"-$138,456",,,,
15,D,2021-01-20 15:10:58,2021-01-15,YUM,Gibbs David W,CEO,S - Sale+OE,$107.52,"-2,540","76,270",-3%,"-$273,101",,,,
16,D,2020-12-23 14:30:17,2020-12-23,YUM,Lowings Anthony,CEO-KFC Division,S - Sale+OE,$107.21,"-4,334","46,223",-9%,"-$464,648",,,,
17,D,2020-12-16 10:42:13,2020-12-14,YUM,Gibbs David W,CEO,S - Sale+OE,$106.89,"-2,520","71,288",-3%,"-$269,363",,,,
18,,2020-11-19 21:06:22,2020-11-18,YUM,Skeans Tracy L,Chief People Officer,S - Sale,$105.00,"-4,800","5,392",-47%,"-$504,000",,,,
