,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-09-09 16:11:48,2021-09-07,ZBRA,Keyser Richard L,Dir,S - Sale,$581.48,"-9,000","41,910",-18%,"-$5,233,320",,,,
2,DM,2021-09-01 16:18:17,2021-08-30,ZBRA,Gustafsson Anders,CEO,S - Sale+OE,$588.34,"-15,000","294,234",-5%,"-$8,825,100",,,,
3,,2021-09-01 16:14:44,2021-08-30,ZBRA,Manire Ross W,Dir,S - Sale,$587.74,"-5,000","30,514",-14%,"-$2,938,700",,,,
4,M,2021-09-01 16:11:34,2021-08-30,ZBRA,Modruson Frank Blaise,Dir,S - Sale,$586.61,"-2,100","28,718",-7%,"-$1,231,872",,,,
5,D,2021-08-23 17:25:42,2021-08-23,ZBRA,Burns Bill,"Chief Product, Solutions",S - Sale+OE,$579.15,"-2,000","12,534",-14%,"-$1,158,300",,,,
6,D,2021-08-23 17:23:36,2021-08-20,ZBRA,Schmitz Jeffrey F,"Chief HR, Marketing Officer",S - Sale+OE,$571.14,-279,"8,702",-3%,"-$159,348",,,,
7,D,2021-08-09 16:23:17,2021-08-06,ZBRA,Winters Nathan Andrew,CFO,S - Sale+OE,$562.00,-673,"5,310",-11%,"-$378,226",,,,
8,D,2021-08-09 16:20:50,2021-08-05,ZBRA,Schmitz Jeffrey F,"Chief HR, Marketing Officer",S - Sale+OE,$565.60,-629,"8,702",-7%,"-$355,762",,,,
9,D,2021-08-09 16:15:46,2021-08-05,ZBRA,Burns Bill,"Chief Product, Solutions",S - Sale+OE,$567.26,"-2,892","17,426",-14%,"-$1,640,516",,,,
10,D,2021-06-17 16:59:08,2021-06-15,ZBRA,Gustafsson Anders,CEO,S - Sale+OE,$508.15,"-10,000","360,024",-3%,"-$5,081,500",,,,
11,,2021-06-07 18:30:00,2021-06-03,ZBRA,Smith Michael A,Dir,S - Sale,$507.00,"-1,500","12,992",-10%,"-$760,500",,,,
12,D,2021-06-07 18:25:21,2021-06-04,ZBRA,Kogl Cristen L,GC,S - Sale+OE,$515.47,-526,"11,920",-4%,"-$271,137",,,,
