,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-02 18:51:48,2021-05-28,ZION,Stewart Randy R,EVP,S - Sale,$57.65,"-3,460","7,809",-31%,"-$199,484",,,,
2,,2021-05-28 17:01:14,2021-05-26,ZION,Hume Alexander,SVP,S - Sale,$56.59,-249,0,-100%,"-$14,072",,,,
3,D,2021-05-18 17:56:29,2021-05-14,ZION,Hoff Olga,EVP,S - Sale+OE,$59.90,"-4,225","7,204",-37%,"-$253,078",,,,
4,D,2021-05-18 17:54:53,2021-05-14,ZION,Young Mark Richard,EVP,S - Sale+OE,$60.06,-639,"10,202",-6%,"-$38,378",,,,
5,D,2021-05-14 16:55:12,2021-05-13,ZION,Hume Alexander,SVP,S - Sale+OE,$58.21,"-5,407","4,458",-55%,"-$314,742",,,,
6,D,2021-05-14 16:38:42,2021-05-13,ZION,Young Mark Richard,EVP,S - Sale+OE,$57.97,"-2,082","10,841",-16%,"-$120,694",,,,
7,,2021-05-12 20:20:22,2021-05-11,ZION,Blackford David E,Exec VP,S - Sale,$58.51,-551,0,-100%,"-$32,210",,,,
8,,2021-05-11 17:15:04,2021-05-10,ZION,Alexander Bruce K,EVP and,S - Sale,$59.81,"-3,000","16,603",-15%,"-$179,415",,,,
9,,2021-04-29 19:15:55,2021-04-28,ZION,Maio Keith D,EVP - Chief Risk Officer,S - Sale,$55.20,"-5,000","37,564",-12%,"-$276,009",,,,
10,D,2021-04-28 16:16:41,2021-04-27,ZION,Stephens Steven Dan,EVP,S - Sale+OE,$54.61,"-15,837","62,746",-20%,"-$864,852",,,,
11,,2021-04-27 16:27:20,2021-04-26,ZION,Robinson Rebecca K,EVP,S - Sale,$54.82,"-4,382","21,163",-17%,"-$240,215",,,,
12,D,2021-04-26 18:09:25,2021-04-23,ZION,Stephens Steven Dan,EVP,S - Sale+OE,$52.41,"-15,837","62,746",-20%,"-$830,017",,,,
13,D,2021-04-26 17:48:42,2021-04-23,ZION,Laursen Thomas E,"EVP,",S - Sale+OE,$54.37,"-2,706","23,008",-11%,"-$147,136",,,,
14,D,2021-04-26 17:47:33,2021-04-23,ZION,Forney Alan M,"EVP, Division CEO",S - Sale+OE,$54.54,"-2,093","17,459",-11%,"-$114,152",,,,
15,,2021-04-26 16:57:36,2021-04-23,ZION,Blackford David E,Exec VP,S - Sale,$54.71,-800,"13,877",-5%,"-$43,768",,,,
16,D,2021-04-23 18:08:47,2021-04-22,ZION,Smith Jennifer Anne,EVP,S - Sale+OE,$52.89,"-14,267","15,979",-47%,"-$754,582",,,,
17,,2021-03-01 16:31:25,2021-02-26,ZION,Young Mark Richard,EVP,S - Sale,$53.75,"-1,187","10,982",-10%,"-$63,800",,,,
18,D,2021-02-26 16:54:28,2021-02-25,ZION,Law Scott A.,EVP,S - Sale+OE,$56.93,-304,"17,523",-2%,"-$17,306",,,,
19,,2021-02-26 16:53:21,2021-02-25,ZION,Shirey Terry Alan,"EVP,",S - Sale,$55.01,-800,"20,033",-4%,"-$44,009",,,,
20,,2021-02-26 16:50:08,2021-02-25,ZION,Blackford David E,Exec VP,S - Sale,$56.03,-820,"15,416",-5%,"-$45,947",,,,
21,D,2021-02-25 19:53:33,2021-02-23,ZION,Robinson Rebecca K,EVP,S - Sale+OE,$53.99,"-8,617","25,781",-25%,"-$465,214",,,,
22,D,2021-02-25 19:23:52,2021-02-24,ZION,Burdiss Paul E.,EVP,S - Sale+OE,$55.55,"-30,491","63,293",-33%,"-$1,693,821",,,,
23,,2021-02-25 19:22:38,2021-02-24,ZION,Blackford David E,Exec VP,S - Sale,$55.30,-945,"16,236",-6%,"-$52,263",,,,
24,D,2021-02-25 18:59:52,2021-02-24,ZION,Morris Michael,EVP,S - Sale+OE,$56.68,"-8,258","25,500",-24%,"-$468,049",,,,
25,D,2021-02-24 17:22:32,2021-02-22,ZION,Ellingsen Eric,"EVP,",S - Sale+OE,$53.95,"-2,329","22,980",-9%,"-$125,650",,,,
26,D,2021-02-22 20:43:27,2021-02-19,ZION,Young Mark Richard,EVP,S - Sale+OE,$51.39,"-2,615","12,612",-17%,"-$134,385",,,,
27,,2021-02-22 20:23:54,2021-02-19,ZION,Maio Keith D,EVP - Chief Risk Officer,S - Sale,$51.39,"-2,000","44,156",-4%,"-$102,770",,,,
28,,2021-02-22 20:19:06,2021-02-19,ZION,Law Scott A.,EVP,S - Sale,$51.81,"-1,500","17,511",-8%,"-$77,708",,,,
29,,2021-02-17 19:16:32,2021-02-12,ZION,Blackford David E,Exec VP,S - Sale,$49.34,-923,"18,424",-5%,"-$45,537",,,,
30,D,2021-02-17 19:15:32,2021-02-12,ZION,Robinson Rebecca K,EVP,S - Sale+OE,$49.39,"-6,991","27,565",-20%,"-$345,305",,,,
31,,2021-02-11 20:21:03,2021-02-10,ZION,McLean Scott J,Pres,S - Sale,$49.85,"-40,006","110,716",-27%,"-$1,994,163",,,,
32,,2021-02-11 20:00:58,2021-02-09,ZION,Hoff Olga,EVP,S - Sale,$48.85,"-1,185","8,215",-13%,"-$57,866",,,,
33,D,2021-02-10 20:42:51,2021-02-08,ZION,Collins Kenneth Jay,EVP,S - Sale+OE,$48.57,"-3,050","8,241",-27%,"-$148,123",,,,
34,D,2021-02-10 20:38:18,2021-02-09,ZION,Simmons Harris H,COB,S - Sale+OE,$49.02,"-60,518","1,229,245",-5%,"-$2,966,592",,,,
35,D,2021-02-08 18:17:22,2021-02-04,ZION,Hoff Olga,EVP,S - Sale+OE,$47.30,"-3,156","5,553",-36%,"-$149,279",,,,
36,,2021-02-08 18:15:31,2021-02-04,ZION,Alexander Bruce K,EVP and,S - Sale,$48.32,"-3,500","16,756",-17%,"-$169,109",,,,
37,D,2021-02-08 18:13:10,2021-02-05,ZION,Maio Keith D,EVP - Chief Risk Officer,S - Sale+OE,$48.63,"-7,632","40,700",-16%,"-$371,144",,,,
38,D,2021-02-03 18:43:39,2021-02-02,ZION,Forney Alan M,"EVP, CEO of Division",S - Sale+OE,$46.36,"-3,029","15,090",-17%,"-$140,424",,,,
39,D,2021-01-29 17:41:08,2021-01-28,ZION,Schreiber Edward,Chief Risk Officer,S - Sale+OE,$44.95,"-35,251","41,986",-46%,"-$1,584,660",,,,
40,,2021-01-29 17:40:49,2021-01-28,ZION,Schreiber Edward,Chief Risk Officer,S - Sale,$45.01,-30,"41,956",0%,"-$1,350",,,,
