,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-10 16:37:31,2021-05-06,ZBH,Higgins Arthur J,Dir,P - Purchase,$171.58,"+1,000","3,400",+42%,"+$171,580",,,,
2,,2020-11-20 16:27:42,2020-11-18,ZBH,Yi Sang,"Pres, Asia Pacific",S - Sale,$152.59,"-1,200","8,145",-13%,"-$183,108",,,,
3,D,2020-11-12 16:15:48,2020-11-09,ZBH,Phipps Chad F,"SVP, GC, Secretary",S - Sale+OE,$159.70,"-30,040","40,814",-42%,"-$4,797,388",,,,
4,,2020-06-02 16:24:15,2020-05-29,ZBH,Yi Sang,"Pres, Asia Pacific",S - Sale,$125.38,"-3,000","2,506",-54%,"-$376,130",,,,
5,,2020-05-13 16:26:22,2020-05-13,ZBH,Hanson Bryan C,"Pres, CEO",P - Purchase,$113.00,"+1,000","54,568",+2%,"+$113,000",,,,
6,D,2019-11-13 16:48:39,2019-11-11,ZBH,Bruneau Aure,Group Pres,S - Sale+OE,$141.25,"-15,171",757,-95%,"-$2,142,866",,,,
7,M,2019-09-10 16:30:20,2019-09-06,ZBH,Deltort Didier,"Pres, EMEA",S - Sale,$139.47,-444,"1,110",-29%,"-$61,925",,,,
8,,2019-09-03 16:35:57,2019-08-29,ZBH,Phipps Chad F,"SVP, GC, Secretary",S - Sale,$138.28,"-7,000","37,722",-16%,"-$967,932",,,,
9,D,2019-08-15 16:19:56,2019-08-13,ZBH,Phipps Chad F,"SVP, GC, Secretary",S - Sale+OE,$140.00,"-32,800","44,722",-42%,"-$4,592,000",,,,
10,,2019-08-09 16:15:26,2019-08-08,ZBH,Yi Sang,"Pres, Asia Pacific",S - Sale,$138.70,-147,"1,457",-9%,"-$20,388",,,,
11,,2019-05-29 16:16:09,2019-05-24,ZBH,Yi Sang,"Pres, Asia Pacific",S - Sale,$114.88,-426,"1,457",-23%,"-$48,938",,,,
12,,2019-03-04 16:32:04,2019-03-01,ZBH,Jafry Syed A.,Dir,P - Purchase,$125.52,"+1,925","1,925",New,"+$241,624",,,,
