,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-04 16:08:43,2021-10-01,ZTS,Trawicki Roman,EVP,S - Sale+OE,$194.14,"-4,497",0,-100%,"-$873,048",,,,
2,,2021-09-27 16:30:58,2021-09-23,ZTS,Lagano Roxanne,EVP,S - Sale,$202.17,"-1,315","21,559",-6%,"-$265,854",,,,
3,D,2021-08-26 17:08:33,2021-08-25,ZTS,Peck Kristin C,CEO,S - Sale+OE,$203.55,"-14,500","28,924",-33%,"-$2,951,486",,,,
4,,2021-08-24 16:51:43,2021-08-23,ZTS,Reed Willie M,Dir,S - Sale,$207.10,"-1,450","5,964",-20%,"-$300,295",,,,
5,,2021-08-24 16:49:56,2021-08-23,ZTS,Lagano Roxanne,EVP,S - Sale,$207.07,"-9,603","22,874",-30%,"-$1,988,494",,,,
6,D,2021-07-26 17:56:10,2021-07-22,ZTS,Lagano Roxanne,EVP,S - Sale+OE,$199.18,"-22,450","32,477",-41%,"-$4,471,610",,,,
7,D,2021-05-26 17:16:47,2021-05-25,ZTS,Peck Kristin C,CEO,S - Sale+OE,$175.45,"-14,500","31,424",-32%,"-$2,544,026",,,,
8,D,2021-05-21 16:41:51,2021-05-19,ZTS,Lagano Roxanne,EVP,S - Sale+OE,$169.05,"-6,000","42,083",-12%,"-$1,014,300",,,,
9,,2021-05-21 16:39:40,2021-05-20,ZTS,Knupp Catherine A.,EVP,S - Sale,$175.16,"-8,283","53,642",-13%,"-$1,450,850",,,,
10,D,2021-05-04 16:21:03,2021-05-03,ZTS,Kelly Robert Edward,EVP,S - Sale+OE,$174.70,"-2,053","8,300",-20%,"-$358,659",,,,
11,D,2021-05-04 16:16:21,2021-05-03,ZTS,Chen Heidi C.,EVP,S - Sale+OE,$175.01,"-12,238","24,645",-33%,"-$2,141,772",,,,
12,D,2021-04-22 16:40:45,2021-04-21,ZTS,Chen Heidi C.,EVP,S - Sale+OE,$170.14,"-11,637","24,645",-32%,"-$1,979,919",,,,
